# lat,lng,id,name,building_type,type,url,page_type
# mondov -- restaurants.csv
44.408974,7.712252,ov_il_cardo_e_l_ortica_44.4090_7.7123,Il Cardo e l'Ortica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/il_cardo_e_lortica_44.4090_7.7123.json,custom
44.410812,7.718310,ov_agriturismo_acquadolce___agritrutta___pa_44.4108_7.7183,Agriturismo Acquadolce - Agritrutta - Parco Eventi Acquadolc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/agriturismo_acquadolce_-_agritrutta_-_pa_44.4108_7.7183.json,custom
44.372121,7.817869,ov_bar_ristorante_sporting_44.3721_7.8179,Bar Ristorante Sporting,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/bar_ristorante_sporting_44.3721_7.8179.json,custom
44.383070,7.826080,ov_pranzeria_44.3831_7.8261,Pranzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/pranzeria_44.3831_7.8261.json,custom
44.379790,7.820860,ov_los_amigos_44.3798_7.8209,Los Amigos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/los_amigos_44.3798_7.8209.json,custom
44.378870,7.842790,ov_osteria_vino_e_cucina_44.3789_7.8428,Osteria vino e cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/osteria_vino_e_cucina_44.3789_7.8428.json,custom
44.391444,7.821387,ov_ospite_al_n_5_44.3914_7.8214,OSPITE al N 5,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/ospite_al_n_5_44.3914_7.8214.json,custom
44.391883,7.820650,ov_caffe_bistro_44.3919_7.8207,Caffe Bistro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/caffe_bistro_44.3919_7.8207.json,custom
44.393650,7.821142,ov_taverna_paolino_ristorante_pizzeria_44.3937_7.8211,Taverna Paolino Ristorante-Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/taverna_paolino_ristorante-pizzeria_44.3937_7.8211.json,custom
44.393360,7.816820,ov_il_forno_delle_delizie_44.3934_7.8168,Il Forno delle Delizie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/il_forno_delle_delizie_44.3934_7.8168.json,custom
44.391790,7.815040,ov_kombu_sushi_44.3918_7.8150,Kombu Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/kombu_sushi_44.3918_7.8150.json,custom
44.390166,7.819210,ov_mondofood_44.3902_7.8192,Mondofood,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/mondofood_44.3902_7.8192.json,custom
44.390179,7.816770,ov_gastronomia_ristorantino_marchisio_44.3902_7.8168,Gastronomia Ristorantino Marchisio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/gastronomia_ristorantino_marchisio_44.3902_7.8168.json,custom
44.388764,7.821542,ov_mai_thai_mondovi_44.3888_7.8215,Mai Thai Mondovi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/mai_thai_mondovi_44.3888_7.8215.json,custom
44.388817,7.821549,ov_matice_vin_et_cuisine_44.3888_7.8215,Matice Vin Et Cuisine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/matice_vin_et_cuisine_44.3888_7.8215.json,custom
44.389985,7.822418,ov_ristorante_4_stagioni_44.3900_7.8224,Ristorante 4 Stagioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/ristorante_4_stagioni_44.3900_7.8224.json,custom
44.389427,7.822255,ov_il_viavai_44.3894_7.8223,Il Viavai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/il_viavai_44.3894_7.8223.json,custom
44.389814,7.821710,ov_vicolo_corto_piccola_ristorazione_44.3898_7.8217,Vicolo Corto Piccola Ristorazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/vicolo_corto_piccola_ristorazione_44.3898_7.8217.json,custom
44.389891,7.821418,ov_pizzeria_don_alfo_44.3899_7.8214,Pizzeria Don Alfo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/pizzeria_don_alfo_44.3899_7.8214.json,custom
44.390386,7.821852,ov_la_saluteria_44.3904_7.8219,La Saluteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/la_saluteria_44.3904_7.8219.json,custom
44.390995,7.822345,ov_il_vesuvio_mondov__44.3910_7.8223,Il Vesuvio Mondovì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/il_vesuvio_mondov_44.3910_7.8223.json,custom
44.388932,7.829616,ov_pizzeria_orologio_44.3889_7.8296,Pizzeria Orologio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/pizzeria_orologio_44.3889_7.8296.json,custom
44.388874,7.829459,ov_ristorante_pizzeria_belvedere_44.3889_7.8295,Ristorante Pizzeria Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/ristorante_pizzeria_belvedere_44.3889_7.8295.json,custom
44.388725,7.829924,ov_cantine_bonaparte_44.3887_7.8299,Cantine Bonaparte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/cantine_bonaparte_44.3887_7.8299.json,custom
44.387870,7.830944,ov_pizzeria_la_piemontese_44.3879_7.8309,Pizzeria La Piemontese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/pizzeria_la_piemontese_44.3879_7.8309.json,custom
44.387869,7.829360,ov_taverna_garibaldi_44.3879_7.8294,Taverna Garibaldi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/taverna_garibaldi_44.3879_7.8294.json,custom
44.388635,7.829973,ov_osteria_bertaina_44.3886_7.8300,Osteria Bertaina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/osteria_bertaina_44.3886_7.8300.json,custom
44.388398,7.829564,ov_locanda_dei_bressani_44.3884_7.8296,Locanda Dei Bressani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/locanda_dei_bressani_44.3884_7.8296.json,custom
44.388369,7.821255,ov_pokey_44.3884_7.8213,Pokey,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/pokey_44.3884_7.8213.json,custom
44.388149,7.820856,ov_kombu_44.3881_7.8209,Kombu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/kombu_44.3881_7.8209.json,custom
44.387381,7.820106,ov_capri_44.3874_7.8201,Capri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/capri_44.3874_7.8201.json,custom
44.386460,7.820340,ov_osteria_masticabrodo_44.3865_7.8203,Osteria Masticabrodo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/osteria_masticabrodo_44.3865_7.8203.json,custom
44.385403,7.813297,ov_lo_sbrano_44.3854_7.8133,Lo Sbrano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/lo_sbrano_44.3854_7.8133.json,custom
44.385210,7.819072,ov_osteria_la_gabola_44.3852_7.8191,Osteria la Gabola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/osteria_la_gabola_44.3852_7.8191.json,custom
44.384424,7.815403,ov_pizza___co__44.3844_7.8154,Pizza & Co.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/pizza_co_44.3844_7.8154.json,custom
44.383683,7.818516,ov_officine_amis_44.3837_7.8185,Officine Amis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mondov/pages/officine_amis_44.3837_7.8185.json,custom
