# lat,lng,id,name,building_type,type,url,page_type
# casalbordino -- restaurants
42.126652,14.515600,ov_home_restaurant___le_delizie_di_luigia_42.1267_14.5156,Home Restaurant - Le Delizie di Luigia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/home_restaurant_-_le_delizie_di_luigia_42.1267_14.5156.json,custom
42.141857,14.515435,ov_la_collina_degli_allori_42.1419_14.5154,La Collina degli Allori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/la_collina_degli_allori_42.1419_14.5154.json,custom
42.150996,14.586983,ov_laflorida_casalbordino_42.1510_14.5870,LaFlorida Casalbordino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/laflorida_casalbordino_42.1510_14.5870.json,custom
42.150883,14.586815,ov_lu_pulit___ristopizza_42.1509_14.5868,Lu Pulit - RistoPizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/lu_pulit_-_ristopizza_42.1509_14.5868.json,custom
42.150079,14.584317,ov_pizza_taxi_42.1501_14.5843,Pizza Taxi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/pizza_taxi_42.1501_14.5843.json,custom
42.150558,14.584836,ov_bistro_da_antonina_42.1506_14.5848,Bistro da Antonina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/bistro_da_antonina_42.1506_14.5848.json,custom
42.150003,14.582571,ov_passione_42.1500_14.5826,Passione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/passione_42.1500_14.5826.json,custom
42.148744,14.598284,ov_lum__home_restaurant_42.1487_14.5983,Lumà Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/lum_home_restaurant_42.1487_14.5983.json,custom
42.185100,14.606606,ov_fuoco_26_42.1851_14.6066,Fuoco 26,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/fuoco_26_42.1851_14.6066.json,custom
42.159182,14.615393,ov_panificio_d_aurizio_42.1592_14.6154,Panificio D'Aurizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/panificio_daurizio_42.1592_14.6154.json,custom
42.158308,14.615634,ov_pescheria_mare_azzurro_42.1583_14.6156,pescheria mare azzurro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/pescheria_mare_azzurro_42.1583_14.6156.json,custom
42.184961,14.639111,ov_laghi_del_sole_42.1850_14.6391,Laghi del Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/laghi_del_sole_42.1850_14.6391.json,custom
42.194963,14.633523,ov_lido_stella_del_sud_42.1950_14.6335,Lido Stella del Sud,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/lido_stella_del_sud_42.1950_14.6335.json,custom
42.194533,14.633955,ov_karma_202_42.1945_14.6340,KARMA 202,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/karma_202_42.1945_14.6340.json,custom
42.194409,14.634576,ov_pizzamore_di_nora_e_silvia_42.1944_14.6346,PizzAmore di Nora e Silvia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/pizzamore_di_nora_e_silvia_42.1944_14.6346.json,custom
42.194500,14.633213,ov_a_un_passo_dal_mare_42.1945_14.6332,A Un Passo dal Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/a_un_passo_dal_mare_42.1945_14.6332.json,custom
42.194770,14.633242,ov_bistrot_69_42.1948_14.6332,Bistrot 69,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/bistrot_69_42.1948_14.6332.json,custom
42.195764,14.629033,ov_finisterrae_42.1958_14.6290,FinisTerrae,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/finisterrae_42.1958_14.6290.json,custom
42.200543,14.615078,ov_finisterrae_42.2005_14.6151,FinisTerrae,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/finisterrae_42.2005_14.6151.json,custom
42.198890,14.603470,ov_agriturismo_santo_stefano_42.1989_14.6035,Agriturismo Santo Stefano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/casalbordino/pages/agriturismo_santo_stefano_42.1989_14.6035.json,custom
