# lat,lng,id,name,building_type,type,url,page_type
# nocera_superiore -- restaurants.csv
40.733101,14.678446,ov_bar_snack_40.7331_14.6784,Bar snack,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/nocera_superiore/pages/bar_snack_40.7331_14.6784.json,custom
40.810594,14.365121,ov_l_angolo_del_gusto_40.8106_14.3651,L'Angolo del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/nocera_superiore/pages/langolo_del_gusto_40.8106_14.3651.json,custom
40.725178,14.686261,ov_ristorante_il_castagneto_40.7252_14.6863,Ristorante Il Castagneto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/nocera_superiore/pages/ristorante_il_castagneto_40.7252_14.6863.json,custom
40.727260,14.686363,ov_villa_maddalena_40.7273_14.6864,Villa Maddalena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/nocera_superiore/pages/villa_maddalena_40.7273_14.6864.json,custom
40.730960,14.687710,ov_ristorante_kokoro_40.7310_14.6877,Ristorante Kokoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/nocera_superiore/pages/ristorante_kokoro_40.7310_14.6877.json,custom
40.729742,14.689123,ov_mcdonald_s_40.7297_14.6891,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/nocera_superiore/pages/mcdonalds_40.7297_14.6891.json,custom
40.731292,14.688046,ov_bay_40.7313_14.6880,Bay,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/nocera_superiore/pages/bay_40.7313_14.6880.json,custom
40.731295,14.687396,ov_tattira_40.7313_14.6874,Tattira,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/nocera_superiore/pages/tattira_40.7313_14.6874.json,custom
40.732464,14.686629,ov_sfoglia_d_oro_40.7325_14.6866,Sfoglia d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/nocera_superiore/pages/sfoglia_doro_40.7325_14.6866.json,custom
40.738153,14.687490,ov_ristopizza_da_gennaro_40.7382_14.6875,Ristopizza da Gennaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/nocera_superiore/pages/ristopizza_da_gennaro_40.7382_14.6875.json,custom
40.740570,14.686620,ov_paul__40.7406_14.6866,Paulù,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/nocera_superiore/pages/paul_40.7406_14.6866.json,custom
