# lat,lng,id,name,building_type,type,url,page_type
# orta_di_atella -- restaurants.csv
40.852206,14.267485,ov_la_pizza_in_teglia_di_stefano_caiazza_40.8522_14.2675,La Pizza In Teglia di Stefano Caiazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/la_pizza_in_teglia_di_stefano_caiazza_40.8522_14.2675.json,custom
40.938439,14.269898,ov_pizzeria_la_villa_40.9384_14.2699,Pizzeria la Villa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/pizzeria_la_villa_40.9384_14.2699.json,custom
40.960642,14.277390,ov_o__figlio_d_o__macellar_40.9606_14.2774,O' Figlio D'o' Macellar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/o_figlio_do_macellar_40.9606_14.2774.json,custom
40.969328,14.271542,ov_ristorante_trattoria_la_locanda_degli_ar_40.9693_14.2715,Ristorante Trattoria La Locanda degli Artisti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/ristorante_trattoria_la_locanda_degli_ar_40.9693_14.2715.json,custom
40.967810,14.270177,ov_ristorante_maruzz__40.9678_14.2702,Ristorante Maruzzè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/ristorante_maruzz_40.9678_14.2702.json,custom
40.964410,14.264040,ov_steak_burger_gourmet_40.9644_14.2640,Steak Burger Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/steak_burger_gourmet_40.9644_14.2640.json,custom
40.965244,14.265101,ov_pizzeria_ammor_e_passion_40.9652_14.2651,Pizzeria Ammor e Passion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/pizzeria_ammor_e_passion_40.9652_14.2651.json,custom
40.964248,14.261716,ov_briciole_di_pasta_40.9642_14.2617,Briciole di Pasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/briciole_di_pasta_40.9642_14.2617.json,custom
40.963378,14.263142,ov_pizzeria_l_oro_di_napoli_40.9634_14.2631,Pizzeria L'Oro Di Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/pizzeria_loro_di_napoli_40.9634_14.2631.json,custom
40.964843,14.268107,ov_pizzeria_anema_e_core_40.9648_14.2681,Pizzeria Anema e Core,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/orta_di_atella/pages/pizzeria_anema_e_core_40.9648_14.2681.json,custom
