# lat,lng,id,name,building_type,type,url,page_type
# recco -- restaurants
44.395460,9.152839,ov_da_angelo_recco_44.3955_9.1528,Da Angelo Recco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/recco/pages/da_angelo_recco_44.3955_9.1528.json,custom
44.379805,9.153757,ov_locanda_borgo_antico_44.3798_9.1538,Locanda Borgo Antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/recco/pages/locanda_borgo_antico_44.3798_9.1538.json,custom
44.364717,9.147079,ov_focaccia_in_piazzetta_44.3647_9.1471,Focaccia In Piazzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/recco/pages/focaccia_in_piazzetta_44.3647_9.1471.json,custom
44.366467,9.146648,ov_da_o_vittorio_44.3665_9.1466,Da O Vittorio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/recco/pages/da_o_vittorio_44.3665_9.1466.json,custom
44.363285,9.143401,ov_ristorante_pizzeria_del_ponte_44.3633_9.1434,Ristorante Pizzeria Del Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/recco/pages/ristorante_pizzeria_del_ponte_44.3633_9.1434.json,custom
44.363670,9.138182,ov_trattoria_al_baretto_44.3637_9.1382,Trattoria Al Baretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/recco/pages/trattoria_al_baretto_44.3637_9.1382.json,custom
44.362460,9.135425,ov_ristorante_pizzeria_da_luca_e_paolo_44.3625_9.1354,Ristorante Pizzeria Da Luca e Paolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/recco/pages/ristorante_pizzeria_da_luca_e_paolo_44.3625_9.1354.json,custom
44.362612,9.141619,ov_al_pomodoro_44.3626_9.1416,Al Pomodoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/recco/pages/al_pomodoro_44.3626_9.1416.json,custom
44.362615,9.143493,ov_fassoneria_recco_44.3626_9.1435,Fassoneria Recco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/recco/pages/fassoneria_recco_44.3626_9.1435.json,custom
44.362557,9.143433,ov_teo_s_food___music_44.3626_9.1434,Teo's Food & Music,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/recco/pages/teos_food_music_44.3626_9.1434.json,custom
