# lat,lng,id,name,building_type,type,url,page_type
# cambiago -- restaurants
45.568316,9.408811,ov_agriturismo_la_torrazza_45.5683_9.4088,Agriturismo La Torrazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cambiago/pages/agriturismo_la_torrazza_45.5683_9.4088.json,custom
45.573532,9.426319,ov_pizzeria_da_franco_45.5735_9.4263,Pizzeria Da Franco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cambiago/pages/pizzeria_da_franco_45.5735_9.4263.json,custom
45.572975,9.428693,ov_pizzeria_pachino_di_federico_cosentino_c_45.5730_9.4287,Pizzeria Pachino di Federico Cosentino Cambiago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cambiago/pages/pizzeria_pachino_di_federico_cosentino_c_45.5730_9.4287.json,custom
45.572861,9.423571,ov_central_pizza_45.5729_9.4236,Central Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cambiago/pages/central_pizza_45.5729_9.4236.json,custom
45.570730,9.419800,ov_miho_sushi_cambiago_45.5707_9.4198,Miho Sushi Cambiago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cambiago/pages/miho_sushi_cambiago_45.5707_9.4198.json,custom
45.576038,9.419647,ov_ristorante_la_giara_45.5760_9.4196,Ristorante La Giara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cambiago/pages/ristorante_la_giara_45.5760_9.4196.json,custom
45.577696,9.418872,ov_fish_caf__bistrot_45.5777_9.4189,Fish Cafè Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cambiago/pages/fish_caf_bistrot_45.5777_9.4189.json,custom
45.577497,9.419874,ov_so_good_45.5775_9.4199,So Good,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cambiago/pages/so_good_45.5775_9.4199.json,custom
45.577135,9.419600,ov_radici_napoli_in_tavola_45.5771_9.4196,Radici Napoli In Tavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cambiago/pages/radici_napoli_in_tavola_45.5771_9.4196.json,custom
45.580080,9.433030,ov_birra___brace_45.5801_9.4330,Birra & Brace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cambiago/pages/birra_brace_45.5801_9.4330.json,custom
45.565361,9.429500,osm_locanda_clorofilla_45.5654_9.4295,Locanda Clorofilla,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cambiago/pages/locanda_clorofilla_45.5654_9.4295.json,custom
45.577657,9.419688,osm_so_good_45.5777_9.4197,So Good,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cambiago/pages/so_good_45.5777_9.4197.json,custom
