# lat,lng,id,name,building_type,type,url,page_type
# ormont-dessus -- restaurants.csv
46.349349,7.157380,ov_le_muguet_46.3493_7.1574,Le Muguet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/le_muguet_46.3493_7.1574.json,custom
46.347713,7.156886,ov_la_potini_re_46.3477_7.1569,La Potinière,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/la_potinire_46.3477_7.1569.json,custom
46.347650,7.156190,ov_altitude_1720_46.3477_7.1562,Altitude 1720,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/altitude_1720_46.3477_7.1562.json,custom
46.352138,7.153153,ov_la_belle_descente_46.3521_7.1532,La Belle Descente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/la_belle_descente_46.3521_7.1532.json,custom
46.352970,7.151820,ov_au_1865_46.3530_7.1518,Au 1865,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/au_1865_46.3530_7.1518.json,custom
46.354761,7.122541,ov_station_66_46.3548_7.1225,Station 66,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/station_66_46.3548_7.1225.json,custom
46.332083,7.132429,ov_les_mazots_46.3321_7.1324,Les Mazots,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/les_mazots_46.3321_7.1324.json,custom
46.346533,7.154130,ov_chez_la_julie_46.3465_7.1541,Chez La Julie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/chez_la_julie_46.3465_7.1541.json,custom
46.348975,7.158591,ov_l_ormonan_46.3490_7.1586,L'Ormonan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/lormonan_46.3490_7.1586.json,custom
46.359686,7.198055,ov_auberge_restaurant_du_lac_retaud_46.3597_7.1981,Auberge Restaurant du Lac Retaud,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/auberge_restaurant_du_lac_retaud_46.3597_7.1981.json,custom
46.353704,7.205478,ov_glacier_3000_restaurant_46.3537_7.2055,Glacier 3000 restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/glacier_3000_restaurant_46.3537_7.2055.json,custom
46.355825,7.127160,osm_mon_s_jour_46.3558_7.1272,Mon Séjour,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/mon_sjour_46.3558_7.1272.json,custom
46.369020,7.207567,osm_chalet_vieux_46.3690_7.2076,Chalet Vieux,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/chalet_vieux_46.3690_7.2076.json,custom
46.352913,7.153171,osm_les_lilas_46.3529_7.1532,Les Lilas,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/ormont-dessus/pages/les_lilas_46.3529_7.1532.json,custom
