# lat,lng,id,name,building_type,type,url,page_type
# farra_di_soligo -- restaurants
45.894799,12.085562,ov_giorgio_pizza_45.8948_12.0856,Giorgio Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/giorgio_pizza_45.8948_12.0856.json,custom
45.895294,12.087093,ov_istituto_botteselle_45.8953_12.0871,Istituto Botteselle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/istituto_botteselle_45.8953_12.0871.json,custom
45.909050,12.162770,ov_crokante_pasticceria_pizzeria_45.9091_12.1628,Crokante Pasticceria Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/crokante_pasticceria_pizzeria_45.9091_12.1628.json,custom
45.906599,12.158691,ov_pizzeria_tonino_pizza_45.9066_12.1587,Pizzeria Tonino Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/pizzeria_tonino_pizza_45.9066_12.1587.json,custom
45.910486,12.154908,ov_macelleria_amica_45.9105_12.1549,Macelleria Amica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/macelleria_amica_45.9105_12.1549.json,custom
45.911504,12.156236,ov_ristorante_tino_gourmet_45.9115_12.1562,Ristorante Tino Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/ristorante_tino_gourmet_45.9115_12.1562.json,custom
45.912720,12.154106,ov_osteria_da_norio_45.9127_12.1541,Osteria da norio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/osteria_da_norio_45.9127_12.1541.json,custom
45.909643,12.145704,ov_bar_osteria_antica_cao_de_villa_45.9096_12.1457,Bar Osteria Antica Cao De Villa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/bar_osteria_antica_cao_de_villa_45.9096_12.1457.json,custom
45.916071,12.145561,ov_locanda_la_candola___seda___ristorante_45.9161_12.1456,Locanda La Candola | Seda - Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/locanda_la_candola_seda_-_ristorante_45.9161_12.1456.json,custom
45.908275,12.134656,ov_la_vacamata_farra_45.9083_12.1347,La VacaMata Farra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/farra_di_soligo/pages/la_vacamata_farra_45.9083_12.1347.json,custom
