# lat,lng,id,name,building_type,type,url,page_type
# mentana -- bars_cafes
42.012830,12.638625,ov_mangia_bene_e_bevi_sano_da_nicola_il_sic_42.0128_12.6386,Mangia Bene E Bevi Sano Da Nicola Il Siciliano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/mangia_bene_e_bevi_sano_da_nicola_il_sic_42.0128_12.6386.json,custom
42.056754,12.702743,ov_revolution_caf__42.0568_12.7027,Revolution Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/revolution_caf_42.0568_12.7027.json,custom
42.053867,12.697561,ov_bar_lupin_42.0539_12.6976,Bar Lupin,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/bar_lupin_42.0539_12.6976.json,custom
42.053847,12.697713,ov_lupin_iii_42.0538_12.6977,Lupin III,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/lupin_iii_42.0538_12.6977.json,custom
42.057055,12.697121,ov_chicca_bar_42.0571_12.6971,Chicca Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/chicca_bar_42.0571_12.6971.json,custom
42.057238,12.697599,ov_bar_centrale_42.0572_12.6976,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/bar_centrale_42.0572_12.6976.json,custom
42.032322,12.661375,ov_birra_turbacci_42.0323_12.6614,Birra Turbacci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/birra_turbacci_42.0323_12.6614.json,custom
42.024462,12.649240,ov_bar_centrale_42.0245_12.6492,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/bar_centrale_42.0245_12.6492.json,custom
42.025634,12.649382,ov_bar_one_42.0256_12.6494,Bar One,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/bar_one_42.0256_12.6494.json,custom
42.029825,12.645353,ov_il_calicetto_enoteca_42.0298_12.6454,Il Calicetto-Enoteca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/il_calicetto-enoteca_42.0298_12.6454.json,custom
42.034489,12.643695,ov_paradise_cafe_42.0345_12.6437,Paradise Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/paradise_cafe_42.0345_12.6437.json,custom
42.035495,12.644326,ov_bar_al_centro_42.0355_12.6443,Bar Al Centro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/bar_al_centro_42.0355_12.6443.json,custom
42.035470,12.644543,ov_savini_bistrot_42.0355_12.6445,Savini Bistrot,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/savini_bistrot_42.0355_12.6445.json,custom
42.034363,12.648281,ov_caff__fioravanti_42.0344_12.6483,Caffè Fioravanti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/caff_fioravanti_42.0344_12.6483.json,custom
42.037120,12.643194,ov_the_road_69_42.0371_12.6432,The Road 69,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/the_road_69_42.0371_12.6432.json,custom
42.038206,12.644247,ov_parco_tonino_marcheggiani_42.0382_12.6442,Parco Tonino Marcheggiani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/parco_tonino_marcheggiani_42.0382_12.6442.json,custom
42.037970,12.637364,ov_bar_dea_42.0380_12.6374,Bar Dea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/bar_dea_42.0380_12.6374.json,custom
42.038010,12.637515,ov_dolci_e_caff__le_golosit__42.0380_12.6375,Dolci e Caffè le golosità,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/dolci_e_caff_le_golosit_42.0380_12.6375.json,custom
42.036636,12.641474,ov_la_piazza_42.0366_12.6415,La piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/umbria/mentana/pages/la_piazza_42.0366_12.6415.json,custom
