# lat,lng,id,name,building_type,type,url,page_type
# bussoleno -- restaurants
45.139119,7.147165,ov_pizzeria_peccati_di_gola_45.1391_7.1472,Pizzeria Peccati Di Gola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bussoleno/pages/pizzeria_peccati_di_gola_45.1391_7.1472.json,custom
45.139137,7.145239,ov_mangia_mangia___bussoleno_45.1391_7.1452,MANGIA MANGIA | Bussoleno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bussoleno/pages/mangia_mangia_bussoleno_45.1391_7.1452.json,custom
45.138920,7.148880,ov_meat_house_45.1389_7.1489,Meat House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bussoleno/pages/meat_house_45.1389_7.1489.json,custom
45.138776,7.150118,ov_oscar_pizza_kebab_45.1388_7.1501,Oscar pizza kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bussoleno/pages/oscar_pizza_kebab_45.1388_7.1501.json,custom
45.138345,7.153663,ov_pizzeria_miseria_e_nobilt__45.1383_7.1537,Pizzeria Miseria e Nobiltà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bussoleno/pages/pizzeria_miseria_e_nobilt_45.1383_7.1537.json,custom
45.137410,7.147730,ov_il_vecchio_museo_di_jenny_45.1374_7.1477,Il vecchio Museo di Jenny,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bussoleno/pages/il_vecchio_museo_di_jenny_45.1374_7.1477.json,custom
45.137798,7.148274,ov_la_credenza___osteria_popolare_bussoleno_45.1378_7.1483,La Credenza - Osteria Popolare Bussoleno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bussoleno/pages/la_credenza_-_osteria_popolare_bussoleno_45.1378_7.1483.json,custom
45.137657,7.147854,ov_la_locanda_dell_orsiera_45.1377_7.1479,La Locanda dell'Orsiera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bussoleno/pages/la_locanda_dellorsiera_45.1377_7.1479.json,custom
45.135220,7.171500,ov_lo_squalo_45.1352_7.1715,Lo squalo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bussoleno/pages/lo_squalo_45.1352_7.1715.json,custom
45.142870,7.115158,osm_zia_rosa_45.1429_7.1152,Zia Rosa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bussoleno/pages/zia_rosa_45.1429_7.1152.json,custom
45.138771,7.150124,osm_occhio_di_horus_45.1388_7.1501,Occhio di Horus,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bussoleno/pages/occhio_di_horus_45.1388_7.1501.json,custom
45.138337,7.147461,osm_il_golosone_45.1383_7.1475,Il Golosone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bussoleno/pages/il_golosone_45.1383_7.1475.json,custom
