# lat,lng,id,name,building_type,type,url,page_type
# sannazzaro_de_burgondi -- bars_cafes
45.097970,8.906840,ov_eni_caf__sannazzaro_45.0980_8.9068,Eni cafè Sannazzaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sannazzaro_de_burgondi/pages/eni_caf_sannazzaro_45.0980_8.9068.json,custom
45.108662,8.912255,ov_la_malaspina_45.1087_8.9123,La Malaspina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sannazzaro_de_burgondi/pages/la_malaspina_45.1087_8.9123.json,custom
45.106970,8.912550,ov_colazioni_pranzi_aperitivo_circolo22_45.1070_8.9125,colazioni&pranzi&aperitivo.CIRCOLO22,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sannazzaro_de_burgondi/pages/colazionipranziaperitivocircolo22_45.1070_8.9125.json,custom
45.105380,8.905210,ov_bar_grego_45.1054_8.9052,Bar Grego,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sannazzaro_de_burgondi/pages/bar_grego_45.1054_8.9052.json,custom
45.104401,8.909842,ov_la_piazzetta_45.1044_8.9098,La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sannazzaro_de_burgondi/pages/la_piazzetta_45.1044_8.9098.json,custom
45.103660,8.907645,ov_bar_edicola_tabacchi_45.1037_8.9076,Bar Edicola Tabacchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sannazzaro_de_burgondi/pages/bar_edicola_tabacchi_45.1037_8.9076.json,custom
45.101392,8.909193,ov_bar_san_bernardino_45.1014_8.9092,Bar San Bernardino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sannazzaro_de_burgondi/pages/bar_san_bernardino_45.1014_8.9092.json,custom
45.102052,8.906559,ov_caff__cordera_45.1021_8.9066,Caffè Cordera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sannazzaro_de_burgondi/pages/caff_cordera_45.1021_8.9066.json,custom
45.102006,8.907497,ov_caffe_roma_45.1020_8.9075,Caffe Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sannazzaro_de_burgondi/pages/caffe_roma_45.1020_8.9075.json,custom
45.102870,8.908432,ov_sole_e_luna__sannazzaro_d_burgondi_45.1029_8.9084,Sole E Luna  Sannazzaro D'Burgondi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sannazzaro_de_burgondi/pages/sole_e_luna_sannazzaro_dburgondi_45.1029_8.9084.json,custom
45.102997,8.907826,ov_bar_merengue_45.1030_8.9078,Bar Merengue,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sannazzaro_de_burgondi/pages/bar_merengue_45.1030_8.9078.json,custom
45.103330,8.899690,ov_circolo_eni_club_45.1033_8.8997,Circolo Eni Club,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/sannazzaro_de_burgondi/pages/circolo_eni_club_45.1033_8.8997.json,custom
