# lat,lng,id,name,building_type,type,url,page_type
# falconara_marittima -- restaurants
43.646869,13.352120,ov_casa_albero_ristorante_43.6469_13.3521,Casa Albero Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/casa_albero_ristorante_43.6469_13.3521.json,custom
43.646600,13.352124,ov_il_capriccio_43.6466_13.3521,Il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/il_capriccio_43.6466_13.3521.json,custom
43.606861,13.360348,ov_ristorante_oasi_cannetacci_43.6069_13.3603,Ristorante Oasi Cannetacci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/ristorante_oasi_cannetacci_43.6069_13.3603.json,custom
43.606869,13.360245,ov_oasi_cannettacci_43.6069_13.3602,Oasi Cannettacci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/oasi_cannettacci_43.6069_13.3602.json,custom
43.606662,13.364956,ov_pasta_fresca_com_era_una_volta_43.6067_13.3650,Pasta Fresca Com'era una Volta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/pasta_fresca_comera_una_volta_43.6067_13.3650.json,custom
43.606418,13.365671,ov_pizzeria_margherita_castelferretti_43.6064_13.3657,Pizzeria Margherita Castelferretti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/pizzeria_margherita_castelferretti_43.6064_13.3657.json,custom
43.604460,13.363395,ov_pizzeria_le_ville_due_43.6045_13.3634,Pizzeria Le Ville Due,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/pizzeria_le_ville_due_43.6045_13.3634.json,custom
43.611235,13.374642,ov_osteria_altrove_43.6112_13.3746,Osteria Altrove,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/osteria_altrove_43.6112_13.3746.json,custom
43.613530,13.377032,ov_villa_bruna_43.6135_13.3770,Villa Bruna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/villa_bruna_43.6135_13.3770.json,custom
43.620116,13.377004,ov_l_alicetta_43.6201_13.3770,L'Alicetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/lalicetta_43.6201_13.3770.json,custom
43.644798,13.365277,ov_bar_ida_43.6448_13.3653,Bar ida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/bar_ida_43.6448_13.3653.json,custom
43.643357,13.366489,ov_ristorante_alla_marina_43.6434_13.3665,Ristorante Alla Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/ristorante_alla_marina_43.6434_13.3665.json,custom
43.643228,13.366524,ov_luce_di_resina_43.6432_13.3665,Luce di Resina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/luce_di_resina_43.6432_13.3665.json,custom
43.640404,13.366647,ov_trattoria_la_rocca_43.6404_13.3666,Trattoria La Rocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/trattoria_la_rocca_43.6404_13.3666.json,custom
43.630420,13.390528,ov_hostaria_da_bacco_43.6304_13.3905,Hostaria Da Bacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/hostaria_da_bacco_43.6304_13.3905.json,custom
43.631803,13.391854,ov_las_vegas_ristorante_pizzeria_43.6318_13.3919,Las Vegas Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/las_vegas_ristorante_pizzeria_43.6318_13.3919.json,custom
43.632012,13.392412,ov_pizzeria_down_town_43.6320_13.3924,Pizzeria Down Town,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/pizzeria_down_town_43.6320_13.3924.json,custom
43.630377,13.395422,ov_gistar_cafe_43.6304_13.3954,Gistar Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/gistar_cafe_43.6304_13.3954.json,custom
43.629268,13.398571,ov_l_angolo_bar_pizzeria_43.6293_13.3986,L'angolo Bar Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/langolo_bar_pizzeria_43.6293_13.3986.json,custom
43.628789,13.398248,ov_my_pok____la_ciotola_che_spakka_43.6288_13.3982,My Pokè - La ciotola che spakka,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/my_pok_-_la_ciotola_che_spakka_43.6288_13.3982.json,custom
43.628662,13.398326,ov_pizzeria_gm_la_romana_43.6287_13.3983,Pizzeria GM La Romana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/pizzeria_gm_la_romana_43.6287_13.3983.json,custom
43.628222,13.397668,ov_ristorante_la_plaza_43.6282_13.3977,Ristorante La Plaza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/ristorante_la_plaza_43.6282_13.3977.json,custom
43.628186,13.397644,ov_anello_d_oro_43.6282_13.3976,Anello D'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/anello_doro_43.6282_13.3976.json,custom
43.628638,13.397609,ov_fresco_turkish_d_ner_kebab_43.6286_13.3976,Fresco turkish döner kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/fresco_turkish_dner_kebab_43.6286_13.3976.json,custom
43.628884,13.397766,ov_farinando_falconara_43.6289_13.3978,Farinando Falconara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/farinando_falconara_43.6289_13.3978.json,custom
43.629878,13.394745,ov_la_fresca_43.6299_13.3947,La Fresca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/la_fresca_43.6299_13.3947.json,custom
43.627625,13.393520,ov_la_bussola_43.6276_13.3935,La Bussola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/la_bussola_43.6276_13.3935.json,custom
43.628337,13.399704,ov_casa_del_tortellino_43.6283_13.3997,Casa del tortellino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/casa_del_tortellino_43.6283_13.3997.json,custom
43.629604,13.400104,ov_chiaretta_beach_43.6296_13.4001,Chiaretta beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/chiaretta_beach_43.6296_13.4001.json,custom
43.629225,13.400861,ov_nero_di_seppia_43.6292_13.4009,Nero di Seppia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/nero_di_seppia_43.6292_13.4009.json,custom
43.628764,13.401050,ov_abbronzatissima_beach_43.6288_13.4010,Abbronzatissima beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/abbronzatissima_beach_43.6288_13.4010.json,custom
43.627384,13.402696,ov_pizzeria_down_town_43.6274_13.4027,Pizzeria Down Town,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/pizzeria_down_town_43.6274_13.4027.json,custom
43.627014,13.402992,ov_delizie_di_mare_43.6270_13.4030,Delizie di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/delizie_di_mare_43.6270_13.4030.json,custom
43.627322,13.403551,ov_ita_sushi_43.6273_13.4036,Ita Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/ita_sushi_43.6273_13.4036.json,custom
43.625858,13.404737,ov_ristorante_pizzeria_il_falcone_43.6259_13.4047,Ristorante Pizzeria Il Falcone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/ristorante_pizzeria_il_falcone_43.6259_13.4047.json,custom
43.626816,13.403055,ov_l_angolo_della_pasta_43.6268_13.4031,L'angolo della pasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/langolo_della_pasta_43.6268_13.4031.json,custom
43.626094,13.403581,ov_angolo_wine_bistrot_43.6261_13.4036,Angolo Wine Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/angolo_wine_bistrot_43.6261_13.4036.json,custom
43.624876,13.404859,ov_l_imprevisto_pizzeria_43.6249_13.4049,L'imprevisto pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/limprevisto_pizzeria_43.6249_13.4049.json,custom
43.623729,13.403918,ov_orange_restaurant_al_touring_43.6237_13.4039,Orange Restaurant Al Touring,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/falconara_marittima/pages/orange_restaurant_al_touring_43.6237_13.4039.json,custom
