# lat,lng,id,name,building_type,type,url,page_type
# vipava -- restaurants.csv
45.863768,13.961435,ov_gostilna_pri_kobalu_45.8638_13.9614,Gostilna pri Kobalu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/gostilna_pri_kobalu_45.8638_13.9614.json,custom
45.844980,13.962800,ov_jolly_vipava_bar_grill_45.8450_13.9628,Jolly Vipava Bar&Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/jolly_vipava_bargrill_45.8450_13.9628.json,custom
45.845874,13.963045,ov_gostilna_podfarov__45.8459_13.9630,Gostilna Podfarovž,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/gostilna_podfarov_45.8459_13.9630.json,custom
45.846375,13.963244,ov_faladur_restaurant___wine_bar_45.8464_13.9632,Faladur Restaurant & Wine Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/faladur_restaurant_wine_bar_45.8464_13.9632.json,custom
45.845981,13.962521,ov_krhne_vipava_45.8460_13.9625,Krhne Vipava,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/krhne_vipava_45.8460_13.9625.json,custom
45.840291,13.958975,ov_picerija_na_placu_45.8403_13.9590,Picerija Na Placu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/picerija_na_placu_45.8403_13.9590.json,custom
45.822447,13.923071,ov_cejkotova_doma_ija_45.8224_13.9231,Cejkotova Domačija,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/cejkotova_domaija_45.8224_13.9231.json,custom
45.842287,13.929266,ov_majerija_45.8423_13.9293,Majerija,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/majerija_45.8423_13.9293.json,custom
45.855580,13.949098,ov_gostilna_pri_lojzetu_45.8556_13.9491,Gostilna pri Lojzetu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/gostilna_pri_lojzetu_45.8556_13.9491.json,custom
45.822649,13.922973,osm_cejkotova_doma_ija_45.8226_13.9230,Cejkotova domačija,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/cejkotova_domaija_45.8226_13.9230.json,custom
45.835523,13.935072,osm_turisti_na_kmetija_na_hribu_45.8355_13.9351,Turistična kmetija Na hribu,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/turistina_kmetija_na_hribu_45.8355_13.9351.json,custom
45.840434,13.935384,osm_doma_ija_malik_45.8404_13.9354,Domačija Malik,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/domaija_malik_45.8404_13.9354.json,custom
45.845024,13.962766,osm_jolly_bar_and_grill_45.8450_13.9628,Jolly Bar and Grill,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/jolly_bar_and_grill_45.8450_13.9628.json,custom
45.846380,13.963252,osm_gustl___vipavski_posebne__45.8464_13.9633,Gustl - Vipavski posebnež,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/gustl_-_vipavski_posebne_45.8464_13.9633.json,custom
45.863525,13.961319,osm_gostilna_in_picerija_pri_kobalu_45.8635_13.9613,Gostilna in picerija pri Kobalu,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/gostilna_in_picerija_pri_kobalu_45.8635_13.9613.json,custom
45.866775,13.935643,osm_picerija_anja_45.8668_13.9356,Picerija Anja,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/picerija_anja_45.8668_13.9356.json,custom
45.844944,13.962610,osm_gostilna_adria_45.8449_13.9626,Gostilna Adria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/vipava/pages/gostilna_adria_45.8449_13.9626.json,custom
