# lat,lng,id,name,building_type,type,url,page_type
# san_giovanni_la_punta -- restaurants
37.589951,15.085388,ov_meridiana_37.5900_15.0854,Meridiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/meridiana_37.5900_15.0854.json,custom
37.589780,15.085318,ov_terra_viva_lab_ristopizzeria_37.5898_15.0853,Terra Viva Lab Ristopizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/terra_viva_lab_ristopizzeria_37.5898_15.0853.json,custom
37.576626,15.084180,ov_rucola_e_grana_37.5766_15.0842,Rucola e Grana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/rucola_e_grana_37.5766_15.0842.json,custom
37.576568,15.081346,ov_la_deliziosa_37.5766_15.0813,La Deliziosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/la_deliziosa_37.5766_15.0813.json,custom
37.576146,15.081172,ov_ristorante_villa_soraja_37.5761_15.0812,Ristorante Villa Soraja,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/ristorante_villa_soraja_37.5761_15.0812.json,custom
37.551395,15.096570,ov_pizzeria_naturale__a_modo_mio_37.5514_15.0966,Pizzeria Naturale  A MODO MIO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pizzeria_naturale_a_modo_mio_37.5514_15.0966.json,custom
37.551708,15.096567,ov_casa_del_pesce_nemo_37.5517_15.0966,Casa Del Pesce Nemo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/casa_del_pesce_nemo_37.5517_15.0966.json,custom
37.552615,15.096871,ov_tutto_pizza_di_marino_giuseppe_37.5526_15.0969,Tutto Pizza di Marino Giuseppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/tutto_pizza_di_marino_giuseppe_37.5526_15.0969.json,custom
37.561382,15.090206,ov_il_filibustiere_37.5614_15.0902,Il Filibustiere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/il_filibustiere_37.5614_15.0902.json,custom
37.561417,15.090209,ov_pizzartino_37.5614_15.0902,PizzArtino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/san_giovanni_la_punta/pages/pizzartino_37.5614_15.0902.json,custom
