# lat,lng,id,name,building_type,type,url,page_type
# mogliano_veneto -- restaurants
45.541243,12.211908,ov_osteria_al_turbine_45.5412_12.2119,Osteria Al Turbine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/mogliano_veneto/pages/osteria_al_turbine_45.5412_12.2119.json,custom
45.541113,12.217085,ov_azienda_agrituristica_al_vecio_moraro_45.5411_12.2171,Azienda Agrituristica Al Vecio Moraro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/mogliano_veneto/pages/azienda_agrituristica_al_vecio_moraro_45.5411_12.2171.json,custom
45.549763,12.240332,ov_bar_pizzeria_san_marco_45.5498_12.2403,Bar Pizzeria San Marco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/mogliano_veneto/pages/bar_pizzeria_san_marco_45.5498_12.2403.json,custom
45.554579,12.240990,ov_da_alice_45.5546_12.2410,Da Alice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/mogliano_veneto/pages/da_alice_45.5546_12.2410.json,custom
45.554550,12.241117,ov_mies_45.5545_12.2411,Mies,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/mogliano_veneto/pages/mies_45.5545_12.2411.json,custom
45.553889,12.252473,ov_la_gustosa_45.5539_12.2525,La Gustosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/mogliano_veneto/pages/la_gustosa_45.5539_12.2525.json,custom
45.554603,12.248894,ov_coop_45.5546_12.2489,Coop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/mogliano_veneto/pages/coop_45.5546_12.2489.json,custom
45.556082,12.249042,ov_il_pastaro_45.5561_12.2490,Il Pastaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/mogliano_veneto/pages/il_pastaro_45.5561_12.2490.json,custom
45.555290,12.226594,ov_angus_churrascaria_45.5553_12.2266,Angus Churrascaria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/mogliano_veneto/pages/angus_churrascaria_45.5553_12.2266.json,custom
45.555219,12.226397,ov_ristorante_brasiliano_mogliano_veneto_45.5552_12.2264,Ristorante Brasiliano Mogliano Veneto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/mogliano_veneto/pages/ristorante_brasiliano_mogliano_veneto_45.5552_12.2264.json,custom
45.553603,12.234335,ov_ristorante_sanshi_mogliano_veneto_45.5536_12.2343,Ristorante Sanshi Mogliano Veneto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/mogliano_veneto/pages/ristorante_sanshi_mogliano_veneto_45.5536_12.2343.json,custom
