# lat,lng,id,name,building_type,type,url,page_type
# assemini -- restaurants.csv
39.290930,9.014070,ov_pizzeria_new_p3_39.2909_9.0141,Pizzeria New P3,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_new_p3_39.2909_9.0141.json,custom
39.290986,9.013579,ov_la_coccinella_fast_food_39.2910_9.0136,La Coccinella Fast Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/la_coccinella_fast_food_39.2910_9.0136.json,custom
39.291694,9.013402,ov_el_carnicero_39.2917_9.0134,El Carnicero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/el_carnicero_39.2917_9.0134.json,custom
39.298691,8.995780,ov_vcrastulendi_39.2987_8.9958,VCrastulendi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/vcrastulendi_39.2987_8.9958.json,custom
39.293735,8.990121,ov_chilometro_zero_39.2937_8.9901,Chilometro Zero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/chilometro_zero_39.2937_8.9901.json,custom
39.292153,8.995641,ov_oishii_sushi_39.2922_8.9956,Oishii Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/oishii_sushi_39.2922_8.9956.json,custom
39.292275,8.995320,ov_pizzeria_sapore_antico_39.2923_8.9953,Pizzeria Sapore antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_sapore_antico_39.2923_8.9953.json,custom
39.292478,8.995024,ov_la_piccola_focacceria_39.2925_8.9950,La Piccola Focacceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/la_piccola_focacceria_39.2925_8.9950.json,custom
39.292395,8.995444,ov_sapore_antico_39.2924_8.9954,Sapore antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/sapore_antico_39.2924_8.9954.json,custom
39.298125,8.995748,ov_pizzeria_la_brace_39.2981_8.9957,Pizzeria La Brace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_la_brace_39.2981_8.9957.json,custom
39.298172,8.995879,ov_pizzeria_ohana___assemini_39.2982_8.9959,Pizzeria Ohana - Assemini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_ohana_-_assemini_39.2982_8.9959.json,custom
39.294898,8.995997,ov_paradise_assemini_39.2949_8.9960,Paradise Assemini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/paradise_assemini_39.2949_8.9960.json,custom
39.292065,8.997257,ov_non_solo_pizza_39.2921_8.9973,Non Solo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/non_solo_pizza_39.2921_8.9973.json,custom
39.292008,8.996447,ov_pizzeria_i_4_venti_39.2920_8.9964,Pizzeria I 4 Venti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_i_4_venti_39.2920_8.9964.json,custom
39.291550,8.998149,ov_pizzeria_dolphin_39.2916_8.9981,Pizzeria Dolphin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_dolphin_39.2916_8.9981.json,custom
39.290612,8.999271,ov_shakir_donner_kebab_39.2906_8.9993,Shakir donner kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/shakir_donner_kebab_39.2906_8.9993.json,custom
39.290336,9.000548,ov_pizzeria_giorin_39.2903_9.0005,Pizzeria Giorin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_giorin_39.2903_9.0005.json,custom
39.294310,9.000459,ov_pizzeria_campidano_39.2943_9.0005,Pizzeria Campidano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_campidano_39.2943_9.0005.json,custom
39.295379,9.004143,ov_pepenero_assemini_ristorante___pizzeria_39.2954_9.0041,PepeNero Assemini Ristorante & Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pepenero_assemini_ristorante_pizzeria_39.2954_9.0041.json,custom
39.297965,9.001365,ov_sottocasa_39.2980_9.0014,SottoCasa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/sottocasa_39.2980_9.0014.json,custom
39.295315,9.012234,ov_is_scalas_agriturismo_39.2953_9.0122,Is Scalas Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/is_scalas_agriturismo_39.2953_9.0122.json,custom
39.290557,9.010004,ov_pizzeria_da_sergio_39.2906_9.0100,Pizzeria da Sergio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_da_sergio_39.2906_9.0100.json,custom
39.293787,9.012250,ov_baffo_caddozzone_39.2938_9.0122,Baffo Caddozzone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/baffo_caddozzone_39.2938_9.0122.json,custom
39.288888,9.009133,ov_sushi_nikko_totoro_39.2889_9.0091,Sushi Nikko Totoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/sushi_nikko_totoro_39.2889_9.0091.json,custom
39.286196,9.007398,ov_la_pizzetteria_39.2862_9.0074,La Pizzetteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/la_pizzetteria_39.2862_9.0074.json,custom
39.286677,9.008105,ov_c___pizza_per_te_39.2867_9.0081,C'è Pizza Per Te,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/c_pizza_per_te_39.2867_9.0081.json,custom
39.287652,9.008523,ov_pizzeria_la_baita_39.2877_9.0085,Pizzeria La Baita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_la_baita_39.2877_9.0085.json,custom
39.287651,9.009292,ov_pizzeria_ikki_39.2877_9.0093,Pizzeria Ikki,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/pizzeria_ikki_39.2877_9.0093.json,custom
39.287891,9.009684,ov_smart_barristorantepizzeria_39.2879_9.0097,Smart Barristorantepizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/assemini/pages/smart_barristorantepizzeria_39.2879_9.0097.json,custom
