# lat,lng,id,name,building_type,type,url,page_type
# castellarano -- restaurants.csv
44.529164,10.677557,ov_agriturismo_i_locati_44.5292_10.6776,Agriturismo I Locati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/agriturismo_i_locati_44.5292_10.6776.json,custom
44.531793,10.687229,ov_hotel_il_golfino_44.5318_10.6872,Hotel Il Golfino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/hotel_il_golfino_44.5318_10.6872.json,custom
44.492698,10.711679,ov_al_ristoro_di_bertolini_44.4927_10.7117,Al Ristoro di Bertolini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/al_ristoro_di_bertolini_44.4927_10.7117.json,custom
44.482500,10.677390,ov_civico160_44.4825_10.6774,Civico160,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/civico160_44.4825_10.6774.json,custom
44.482800,10.678888,ov_pizzeria_dolce_vita_44.4828_10.6789,Pizzeria Dolce Vita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/pizzeria_dolce_vita_44.4828_10.6789.json,custom
44.485218,10.683283,ov_ristorante_pizzeria_la_lanterna_44.4852_10.6833,Ristorante Pizzeria La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/ristorante_pizzeria_la_lanterna_44.4852_10.6833.json,custom
44.485556,10.683422,ov_ristorante_casa_maffei_44.4856_10.6834,Ristorante Casa Maffei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/ristorante_casa_maffei_44.4856_10.6834.json,custom
44.506727,10.726029,ov_la_dispensa_del_gigante_44.5067_10.7260,La Dispensa del Gigante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/la_dispensa_del_gigante_44.5067_10.7260.json,custom
44.509367,10.729220,ov_doppiozero_44.5094_10.7292,Doppiozero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/doppiozero_44.5094_10.7292.json,custom
44.509191,10.729310,ov_kebab_house_e_fast_food_44.5092_10.7293,Kebab house e fast food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/kebab_house_e_fast_food_44.5092_10.7293.json,custom
44.510727,10.730857,ov_sale_pepe_44.5107_10.7309,Sale Pepe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/sale_pepe_44.5107_10.7309.json,custom
44.510937,10.729039,ov_ops_in_castello_44.5109_10.7290,OPS in Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/ops_in_castello_44.5109_10.7290.json,custom
44.511119,10.730994,ov_cantina_cairoli_44.5111_10.7310,Cantina Cairoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/cantina_cairoli_44.5111_10.7310.json,custom
44.511635,10.732733,ov_lorabuca_castellarano_44.5116_10.7327,Lorabuca Castellarano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/lorabuca_castellarano_44.5116_10.7327.json,custom
44.511463,10.733066,ov_more_pizza_castellarano_44.5115_10.7331,More Pizza Castellarano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/more_pizza_castellarano_44.5115_10.7331.json,custom
44.512198,10.731733,ov_turkish_city_kebab_pizzeria_44.5122_10.7317,Turkish City kebab pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/turkish_city_kebab_pizzeria_44.5122_10.7317.json,custom
44.512463,10.733375,ov_d_oriente_44.5125_10.7334,D'Oriente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/doriente_44.5125_10.7334.json,custom
44.512953,10.733191,ov_pizzeria_la_sfiziosa_44.5130_10.7332,Pizzeria La Sfiziosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/pizzeria_la_sfiziosa_44.5130_10.7332.json,custom
44.516867,10.734988,ov_hotel_ristorante_pizzeria_castello_44.5169_10.7350,Hotel Ristorante Pizzeria Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/hotel_ristorante_pizzeria_castello_44.5169_10.7350.json,custom
44.516805,10.734808,ov_ristorante_pizzeria_il_castello_44.5168_10.7348,Ristorante Pizzeria Il Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/ristorante_pizzeria_il_castello_44.5168_10.7348.json,custom
44.516796,10.731057,ov_pizzeria_del_sole_44.5168_10.7311,Pizzeria Del Sole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castellarano/pages/pizzeria_del_sole_44.5168_10.7311.json,custom
