# lat,lng,id,name,building_type,type,url,page_type
# falciano_del_massico -- restaurants
41.177294,13.960424,ov_masseria_campierti_41.1773_13.9604,Masseria Campierti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/falciano_del_massico/pages/masseria_campierti_41.1773_13.9604.json,custom
41.161442,13.948757,ov_ristopizzeria_del_massico_41.1614_13.9488,RistoPizzeria Del Massico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/falciano_del_massico/pages/ristopizzeria_del_massico_41.1614_13.9488.json,custom
41.162066,13.947440,ov_pizzeria_da_claudio_41.1621_13.9474,Pizzeria Da Claudio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/falciano_del_massico/pages/pizzeria_da_claudio_41.1621_13.9474.json,custom
41.157999,13.949172,ov_osteria_gagliarda_41.1580_13.9492,Osteria Gagliarda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/falciano_del_massico/pages/osteria_gagliarda_41.1580_13.9492.json,custom
41.162400,13.947390,ov_ma_tu_vuliv__a_pizz_41.1624_13.9474,Ma tu vuliv 'a pizz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/falciano_del_massico/pages/ma_tu_vuliv_a_pizz_41.1624_13.9474.json,custom
41.165286,13.949895,ov_gusto_79_41.1653_13.9499,Gusto 79,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/falciano_del_massico/pages/gusto_79_41.1653_13.9499.json,custom
41.164270,13.949130,ov_pizzeria_azzurra_41.1643_13.9491,Pizzeria Azzurra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/falciano_del_massico/pages/pizzeria_azzurra_41.1643_13.9491.json,custom
41.163073,13.954754,ov_masseria_san_rocco_41.1631_13.9548,Masseria San Rocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/falciano_del_massico/pages/masseria_san_rocco_41.1631_13.9548.json,custom
41.168193,13.956123,ov_agriturismo_yayano_41.1682_13.9561,Agriturismo Yayano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/falciano_del_massico/pages/agriturismo_yayano_41.1682_13.9561.json,custom
41.167644,13.951802,ov_pizzeria_rosticceria_ottimismo_41.1676_13.9518,Pizzeria-Rosticceria Ottimismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/falciano_del_massico/pages/pizzeria-rosticceria_ottimismo_41.1676_13.9518.json,custom
