# lat,lng,id,name,building_type,type,url,page_type
# bagnolo_in_piano -- restaurants.csv
44.713549,10.649150,ov_reggio_emilia___c_c__i_petali_44.7135_10.6491,Reggio Emilia - C.C. I Petali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/reggio_emilia_-_cc_i_petali_44.7135_10.6491.json,custom
44.757970,10.668866,ov_dolcemente_salato_44.7580_10.6689,Dolcemente Salato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/dolcemente_salato_44.7580_10.6689.json,custom
44.765599,10.674145,ov_pizzeria_pulcinella_2_44.7656_10.6741,Pizzeria Pulcinella 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/pizzeria_pulcinella_2_44.7656_10.6741.json,custom
44.771121,10.677058,ov_strapizzami_44.7711_10.6771,Strapizzami,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/strapizzami_44.7711_10.6771.json,custom
44.771069,10.677098,ov_pizzeria_gambrinus_da_marcel_al_soave_44.7711_10.6771,Pizzeria Gambrinus da Marcel al Soave,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/pizzeria_gambrinus_da_marcel_al_soave_44.7711_10.6771.json,custom
44.779014,10.676090,ov_trattoria_da_probo_44.7790_10.6761,Trattoria da Probo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/trattoria_da_probo_44.7790_10.6761.json,custom
44.763002,10.677902,ov_yumix_poke_and_sushi_d_asporto_44.7630_10.6779,Yumix Poke and Sushi D'asporto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/yumix_poke_and_sushi_dasporto_44.7630_10.6779.json,custom
44.762732,10.675929,ov_pizzeria_gambrinus_44.7627_10.6759,Pizzeria Gambrinus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/pizzeria_gambrinus_44.7627_10.6759.json,custom
44.764159,10.671925,ov_c__rossa___ristorante_e_pizzeria_44.7642_10.6719,Cà Rossa - Ristorante e Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/c_rossa_-_ristorante_e_pizzeria_44.7642_10.6719.json,custom
44.761646,10.672947,ov_pizzeria_black_gold_da_adelin_44.7616_10.6729,Pizzeria Black Gold da Adelin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/pizzeria_black_gold_da_adelin_44.7616_10.6729.json,custom
44.753800,10.671820,ov_reggiana_gourmet_srl_44.7538_10.6718,Reggiana Gourmet SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/reggiana_gourmet_srl_44.7538_10.6718.json,custom
44.781188,10.677011,ov_la_pieve_44.7812_10.6770,La Pieve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnolo_in_piano/pages/la_pieve_44.7812_10.6770.json,custom
