# lat,lng,id,name,building_type,type,url,page_type
# mozzecane -- restaurants.csv
45.311285,10.818915,ov_ristorante_da_graziano_e_loretta_45.3113_10.8189,Ristorante da Graziano e Loretta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/ristorante_da_graziano_e_loretta_45.3113_10.8189.json,custom
45.309838,10.817794,ov_pizzeria_al_taglio_doppio_zero_45.3098_10.8178,Pizzeria al taglio doppio zero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/pizzeria_al_taglio_doppio_zero_45.3098_10.8178.json,custom
45.309415,10.817729,ov_pizzeria_e_trattoria_rosati_45.3094_10.8177,Pizzeria e Trattoria Rosati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/pizzeria_e_trattoria_rosati_45.3094_10.8177.json,custom
45.307947,10.816430,ov_ristorante_pizzeria_da_leo_45.3079_10.8164,Ristorante Pizzeria da Leo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/ristorante_pizzeria_da_leo_45.3079_10.8164.json,custom
45.305004,10.814270,ov_dhanda_kebab_45.3050_10.8143,Dhanda Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/dhanda_kebab_45.3050_10.8143.json,custom
45.304121,10.813740,ov_la_bottega_della_pizza_verona_45.3041_10.8137,La Bottega della Pizza Verona,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/la_bottega_della_pizza_verona_45.3041_10.8137.json,custom
45.292849,10.804029,ov_mozzecane__verona_45.2928_10.8040,"Mozzecane, Verona",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/mozzecane_verona_45.2928_10.8040.json,custom
45.304995,10.844047,ov_agriturismo_corte_scaligera_45.3050_10.8440,Agriturismo Corte Scaligera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/agriturismo_corte_scaligera_45.3050_10.8440.json,custom
45.311255,10.825029,ov_boccio_45.3113_10.8250,Boccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/boccio_45.3113_10.8250.json,custom
45.310922,10.824831,ov_bar_pizzeria_alla_bocciofila_45.3109_10.8248,Bar Pizzeria Alla Bocciofila,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/bar_pizzeria_alla_bocciofila_45.3109_10.8248.json,custom
45.320541,10.830308,ov_trattoria_begnoni_45.3205_10.8303,Trattoria Begnoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/trattoria_begnoni_45.3205_10.8303.json,custom
45.320550,10.829320,ov_risottoveronese_45.3205_10.8293,Risottoveronese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/risottoveronese_45.3205_10.8293.json,custom
45.314398,10.859912,ov_bar_trattoria_al_canton_45.3144_10.8599,Bar Trattoria Al Canton,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/bar_trattoria_al_canton_45.3144_10.8599.json,custom
45.328806,10.853146,ov_laghetto_battistina_da_max_45.3288_10.8531,Laghetto Battistina da Max,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/laghetto_battistina_da_max_45.3288_10.8531.json,custom
45.287774,10.822735,ov_rustica_trattoria_costa_45.2878_10.8227,Rustica Trattoria Costa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/rustica_trattoria_costa_45.2878_10.8227.json,custom
45.309018,10.817073,osm_residenza_vecelli_cavriani_45.3090_10.8171,Residenza Vecelli Cavriani,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/residenza_vecelli_cavriani_45.3090_10.8171.json,custom
45.311286,10.818884,osm_ristorante_bar_graziano_e_loretta_45.3113_10.8189,Ristorante Bar Graziano e Loretta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/ristorante_bar_graziano_e_loretta_45.3113_10.8189.json,custom
45.311428,10.819018,osm_la_vineria_vini_sfusi_in_bottiglia_45.3114_10.8190,La vineria vini sfusi in bottiglia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/la_vineria_vini_sfusi_in_bottiglia_45.3114_10.8190.json,custom
45.309455,10.817791,osm_pizzeria_trattoria_rosati_45.3095_10.8178,Pizzeria Trattoria Rosati,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/pizzeria_trattoria_rosati_45.3095_10.8178.json,custom
45.306936,10.816164,osm_lo_sfizio_pizzeria_da_asporto_45.3069_10.8162,Lo Sfizio pizzeria da asporto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/lo_sfizio_pizzeria_da_asporto_45.3069_10.8162.json,custom
45.304170,10.813789,osm_la_bottega_della_pizza___bar_enoteca_45.3042_10.8138,La bottega della pizza - Bar enoteca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/la_bottega_della_pizza_-_bar_enoteca_45.3042_10.8138.json,custom
45.309915,10.817758,osm_pizza_al_taglio_doppio_zero_45.3099_10.8178,Pizza al taglio Doppio Zero,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mozzecane/pages/pizza_al_taglio_doppio_zero_45.3099_10.8178.json,custom
