# lat,lng,id,name,building_type,type,url,page_type
# san_martino_in_rio -- restaurants
44.733500,10.786342,ov_pizzeria_la_regina_44.7335_10.7863,Pizzeria La Regina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_martino_in_rio/pages/pizzeria_la_regina_44.7335_10.7863.json,custom
44.732851,10.787186,ov_trattoria_casali_44.7329_10.7872,Trattoria Casali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_martino_in_rio/pages/trattoria_casali_44.7329_10.7872.json,custom
44.732795,10.787306,ov_pasta_fresca_casali_44.7328_10.7873,Pasta Fresca Casali,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_martino_in_rio/pages/pasta_fresca_casali_44.7328_10.7873.json,custom
44.732978,10.785569,ov_pizzeria_bar_centrale_44.7330_10.7856,Pizzeria Bar Centrale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_martino_in_rio/pages/pizzeria_bar_centrale_44.7330_10.7856.json,custom
44.733454,10.783826,ov_pizzeria_la_piazzetta_44.7335_10.7838,Pizzeria La Piazzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_martino_in_rio/pages/pizzeria_la_piazzetta_44.7335_10.7838.json,custom
44.728996,10.773869,ov_rita_aurora_44.7290_10.7739,RITA Aurora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_martino_in_rio/pages/rita_aurora_44.7290_10.7739.json,custom
44.734409,10.781713,ov_280_grammi_pizza_e_sfizi_44.7344_10.7817,280 Grammi Pizza e Sfizi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_martino_in_rio/pages/280_grammi_pizza_e_sfizi_44.7344_10.7817.json,custom
44.734928,10.784023,ov_turkish_kebab_pizzeria_44.7349_10.7840,Turkish Kebab Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_martino_in_rio/pages/turkish_kebab_pizzeria_44.7349_10.7840.json,custom
44.736006,10.784410,ov_forno_del_viale_44.7360_10.7844,Forno Del Viale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_martino_in_rio/pages/forno_del_viale_44.7360_10.7844.json,custom
44.706992,10.810532,ov_osteria_dal_baruser_44.7070_10.8105,Osteria Dal Baruser,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_martino_in_rio/pages/osteria_dal_baruser_44.7070_10.8105.json,custom
44.704853,10.790106,ov_ca_marcos_44.7049_10.7901,Ca Marcos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/san_martino_in_rio/pages/ca_marcos_44.7049_10.7901.json,custom
