# lat,lng,id,name,building_type,type,url,page_type
# spezzano_albanese -- restaurants
39.674200,16.305230,ov_pizzeria_pingitore_39.6742_16.3052,Pizzeria Pingitore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/pizzeria_pingitore_39.6742_16.3052.json,custom
39.671597,16.308789,ov_antica_trattoria_spezzanese_39.6716_16.3088,Antica Trattoria Spezzanese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/antica_trattoria_spezzanese_39.6716_16.3088.json,custom
39.670375,16.311789,ov_piazza_vecchia_39.6704_16.3118,Piazza vecchia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/piazza_vecchia_39.6704_16.3118.json,custom
39.669216,16.311881,ov_peccati_di_gola_39.6692_16.3119,Peccati Di Gola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/peccati_di_gola_39.6692_16.3119.json,custom
39.668566,16.311820,ov_pizzeria_l_arco_39.6686_16.3118,Pizzeria L'Arco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/pizzeria_larco_39.6686_16.3118.json,custom
39.667340,16.310267,ov_il_chiosco_39.6673_16.3103,Il Chiosco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/il_chiosco_39.6673_16.3103.json,custom
39.666350,16.310305,ov_pizzeria_gabemarite_39.6664_16.3103,Pizzeria Gabemarite,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/pizzeria_gabemarite_39.6664_16.3103.json,custom
39.666630,16.310720,ov_osteria_numero_3_39.6666_16.3107,Osteria Numero 3,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/osteria_numero_3_39.6666_16.3107.json,custom
39.666602,16.310822,ov_l_angolo_dei_sapori_39.6666_16.3108,L'Angolo dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/langolo_dei_sapori_39.6666_16.3108.json,custom
39.666084,16.310210,ov_ristorante_pizzeria_l__antico_pino_39.6661_16.3102,Ristorante Pizzeria L' Antico pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/ristorante_pizzeria_l_antico_pino_39.6661_16.3102.json,custom
39.714670,16.286670,ov_italia_2_ristorante_pizzeria_39.7147_16.2867,Italia 2 Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/italia_2_ristorante_pizzeria_39.7147_16.2867.json,custom
39.709086,16.289901,ov_amarcord_39.7091_16.2899,Amarcord,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/amarcord_39.7091_16.2899.json,custom
39.705127,16.295112,ov_il_chiosco_del_villaggio_39.7051_16.2951,Il Chiosco Del Villaggio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/il_chiosco_del_villaggio_39.7051_16.2951.json,custom
39.687999,16.287372,ov_calabr_ne_osteria_39.6880_16.2874,Calabróne Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/calabrne_osteria_39.6880_16.2874.json,custom
39.684615,16.280126,ov_gallo_rosso_39.6846_16.2801,Gallo Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/spezzano_albanese/pages/gallo_rosso_39.6846_16.2801.json,custom
