# lat,lng,id,name,building_type,type,url,page_type
# bronte -- restaurants
37.622760,14.740180,ov_la_creperia_37.6228_14.7402,La Creperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/la_creperia_37.6228_14.7402.json,custom
37.835030,14.796993,ov_destro_giuseppe_37.8350_14.7970,Destro Giuseppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/destro_giuseppe_37.8350_14.7970.json,custom
37.835266,14.796887,ov_ristorante_pizzeria_don_ciccio_37.8353_14.7969,Ristorante Pizzeria Don Ciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/ristorante_pizzeria_don_ciccio_37.8353_14.7969.json,custom
37.835359,14.796969,ov_il_fiorentino_ristorante_37.8354_14.7970,Il Fiorentino Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/il_fiorentino_ristorante_37.8354_14.7970.json,custom
37.853482,14.821542,ov_il_casolare_delle_balze_37.8535_14.8215,Il Casolare delle Balze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/il_casolare_delle_balze_37.8535_14.8215.json,custom
37.858182,14.820231,ov_agriturismo_nelson_37.8582_14.8202,Agriturismo Nelson,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/agriturismo_nelson_37.8582_14.8202.json,custom
37.833951,14.902448,ov_ristorante_da_zino_37.8340_14.9024,Ristorante Da Zino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/ristorante_da_zino_37.8340_14.9024.json,custom
37.804449,14.806229,ov_la_locanda_del_carrettiere_di_gullotti_a_37.8044_14.8062,La Locanda del Carrettiere di Gullotti Alfio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/la_locanda_del_carrettiere_di_gullotti_a_37.8044_14.8062.json,custom
37.795524,14.849774,ov_agriturismo_rurale_oro_verde_37.7955_14.8498,Agriturismo Rurale Oro Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/agriturismo_rurale_oro_verde_37.7955_14.8498.json,custom
37.793515,14.817531,ov_ristorante_pizzeria_morgana_37.7935_14.8175,ristorante pizzeria MORGANA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/bronte/pages/ristorante_pizzeria_morgana_37.7935_14.8175.json,custom
