# lat,lng,id,name,building_type,type,url,page_type
# frattaminore -- bars_cafes
40.951974,14.268454,ov_one_concept_bar_40.9520_14.2685,One Concept Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/one_concept_bar_40.9520_14.2685.json,custom
40.952673,14.271676,ov_bar_pasticceria_cristofaro_40.9527_14.2717,Bar Pasticceria Cristofaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/bar_pasticceria_cristofaro_40.9527_14.2717.json,custom
40.950500,14.271479,ov_il_ritrovo_40.9505_14.2715,Il Ritrovo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/il_ritrovo_40.9505_14.2715.json,custom
40.948719,14.271220,ov_coral_bakery_cafe_40.9487_14.2712,Coral Bakery Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/coral_bakery_cafe_40.9487_14.2712.json,custom
40.953820,14.278910,ov_gulisano_s_coffee_40.9538_14.2789,Gulisano s Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/gulisano_s_coffee_40.9538_14.2789.json,custom
40.958461,14.276289,ov_pavean_coffee_40.9585_14.2763,Pavean Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/pavean_coffee_40.9585_14.2763.json,custom
40.960590,14.276038,ov_caffe_elite_lele_40.9606_14.2760,Caffe Elite Lele,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/caffe_elite_lele_40.9606_14.2760.json,custom
40.960267,14.282886,ov_mocambo_40.9603_14.2829,Mocambo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/mocambo_40.9603_14.2829.json,custom
40.960916,14.269557,ov_galapagos_caffe_40.9609_14.2696,Galapagos Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/galapagos_caffe_40.9609_14.2696.json,custom
40.957140,14.270474,ov_saxon_pub_40.9571_14.2705,Saxon pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/saxon_pub_40.9571_14.2705.json,custom
40.953881,14.272231,ov_illusion_cafe_40.9539_14.2722,Illusion Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/illusion_cafe_40.9539_14.2722.json,custom
40.953486,14.269848,ov_gold_bar_40.9535_14.2698,Gold Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/gold_bar_40.9535_14.2698.json,custom
40.954512,14.268096,ov_moma_bar_louge_40.9545_14.2681,Moma Bar Louge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/moma_bar_louge_40.9545_14.2681.json,custom
40.957122,14.264511,ov_o__bar_e_fanott_40.9571_14.2645,O' bar e fanott,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/o_bar_e_fanott_40.9571_14.2645.json,custom
40.958042,14.266523,ov_mami_caffe_40.9580_14.2665,Mami Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/mami_caffe_40.9580_14.2665.json,custom
40.959600,14.265070,ov_bar_costanzo_francesco_40.9596_14.2651,Bar Costanzo Francesco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/frattaminore/pages/bar_costanzo_francesco_40.9596_14.2651.json,custom
