# lat,lng,id,name,building_type,type,url,page_type
# santa_maria_della_versa -- restaurants.csv
44.970961,9.292377,ov_ristorante_sasseo_44.9710_9.2924,Ristorante Sasseo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/santa_maria_della_versa/pages/ristorante_sasseo_44.9710_9.2924.json,custom
44.962664,9.299946,ov_agriturismo_c__versa_44.9627_9.2999,Agriturismo Cà Versa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/santa_maria_della_versa/pages/agriturismo_c_versa_44.9627_9.2999.json,custom
44.975194,9.305851,ov_cucina_di_campo__veghome_44.9752_9.3059,"Cucina DI CAMPO, Veghome",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/santa_maria_della_versa/pages/cucina_di_campo_veghome_44.9752_9.3059.json,custom
44.974463,9.307126,ov_trattoria_antichi_sapori_44.9745_9.3071,Trattoria Antichi Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/santa_maria_della_versa/pages/trattoria_antichi_sapori_44.9745_9.3071.json,custom
44.975791,9.304036,ov_ristorante_vino_dei_frati_44.9758_9.3040,Ristorante Vino dei Frati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/santa_maria_della_versa/pages/ristorante_vino_dei_frati_44.9758_9.3040.json,custom
44.986385,9.300130,ov_ad_astra_44.9864_9.3001,Ad Astra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/santa_maria_della_versa/pages/ad_astra_44.9864_9.3001.json,custom
44.987520,9.300860,ov_osteria_versa_44.9875_9.3009,Osteria Versa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/santa_maria_della_versa/pages/osteria_versa_44.9875_9.3009.json,custom
44.995092,9.322101,ov_ristorante_vino_dei_frati_44.9951_9.3221,Ristorante Vino dei Frati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/santa_maria_della_versa/pages/ristorante_vino_dei_frati_44.9951_9.3221.json,custom
45.003898,9.299029,ov_hostaria_casale_denari_45.0039_9.2990,Hostaria Casale Denari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/santa_maria_della_versa/pages/hostaria_casale_denari_45.0039_9.2990.json,custom
45.001654,9.297743,ov_agriturismo_ca_versa_45.0017_9.2977,Agriturismo Ca Versa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/santa_maria_della_versa/pages/agriturismo_ca_versa_45.0017_9.2977.json,custom
45.010273,9.275044,ov_osteria_mondo_piccolo_45.0103_9.2750,Osteria Mondo Piccolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/santa_maria_della_versa/pages/osteria_mondo_piccolo_45.0103_9.2750.json,custom
45.188587,9.297410,ov_ristorante_al_ruinello_45.1886_9.2974,Ristorante Al Ruinello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/santa_maria_della_versa/pages/ristorante_al_ruinello_45.1886_9.2974.json,custom
