# lat,lng,id,name,building_type,type,url,page_type
# villapiana -- restaurants
39.803600,16.478090,ov_la_fonte___restaurant_beach____39.8036_16.4781,La Fonte...ResTauRanT&BeAcH...,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villapiana/pages/la_fonterestaurantbeach_39.8036_16.4781.json,custom
39.791221,16.480733,ov_voglia_pinseria_romana___villapiana_39.7912_16.4807,VOGLIA Pinseria Romana - Villapiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villapiana/pages/voglia_pinseria_romana_-_villapiana_39.7912_16.4807.json,custom
39.788310,16.477650,ov_enotria_villapiana_39.7883_16.4777,Enotria Villapiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villapiana/pages/enotria_villapiana_39.7883_16.4777.json,custom
39.794161,16.483838,ov_b_b_residence_l_ancora__case_vacanza___r_39.7942_16.4838,B&B Residence L'Ancora. Case Vacanza - Ristorante - Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villapiana/pages/bb_residence_lancora_case_vacanza_-_rist_39.7942_16.4838.json,custom
39.805998,16.487202,ov_bull_burger_39.8060_16.4872,Bull Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villapiana/pages/bull_burger_39.8060_16.4872.json,custom
39.813462,16.493621,ov_il_corallino_39.8135_16.4936,Il Corallino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villapiana/pages/il_corallino_39.8135_16.4936.json,custom
39.812782,16.493377,ov_lido_aragosta_villapiana_lido_39.8128_16.4934,Lido Aragosta Villapiana Lido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villapiana/pages/lido_aragosta_villapiana_lido_39.8128_16.4934.json,custom
39.811306,16.493024,ov_lido_verde_39.8113_16.4930,Lido Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villapiana/pages/lido_verde_39.8113_16.4930.json,custom
39.811581,16.492167,ov_lido_zulli_villapiana_lido_39.8116_16.4922,Lido Zulli Villapiana Lido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villapiana/pages/lido_zulli_villapiana_lido_39.8116_16.4922.json,custom
39.811903,16.491251,ov_bar_pizzeria_capriccio_39.8119_16.4913,Bar Pizzeria Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villapiana/pages/bar_pizzeria_capriccio_39.8119_16.4913.json,custom
