# lat,lng,id,name,building_type,type,url,page_type
# camisano_vicentino -- restaurants
45.520642,11.687979,ov_maccabei_la_pizzeria_45.5206_11.6880,Maccabei la Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/maccabei_la_pizzeria_45.5206_11.6880.json,custom
45.519806,11.691577,ov_la_pizzata_45.5198_11.6916,La Pizzata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/la_pizzata_45.5198_11.6916.json,custom
45.519603,11.691292,ov_5_stelle_pizza___kebab_45.5196_11.6913,5 Stelle Pizza & Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/5_stelle_pizza_kebab_45.5196_11.6913.json,custom
45.517155,11.706187,ov_company_pizza_45.5172_11.7062,Company Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/company_pizza_45.5172_11.7062.json,custom
45.516108,11.704444,ov_capitano_uncino_45.5161_11.7044,Capitano Uncino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/capitano_uncino_45.5161_11.7044.json,custom
45.518730,11.714040,ov_pizzeria_sasa_45.5187_11.7140,Pizzeria Sasa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/pizzeria_sasa_45.5187_11.7140.json,custom
45.521214,11.713458,ov_sapori_di_malga_45.5212_11.7135,Sapori di Malga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/sapori_di_malga_45.5212_11.7135.json,custom
45.524181,11.715984,ov_ristorante_pizzeria_ada_45.5242_11.7160,Ristorante Pizzeria Ada,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/ristorante_pizzeria_ada_45.5242_11.7160.json,custom
45.523642,11.711605,ov_pizzeria_paprika_45.5236_11.7116,Pizzeria Paprika,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/pizzeria_paprika_45.5236_11.7116.json,custom
45.523410,11.712286,ov_company_pizza_45.5234_11.7123,Company Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/company_pizza_45.5234_11.7123.json,custom
45.523557,11.711672,ov_da_enzo_45.5236_11.7117,Da Enzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/da_enzo_45.5236_11.7117.json,custom
45.542158,11.719854,ov_osteria_fiorluce_45.5422_11.7199,Osteria Fiorluce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/osteria_fiorluce_45.5422_11.7199.json,custom
45.539032,11.686531,ov_cleptomania_45.5390_11.6865,Cleptomania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/cleptomania_45.5390_11.6865.json,custom
45.527086,11.692299,ov_agriturismo_cascina_mattarello_45.5271_11.6923,Agriturismo Cascina Mattarello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/agriturismo_cascina_mattarello_45.5271_11.6923.json,custom
45.526911,11.692107,osm_cascina_mattarello_45.5269_11.6921,Cascina Mattarello,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/cascina_mattarello_45.5269_11.6921.json,custom
45.538971,11.686472,osm_cleptomania_45.5390_11.6865,Cleptomania,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/camisano_vicentino/pages/cleptomania_45.5390_11.6865.json,custom
