# lat,lng,id,name,building_type,type,url,page_type
# bova_marina -- restaurants.csv
37.925398,15.940822,ov_klimi_ristorante_pizzeria_37.9254_15.9408,Klimi Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/klimi_ristorante_pizzeria_37.9254_15.9408.json,custom
37.924808,15.945120,ov_la_perla_jonica_37.9248_15.9451,La Perla Jonica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/la_perla_jonica_37.9248_15.9451.json,custom
37.929241,15.926283,ov_fairstar_37.9292_15.9263,Fairstar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/fairstar_37.9292_15.9263.json,custom
37.929698,15.916170,ov_il_paninazzo_di_silvio_tuscano_37.9297_15.9162,Il Paninazzo di Silvio Tuscano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/il_paninazzo_di_silvio_tuscano_37.9297_15.9162.json,custom
37.930520,15.917774,ov_la_spina_santa_37.9305_15.9178,La Spina Santa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/la_spina_santa_37.9305_15.9178.json,custom
37.930663,15.918122,ov_memes_37.9307_15.9181,Memes,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/memes_37.9307_15.9181.json,custom
37.930531,15.925570,ov_plat_a_niki_37.9305_15.9256,Platìa Niki,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/plata_niki_37.9305_15.9256.json,custom
37.933888,15.949626,ov_scuderia_neri_37.9339_15.9496,Scuderia Neri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/scuderia_neri_37.9339_15.9496.json,custom
37.932410,15.917934,ov_mesoghion___ristorante___pizzeria_37.9324_15.9179,Mesoghion - Ristorante & Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/mesoghion_-_ristorante_pizzeria_37.9324_15.9179.json,custom
37.935832,15.928330,ov_la_spina_santa_37.9358_15.9283,La Spina Santa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/la_spina_santa_37.9358_15.9283.json,custom
37.937269,15.956412,ov_agriturismo_del_pozzo_37.9373_15.9564,Agriturismo del Pozzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/agriturismo_del_pozzo_37.9373_15.9564.json,custom
37.958690,15.920722,ov_di_petru_i__ntoni_37.9587_15.9207,Di Petru i ‘Ntoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/bova_marina/pages/di_petru_i_ntoni_37.9587_15.9207.json,custom
