# lat,lng,id,name,building_type,type,url,page_type
# montecchio_emilia -- restaurants
44.699647,10.464564,ov_rita_margherita_44.6996_10.4646,RITA Margherita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/rita_margherita_44.6996_10.4646.json,custom
44.700069,10.458340,ov_italian_jack_limited_44.7001_10.4583,Italian JACK Limited,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/italian_jack_limited_44.7001_10.4583.json,custom
44.697055,10.469486,ov_pizzeria_da_gaetano_44.6971_10.4695,Pizzeria da Gaetano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/pizzeria_da_gaetano_44.6971_10.4695.json,custom
44.697055,10.470081,ov_mcdonald_s_44.6971_10.4701,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/mcdonalds_44.6971_10.4701.json,custom
44.697211,10.476763,ov_gbr_distributore__bar_eni_montecchio_emi_44.6972_10.4768,GBR Distributore/ Bar eni Montecchio Emilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/gbr_distributore_bar_eni_montecchio_emil_44.6972_10.4768.json,custom
44.695433,10.439113,ov_osteria_al_cavaliere_44.6954_10.4391,Osteria Al Cavaliere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/osteria_al_cavaliere_44.6954_10.4391.json,custom
44.699527,10.442225,ov_pizzeria_ristorante_madison_44.6995_10.4422,Pizzeria Ristorante Madison,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/pizzeria_ristorante_madison_44.6995_10.4422.json,custom
44.698681,10.442602,ov_red_lion_44.6987_10.4426,Red Lion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/red_lion_44.6987_10.4426.json,custom
44.697978,10.449994,ov_piadineria_la_stazione_44.6980_10.4500,Piadineria La Stazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/piadineria_la_stazione_44.6980_10.4500.json,custom
44.699204,10.448814,ov_le_leccornie_salumeria_gastronomia_44.6992_10.4488,Le Leccornie Salumeria Gastronomia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/le_leccornie_salumeria_gastronomia_44.6992_10.4488.json,custom
44.699458,10.443743,ov_fuji_japanese_restaurant_montecchio_emil_44.6995_10.4437,Fuji Japanese Restaurant Montecchio Emilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/fuji_japanese_restaurant_montecchio_emil_44.6995_10.4437.json,custom
44.699915,10.444518,ov_salsamenteria_di_montecchio_emilia_44.6999_10.4445,Salsamenteria di Montecchio Emilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/salsamenteria_di_montecchio_emilia_44.6999_10.4445.json,custom
44.699827,10.444369,ov_encuentro_montecchio___ristorante_messic_44.6998_10.4444,Encuentro Montecchio - Ristorante Messicano & Cocktail Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/encuentro_montecchio_-_ristorante_messic_44.6998_10.4444.json,custom
44.701400,10.447992,ov_osteria_al_cortile_44.7014_10.4480,Osteria Al Cortile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/osteria_al_cortile_44.7014_10.4480.json,custom
44.700791,10.446645,ov_bar_living_44.7008_10.4466,Bar Living,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/bar_living_44.7008_10.4466.json,custom
44.700721,10.446846,ov_salsi___gastronomia_di_mare_44.7007_10.4468,Salsi - Gastronomia di mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/salsi_-_gastronomia_di_mare_44.7007_10.4468.json,custom
44.700699,10.449602,ov_mille10_44.7007_10.4496,Mille10,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/montecchio_emilia/pages/mille10_44.7007_10.4496.json,custom
