# lat,lng,id,name,building_type,type,url,page_type
# lastra_a_signa -- restaurants.csv
43.708370,11.074410,ov_bottega_vesuviana_43.7084_11.0744,Bottega Vesuviana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/bottega_vesuviana_43.7084_11.0744.json,custom
43.709056,11.072162,ov_ristorante_pizzeria_sottosopra_43.7091_11.0722,Ristorante Pizzeria Sottosopra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/ristorante_pizzeria_sottosopra_43.7091_11.0722.json,custom
43.709106,11.071878,ov_l_ortolina_43.7091_11.0719,L'Ortolina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/lortolina_43.7091_11.0719.json,custom
43.706808,11.079672,ov_la_strettoia_43.7068_11.0797,La Strettoia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/la_strettoia_43.7068_11.0797.json,custom
43.705933,11.081913,ov_la_caffetteria_43.7059_11.0819,La Caffetteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/la_caffetteria_43.7059_11.0819.json,custom
43.772556,11.091276,ov_lastra_a_vigna_43.7726_11.0913,Lastra a Vigna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/lastra_a_vigna_43.7726_11.0913.json,custom
43.772999,11.091022,ov_oveja_back_garden_43.7730_11.0910,Oveja Back Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/oveja_back_garden_43.7730_11.0910.json,custom
43.771758,11.101460,ov_taglieri_bicchieri_43.7718_11.1015,Taglieri&Bicchieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/taglieribicchieri_43.7718_11.1015.json,custom
43.772042,11.094434,ov_accademia_del_coccio_43.7720_11.0944,Accademia del Coccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/accademia_del_coccio_43.7720_11.0944.json,custom
43.769787,11.097738,ov_circolo_mcl_aurora_43.7698_11.0977,Circolo MCL Aurora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/circolo_mcl_aurora_43.7698_11.0977.json,custom
43.766700,11.100000,ov_il_re_della_paella_43.7667_11.1000,Il Re della Paella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/il_re_della_paella_43.7667_11.1000.json,custom
43.735010,11.058364,ov_villa_ilangi_43.7350_11.0584,Villa Ilangi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/villa_ilangi_43.7350_11.0584.json,custom
43.734594,11.058191,ov_rolina_43.7346_11.0582,Rolina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/rolina_43.7346_11.0582.json,custom
43.741801,11.083114,ov_pizzeria_la_koccinella_43.7418_11.0831,Pizzeria la Koccinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/pizzeria_la_koccinella_43.7418_11.0831.json,custom
43.732446,11.069893,ov_cascina_de_fagiolari_43.7324_11.0699,Cascina De Fagiolari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/cascina_de_fagiolari_43.7324_11.0699.json,custom
43.732324,11.069820,ov_ristorante_osteria__pizzeria_fagiolari_43.7323_11.0698,Ristorante Osteria -pizzeria Fagiolari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/ristorante_osteria_-pizzeria_fagiolari_43.7323_11.0698.json,custom
43.729045,11.081243,ov_ristorante_terramare_43.7290_11.0812,Ristorante Terramare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/lastra_a_signa/pages/ristorante_terramare_43.7290_11.0812.json,custom
