# lat,lng,id,name,building_type,type,url,page_type
# vittoria -- restaurants
36.878273,14.439496,ov_lido_mare_36.8783_14.4395,Lido Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/lido_mare_36.8783_14.4395.json,custom
36.878234,14.439238,ov_la_cantina_a_mare_36.8782_14.4392,La Cantina A MARE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/la_cantina_a_mare_36.8782_14.4392.json,custom
36.885649,14.439482,ov_panineria_sicily_food_mar__36.8856_14.4395,panineria sicily food marè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/panineria_sicily_food_mar_36.8856_14.4395.json,custom
36.882880,14.437734,ov_le_dauphin_bleu_36.8829_14.4377,Le Dauphin Bleu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/le_dauphin_bleu_36.8829_14.4377.json,custom
36.888759,14.431969,ov_rigatoni_sul_mare_36.8888_14.4320,Rigatoni Sul Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/rigatoni_sul_mare_36.8888_14.4320.json,custom
36.888250,14.433478,ov_o__scuogghiu_i_fora_36.8883_14.4335,O’ Scuogghiu I Fora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/o_scuogghiu_i_fora_36.8883_14.4335.json,custom
36.890135,14.432293,ov_trattoria_modicana_36.8901_14.4323,Trattoria Modicana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/trattoria_modicana_36.8901_14.4323.json,custom
36.890180,14.432067,ov_porto____a_tavola_36.8902_14.4321,Porto... A tavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/porto_a_tavola_36.8902_14.4321.json,custom
36.889801,14.430440,ov_capannina_scoglitti_36.8898_14.4304,Capannina Scoglitti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/capannina_scoglitti_36.8898_14.4304.json,custom
36.890267,14.431639,ov_fiche_ristorante_36.8903_14.4316,Fiche Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/fiche_ristorante_36.8903_14.4316.json,custom
36.891319,14.430684,ov_chi_ti_ci_miettu_36.8913_14.4307,Chi Ti Ci Miettu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/chi_ti_ci_miettu_36.8913_14.4307.json,custom
36.891811,14.430629,ov_il_conte_nero_36.8918_14.4306,Il Conte Nero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/il_conte_nero_36.8918_14.4306.json,custom
36.891872,14.430381,ov_watanka_36.8919_14.4304,Watanka,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/watanka_36.8919_14.4304.json,custom
36.892485,14.431057,ov_aladin_2019_36.8925_14.4311,Aladin 2019,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/aladin_2019_36.8925_14.4311.json,custom
36.892989,14.431193,ov_bistro_47_36.8930_14.4312,Bistro 47,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/bistro_47_36.8930_14.4312.json,custom
36.893040,14.430268,ov_trattoria_del_pescatore_36.8930_14.4303,Trattoria Del Pescatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/trattoria_del_pescatore_36.8930_14.4303.json,custom
36.892867,14.428193,ov_luma_36.8929_14.4282,Luma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/luma_36.8929_14.4282.json,custom
36.892576,14.428169,ov_al_faro_pizzeria_panineria_36.8926_14.4282,Al Faro pizzeria panineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/vittoria/pages/al_faro_pizzeria_panineria_36.8926_14.4282.json,custom
