# lat,lng,id,name,building_type,type,url,page_type
# longiano -- restaurants.csv
44.106444,12.329722,ov_i_tesori_del_rubicone_e_bosch_44.1064_12.3297,I Tesori del Rubicone e Bosch,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/i_tesori_del_rubicone_e_bosch_44.1064_12.3297.json,custom
44.082939,12.352391,ov_villa_crocetta_44.0829_12.3524,Villa Crocetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/villa_crocetta_44.0829_12.3524.json,custom
44.079496,12.349951,ov_villa_crocetta_44.0795_12.3500,Villa Crocetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/villa_crocetta_44.0795_12.3500.json,custom
44.087671,12.340735,ov_locanda_della_luna_44.0877_12.3407,Locanda della Luna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/locanda_della_luna_44.0877_12.3407.json,custom
44.087743,12.340586,ov_turchi_farm_44.0877_12.3406,Turchi Farm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/turchi_farm_44.0877_12.3406.json,custom
44.090092,12.337251,ov_terre_alte_44.0901_12.3373,Terre Alte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/terre_alte_44.0901_12.3373.json,custom
44.098168,12.326416,ov_pizza_piadar__44.0982_12.3264,Pizza PiadaRò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/pizza_piadar_44.0982_12.3264.json,custom
44.098214,12.326563,ov_civico_9_44.0982_12.3266,Civico 9,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/civico_9_44.0982_12.3266.json,custom
44.096857,12.313621,ov_la_ca__dla__pida_44.0969_12.3136,La CA' Dla' Pida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/la_ca_dla_pida_44.0969_12.3136.json,custom
44.099673,12.346402,ov_pizza_max_44.0997_12.3464,Pizza Max,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/longiano/pages/pizza_max_44.0997_12.3464.json,custom
