# lat,lng,id,name,building_type,type,url,page_type
# bagnolo_piemonte -- bars_cafes
44.770096,7.307161,ov_bar_oro_grigio_44.7701_7.3072,Bar Oro Grigio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/bar_oro_grigio_44.7701_7.3072.json,custom
44.769860,7.309520,ov_infern_t_44.7699_7.3095,Infernòt,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/infernt_44.7699_7.3095.json,custom
44.763241,7.316317,ov_poliba_44.7632_7.3163,Poliba,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/poliba_44.7632_7.3163.json,custom
44.761680,7.314897,ov_bar_roma_44.7617_7.3149,Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/bar_roma_44.7617_7.3149.json,custom
44.761553,7.314587,ov_bar_master_44.7616_7.3146,Bar Master,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/bar_master_44.7616_7.3146.json,custom
44.760739,7.314657,ov_stilnovo_caff__44.7607_7.3147,Stilnovo Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/stilnovo_caff_44.7607_7.3147.json,custom
44.761216,7.313904,ov_bar_nuovo_persico_44.7612_7.3139,Bar Nuovo Persico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/bar_nuovo_persico_44.7612_7.3139.json,custom
44.760740,7.312901,ov_l_angolo_degli_angeli_44.7607_7.3129,L'Angolo Degli Angeli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/langolo_degli_angeli_44.7607_7.3129.json,custom
44.761017,7.313146,ov_caffetteria_la_vecchia_piazza_44.7610_7.3131,Caffetteria La Vecchia Piazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/caffetteria_la_vecchia_piazza_44.7610_7.3131.json,custom
44.759809,7.315749,ov_la_piola_44.7598_7.3157,La piola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/la_piola_44.7598_7.3157.json,custom
44.760547,7.311661,ov_london_pub___brasserie_chez_gas_44.7605_7.3117,London Pub - Brasserie Chez Gas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/london_pub_-_brasserie_chez_gas_44.7605_7.3117.json,custom
44.753723,7.302419,ov_silver_pin_di_b_m_r__44.7537_7.3024,Silver Pin di B.M.R.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/silver_pin_di_bmr_44.7537_7.3024.json,custom
44.760728,7.312873,osm_angolo_degli_angeli_44.7607_7.3129,Angolo degli Angeli,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/angolo_degli_angeli_44.7607_7.3129.json,custom
44.763819,7.245357,osm_hostaria_dei_borghi_44.7638_7.2454,Hostaria dei Borghi,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/bagnolo_piemonte/pages/hostaria_dei_borghi_44.7638_7.2454.json,custom
