# lat,lng,id,name,building_type,type,url,page_type
# codroipo -- restaurants
45.964395,12.911483,ov_al_paradiso_45.9644_12.9115,Al Paradiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/codroipo/pages/al_paradiso_45.9644_12.9115.json,custom
45.965097,12.914502,ov_spuntino_di_campagna_45.9651_12.9145,Spuntino di Campagna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/codroipo/pages/spuntino_di_campagna_45.9651_12.9145.json,custom
45.918844,12.992229,ov_trattoria_da_vanda_45.9188_12.9922,Trattoria da Vanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/codroipo/pages/trattoria_da_vanda_45.9188_12.9922.json,custom
45.947871,13.013875,ov_break_dogale_di_gardisan_bruno_45.9479_13.0139,Break Dogale Di Gardisan Bruno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/codroipo/pages/break_dogale_di_gardisan_bruno_45.9479_13.0139.json,custom
45.948542,13.009499,ov_ristorante_rap_di_ue___prosciutteria_45.9485_13.0095,Ristorante Rap di Ue - Prosciutteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/codroipo/pages/ristorante_rap_di_ue_-_prosciutteria_45.9485_13.0095.json,custom
45.948048,13.010602,ov_ristorante_del_doge_45.9480_13.0106,Ristorante del Doge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/codroipo/pages/ristorante_del_doge_45.9480_13.0106.json,custom
45.959404,13.020220,ov_la_cortine_agriturismo_frasca_45.9594_13.0202,La Cortine agriturismo frasca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/codroipo/pages/la_cortine_agriturismo_frasca_45.9594_13.0202.json,custom
45.955320,13.016660,ov_al_paradiso_45.9553_13.0167,Al Paradiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/codroipo/pages/al_paradiso_45.9553_13.0167.json,custom
45.944581,13.023500,ov_obelix_pub_45.9446_13.0235,Obelix Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/codroipo/pages/obelix_pub_45.9446_13.0235.json,custom
45.964880,13.005327,ov_ristorante_il_piron_dal_re___prenotazion_45.9649_13.0053,Ristorante il Piron dal Re - prenotazione consigliata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/codroipo/pages/ristorante_il_piron_dal_re_-_prenotazion_45.9649_13.0053.json,custom
