# lat,lng,id,name,building_type,type,url,page_type
# norcia -- restaurants
43.074405,12.634277,ov_ristorante_da_mamma_ida_43.0744_12.6343,Ristorante da Mamma Ida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/ristorante_da_mamma_ida_43.0744_12.6343.json,custom
42.762924,13.031852,ov_agriano_di_norcia_42.7629_13.0319,Agriano Di Norcia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/agriano_di_norcia_42.7629_13.0319.json,custom
42.788094,13.126255,ov_agriturismo_il_margine_42.7881_13.1263,Agriturismo Il Margine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/agriturismo_il_margine_42.7881_13.1263.json,custom
42.791934,13.095948,ov_ristorante_nemo_42.7919_13.0959,Ristorante Nemo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/ristorante_nemo_42.7919_13.0959.json,custom
42.791959,13.095239,ov_beccofino_42.7920_13.0952,Beccofino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/beccofino_42.7920_13.0952.json,custom
42.790394,13.095305,ov_caffe_tancredi_42.7904_13.0953,Caffe Tancredi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/caffe_tancredi_42.7904_13.0953.json,custom
42.784700,13.090485,ov_lu_passittu_42.7847_13.0905,Lu Passittu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/lu_passittu_42.7847_13.0905.json,custom
42.782660,13.097279,ov_trattoria_dei_priori_42.7827_13.0973,Trattoria Dei Priori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/trattoria_dei_priori_42.7827_13.0973.json,custom
42.783250,13.097301,ov_ristorante_taverna_de__massari__norcia_42.7832_13.0973,"Ristorante Taverna de' Massari, Norcia",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/ristorante_taverna_de_massari_norcia_42.7832_13.0973.json,custom
42.784821,13.097269,ov_cantina48_42.7848_13.0973,Cantina48,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/cantina48_42.7848_13.0973.json,custom
42.795226,13.092891,ov_ristorante_il_tartufo_42.7952_13.0929,Ristorante Il Tartufo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/ristorante_il_tartufo_42.7952_13.0929.json,custom
42.795401,13.090918,ov_ristorante_granaro_del_monte_42.7954_13.0909,Ristorante Granaro del Monte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/ristorante_granaro_del_monte_42.7954_13.0909.json,custom
42.792587,13.092114,ov_ristorante_vespasia_42.7926_13.0921,Ristorante Vespasia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/ristorante_vespasia_42.7926_13.0921.json,custom
42.792569,13.093154,ov_ristorante_dei_priori_42.7926_13.0932,Ristorante Dei Priori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/ristorante_dei_priori_42.7926_13.0932.json,custom
42.792970,13.092410,ov_enoteca_granaro_del_monte_42.7930_13.0924,Enoteca Granaro del Monte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/enoteca_granaro_del_monte_42.7930_13.0924.json,custom
42.793340,13.092945,ov_locanda_del_teatro_42.7933_13.0929,Locanda del Teatro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/norcia/pages/locanda_del_teatro_42.7933_13.0929.json,custom
