# lat,lng,id,name,building_type,type,url,page_type
# porcia -- restaurants
45.978937,12.615356,ov_bar_sport_45.9789_12.6154,BAR Sport,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/bar_sport_45.9789_12.6154.json,custom
45.973533,12.613898,ov_speedy_pizza_45.9735_12.6139,Speedy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/speedy_pizza_45.9735_12.6139.json,custom
45.972994,12.612648,ov_rosi_45.9730_12.6126,Rosi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/rosi_45.9730_12.6126.json,custom
45.968825,12.616573,ov_kebab_indian_food_corner_45.9688_12.6166,Kebab Indian Food Corner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/kebab_indian_food_corner_45.9688_12.6166.json,custom
45.965277,12.614632,ov_glamour_45.9653_12.6146,Glamour,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/glamour_45.9653_12.6146.json,custom
45.968785,12.611049,ov_ristorante_la_ciotola_45.9688_12.6110,Ristorante La Ciotola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/ristorante_la_ciotola_45.9688_12.6110.json,custom
45.969380,12.608771,ov_fiin_pordenone_45.9694_12.6088,Fiin Pordenone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/fiin_pordenone_45.9694_12.6088.json,custom
45.969918,12.601763,ov_porky_s_pub_blues_club_45.9699_12.6018,Porky's pub blues club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/porkys_pub_blues_club_45.9699_12.6018.json,custom
45.965084,12.601248,ov_osteria_palo_alto_2_45.9651_12.6012,Osteria Palo Alto 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/osteria_palo_alto_2_45.9651_12.6012.json,custom
45.959803,12.599716,ov_trattoria_da_ardengo_2_0_45.9598_12.5997,Trattoria da Ardengo 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/trattoria_da_ardengo_20_45.9598_12.5997.json,custom
45.959032,12.607873,ov_pizzeria_tom___jerry_45.9590_12.6079,Pizzeria Tom & Jerry,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/pizzeria_tom_jerry_45.9590_12.6079.json,custom
45.959011,12.607826,ov_ciaopizza_45.9590_12.6078,CiaoPizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/ciaopizza_45.9590_12.6078.json,custom
45.958796,12.614430,ov_trattoteca_alla_loggia_45.9588_12.6144,Trattoteca alla Loggia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/trattoteca_alla_loggia_45.9588_12.6144.json,custom
45.959638,12.613028,ov_ristorante_da_lo_45.9596_12.6130,Ristorante Da Lo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/porcia/pages/ristorante_da_lo_45.9596_12.6130.json,custom
