# lat,lng,id,name,building_type,type,url,page_type
# verdellino -- bars_cafes.csv
45.590140,9.618110,ov_bar_ip_verdellino_45.5901_9.6181,Bar IP verdellino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdellino/pages/bar_ip_verdellino_45.5901_9.6181.json,custom
45.597926,9.598942,ov_pasticceria_nizza_45.5979_9.5989,Pasticceria Nizza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdellino/pages/pasticceria_nizza_45.5979_9.5989.json,custom
45.602470,9.611320,ov_il_rustichetto_45.6025_9.6113,Il Rustichetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdellino/pages/il_rustichetto_45.6025_9.6113.json,custom
45.603560,9.614910,ov_dircen_bar_45.6036_9.6149,Dircen bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdellino/pages/dircen_bar_45.6036_9.6149.json,custom
45.603103,9.614519,ov_ripasso_wine___drink_45.6031_9.6145,RIPASSO wine & drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdellino/pages/ripasso_wine_drink_45.6031_9.6145.json,custom
45.605303,9.630405,ov_il_rustichetto_45.6053_9.6304,Il Rustichetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdellino/pages/il_rustichetto_45.6053_9.6304.json,custom
45.605654,9.615352,ov_bar_giass_45.6057_9.6154,Bar Giass,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdellino/pages/bar_giass_45.6057_9.6154.json,custom
45.605241,9.615044,ov_krystal_bar_45.6052_9.6150,Krystal bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdellino/pages/krystal_bar_45.6052_9.6150.json,custom
45.607159,9.629161,ov_bar_cafe_del_barcy_45.6072_9.6292,Bar Cafe del Barcy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdellino/pages/bar_cafe_del_barcy_45.6072_9.6292.json,custom
45.606479,9.629764,ov_caffe_500_45.6065_9.6298,Caffe 500,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdellino/pages/caffe_500_45.6065_9.6298.json,custom
45.590527,9.627298,osm_badaboom_45.5905_9.6273,Badaboom,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdellino/pages/badaboom_45.5905_9.6273.json,custom
