# lat,lng,id,name,building_type,type,url,page_type
# cornedo_vicentino -- restaurants.csv
45.595523,11.371642,ov_ristorante_pizzeria_roncari_45.5955_11.3716,Ristorante Pizzeria Roncari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/ristorante_pizzeria_roncari_45.5955_11.3716.json,custom
45.596991,11.376249,ov_vhc_ristorante_pizzeria___cornedo_vi_45.5970_11.3762,VHC Ristorante Pizzeria - Cornedo VI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/vhc_ristorante_pizzeria_-_cornedo_vi_45.5970_11.3762.json,custom
45.597210,11.370350,ov_emozioni_italiane_srl_45.5972_11.3704,Emozioni Italiane Srl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/emozioni_italiane_srl_45.5972_11.3704.json,custom
45.596917,11.370087,ov_stangl_45.5969_11.3701,Stangl,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/stangl_45.5969_11.3701.json,custom
45.598219,11.367277,ov_pizza_a_pezzi_45.5982_11.3673,Pizza a Pezzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/pizza_a_pezzi_45.5982_11.3673.json,custom
45.599879,11.363380,ov_la_vecia_osteria_45.5999_11.3634,La Vecia Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/la_vecia_osteria_45.5999_11.3634.json,custom
45.597841,11.352300,ov_pizzeria_san_martin_45.5978_11.3523,Pizzeria San Martin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/pizzeria_san_martin_45.5978_11.3523.json,custom
45.629482,11.329010,ov_ristorante_pizzeria_san_marco_45.6295_11.3290,Ristorante Pizzeria San Marco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/ristorante_pizzeria_san_marco_45.6295_11.3290.json,custom
45.627506,11.311445,ov_c___pizza_per_te_45.6275_11.3114,C'è Pizza per Te,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/c_pizza_per_te_45.6275_11.3114.json,custom
45.631633,11.311409,ov_trattoria_castagna_45.6316_11.3114,Trattoria Castagna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/trattoria_castagna_45.6316_11.3114.json,custom
45.604144,11.349400,ov_bicibar___cornedo_vicentino_45.6041_11.3494,Bicibar - Cornedo Vicentino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/bicibar_-_cornedo_vicentino_45.6041_11.3494.json,custom
45.609299,11.347108,ov_la_casa_della_bruschetta_45.6093_11.3471,La Casa Della Bruschetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/la_casa_della_bruschetta_45.6093_11.3471.json,custom
45.610189,11.347241,ov_al_genio_pizzeria_da_asporto_45.6102_11.3472,Al Genio pizzeria da asporto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/al_genio_pizzeria_da_asporto_45.6102_11.3472.json,custom
45.611920,11.344320,ov_il_buongusto___cornedo_45.6119_11.3443,Il Buongusto - Cornedo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/il_buongusto_-_cornedo_45.6119_11.3443.json,custom
45.612469,11.342177,ov_puntopizza_cornedo_45.6125_11.3422,PuntoPizza Cornedo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/puntopizza_cornedo_45.6125_11.3422.json,custom
45.612351,11.341584,ov_la_gastronomia_di_zamperetti_e_manni_45.6124_11.3416,La Gastronomia Di Zamperetti E Manni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/la_gastronomia_di_zamperetti_e_manni_45.6124_11.3416.json,custom
45.610106,11.334810,ov_a_casa_di_claire__home_restaurant_45.6101_11.3348,"A casa di Claire, HOME Restaurant",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/a_casa_di_claire_home_restaurant_45.6101_11.3348.json,custom
45.622177,11.317558,ov_megu_sushi_45.6222_11.3176,Megu Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/megu_sushi_45.6222_11.3176.json,custom
45.623717,11.316887,ov_pizzeria_panaretto_45.6237_11.3169,Pizzeria Panaretto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/pizzeria_panaretto_45.6237_11.3169.json,custom
45.620851,11.319695,ov_metr__bar_pizzeria_45.6209_11.3197,Metrò Bar Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/metr_bar_pizzeria_45.6209_11.3197.json,custom
45.622370,11.333942,ov_pizzeria_da_dario_di_tecchio_sofia_45.6224_11.3339,Pizzeria Da Dario Di Tecchio Sofia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/pizzeria_da_dario_di_tecchio_sofia_45.6224_11.3339.json,custom
45.617572,11.342323,ov_cuor_di_pasta___street_food___vicenza_45.6176_11.3423,Cuor di pasta - Street Food - Vicenza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/cuor_di_pasta_-_street_food_-_vicenza_45.6176_11.3423.json,custom
45.614172,11.372494,ov_pizzeria_ristorante_la_zangola_45.6142_11.3725,Pizzeria Ristorante La Zangola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/pizzeria_ristorante_la_zangola_45.6142_11.3725.json,custom
45.618652,11.393606,ov_el_carnicero_45.6187_11.3936,El Carnicero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/el_carnicero_45.6187_11.3936.json,custom
45.609442,11.366971,ov_pizzeria_sant_andrea_45.6094_11.3670,Pizzeria Sant'Andrea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/pizzeria_santandrea_45.6094_11.3670.json,custom
45.600583,11.362287,ov_offelleria_moderna_manfron___co_45.6006_11.3623,Offelleria Moderna Manfron & Co,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/offelleria_moderna_manfron_co_45.6006_11.3623.json,custom
45.622339,11.334023,osm_da_dario_45.6223_11.3340,da Dario,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/cornedo_vicentino/pages/da_dario_45.6223_11.3340.json,custom
