# lat,lng,id,name,building_type,type,url,page_type
# lumezzane -- restaurants.csv
45.651752,10.280202,ov_pizzeria_ravello_lumezzane_45.6518_10.2802,Pizzeria Ravello Lumezzane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/pizzeria_ravello_lumezzane_45.6518_10.2802.json,custom
45.644620,10.286362,ov_la_perla_del_monte_45.6446_10.2864,La Perla del Monte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/la_perla_del_monte_45.6446_10.2864.json,custom
45.648604,10.270075,ov_pizzeria_amalfitana_45.6486_10.2701,Pizzeria Amalfitana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/pizzeria_amalfitana_45.6486_10.2701.json,custom
45.644271,10.269740,ov_m_b__forni_45.6443_10.2697,M.B. Forni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/mb_forni_45.6443_10.2697.json,custom
45.650041,10.250803,ov_sampei_45.6500_10.2508,Sampei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/sampei_45.6500_10.2508.json,custom
45.649423,10.256299,ov_la_piadineria_45.6494_10.2563,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/la_piadineria_45.6494_10.2563.json,custom
45.649977,10.266331,ov_mauri_s_l_hamburgheria_lumezzane_45.6500_10.2663,Mauri's l'hamburgheria Lumezzane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/mauris_lhamburgheria_lumezzane_45.6500_10.2663.json,custom
45.650063,10.266056,ov_pizza_lume_45.6501_10.2661,Pizza Lume,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/pizza_lume_45.6501_10.2661.json,custom
45.649498,10.270519,ov_roco_s_fast_pizza_45.6495_10.2705,Roco's Fast Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/rocos_fast_pizza_45.6495_10.2705.json,custom
45.654281,10.248859,ov_mal_23___food___drink_45.6543_10.2489,Malù23 - Food & Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/mal23_-_food_drink_45.6543_10.2489.json,custom
45.651176,10.247833,ov_pizzeria_mery_lumezzane_45.6512_10.2478,Pizzeria Mery Lumezzane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/pizzeria_mery_lumezzane_45.6512_10.2478.json,custom
45.655497,10.241888,ov_mondo_pizza_lumezzane_45.6555_10.2419,Mondo Pizza Lumezzane,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/mondo_pizza_lumezzane_45.6555_10.2419.json,custom
45.656272,10.246163,ov_il_saraceno_45.6563_10.2462,Il Saraceno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/il_saraceno_45.6563_10.2462.json,custom
45.657909,10.245225,ov_ristorante_da_angelo_45.6579_10.2452,Ristorante Da Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/ristorante_da_angelo_45.6579_10.2452.json,custom
45.658181,10.244907,ov_alcrociale_45.6582_10.2449,alcrociale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/alcrociale_45.6582_10.2449.json,custom
45.655165,10.269601,ov_ristorante_cascina_costa_45.6552_10.2696,Ristorante Cascina Costa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/ristorante_cascina_costa_45.6552_10.2696.json,custom
45.657647,10.230190,osm_trattoria_mario_e_maria_45.6576_10.2302,Trattoria Mario e Maria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/trattoria_mario_e_maria_45.6576_10.2302.json,custom
45.644645,10.286459,osm_ristorante_la_perla_del_monte_45.6446_10.2865,Ristorante La Perla del Monte,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/ristorante_la_perla_del_monte_45.6446_10.2865.json,custom
45.650190,10.250959,osm_ristorante_pizzeria_sampei_45.6502_10.2510,Ristorante Pizzeria Sampei,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/ristorante_pizzeria_sampei_45.6502_10.2510.json,custom
45.655089,10.269130,osm_ristorante_cascina_costa_45.6551_10.2691,Ristorante Cascina Costa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lumezzane/pages/ristorante_cascina_costa_45.6551_10.2691.json,custom
