# lat,lng,id,name,building_type,type,url,page_type
# racconigi -- restaurants.csv
44.759228,7.675831,ov_tortuga_44.7592_7.6758,Tortuga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/tortuga_44.7592_7.6758.json,custom
44.769135,7.679141,ov_kebab_assalam_44.7691_7.6791,Kebab Assalam,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/kebab_assalam_44.7691_7.6791.json,custom
44.768737,7.678236,ov_ilghiotto_racconigi_44.7687_7.6782,IlGhiotto Racconigi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/ilghiotto_racconigi_44.7687_7.6782.json,custom
44.769962,7.679189,ov_l_arancera_44.7700_7.6792,L'Arancera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/larancera_44.7700_7.6792.json,custom
44.768697,7.676937,ov_morosini7_pizza_e_cucina_44.7687_7.6769,Morosini7 pizza e cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/morosini7_pizza_e_cucina_44.7687_7.6769.json,custom
44.768560,7.676471,ov_l_arancera_44.7686_7.6765,L'arancera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/larancera_44.7686_7.6765.json,custom
44.768209,7.676423,ov_la_pizza_del_re_44.7682_7.6764,La pizza del re,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/la_pizza_del_re_44.7682_7.6764.json,custom
44.768340,7.673690,ov_osteria_del_castello_44.7683_7.6737,Osteria del castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/osteria_del_castello_44.7683_7.6737.json,custom
44.768360,7.673674,ov_osteria_ristorante_bela_rosin_44.7684_7.6737,Osteria Ristorante BELA ROSIN,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/osteria_ristorante_bela_rosin_44.7684_7.6737.json,custom
44.766669,7.675499,ov_da_mose_44.7667_7.6755,Da Mose,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/da_mose_44.7667_7.6755.json,custom
44.767808,7.675158,ov__l_quartin_44.7678_7.6752,Ēl Quartin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/l_quartin_44.7678_7.6752.json,custom
44.767889,7.675172,ov_ristorante_el_quartin_44.7679_7.6752,Ristorante El Quartin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/ristorante_el_quartin_44.7679_7.6752.json,custom
44.772079,7.684922,ov_il_fornaio_44.7721_7.6849,Il Fornaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/il_fornaio_44.7721_7.6849.json,custom
44.792050,7.650300,ov_la_serra___tenuta_berroni_44.7921_7.6503,La serra - Tenuta Berroni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/la_serra_-_tenuta_berroni_44.7921_7.6503.json,custom
44.791307,7.649579,ov_l_arancera_ristorante_44.7913_7.6496,L'Arancera Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/larancera_ristorante_44.7913_7.6496.json,custom
44.761660,7.910412,ov_trattoria_su_nuraghe_44.7617_7.9104,Trattoria su Nuraghe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/trattoria_su_nuraghe_44.7617_7.9104.json,custom
44.767837,7.675173,osm_el_quartin_44.7678_7.6752,El Quartin,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/el_quartin_44.7678_7.6752.json,custom
44.766662,7.675505,osm_ristorante_da_mos__44.7667_7.6755,Ristorante Da Mosè,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/ristorante_da_mos_44.7667_7.6755.json,custom
44.768694,7.676939,osm_morosini_7_44.7687_7.6769,Morosini 7,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/morosini_7_44.7687_7.6769.json,custom
44.769920,7.678857,osm_pizzeria_il_faraone_44.7699_7.6789,Pizzeria Il Faraone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/pizzeria_il_faraone_44.7699_7.6789.json,custom
44.769855,7.679214,ov_ristorante_il_castello_44.7699_7.6792,Ristorante il Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/ristorante_il_castello_44.7699_7.6792.json,custom
44.808648,7.661671,ov_3dici_a_tavola_44.8086_7.6617,3dici A Tavola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/racconigi/pages/3dici_a_tavola_44.8086_7.6617.json,custom
