# lat,lng,id,name,building_type,type,url,page_type
# cervaro -- restaurants
41.467760,13.853080,ov_eden_caf__41.4678_13.8531,Eden Cafè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/eden_caf_41.4678_13.8531.json,custom
41.481134,13.877585,ov_ristorante_pizzeria_la_villetta_41.4811_13.8776,Ristorante Pizzeria La Villetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/ristorante_pizzeria_la_villetta_41.4811_13.8776.json,custom
41.480647,13.878887,ov_da_giancarlo___i_sapori_che_vorrei_41.4806_13.8789,Da Giancarlo - I Sapori che Vorrei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/da_giancarlo_-_i_sapori_che_vorrei_41.4806_13.8789.json,custom
41.480678,13.878841,ov_canale_bomboniere_41.4807_13.8788,Canale Bomboniere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/canale_bomboniere_41.4807_13.8788.json,custom
41.481194,13.871282,ov_acqua_chiara_pizzeria_ristorante_41.4812_13.8713,Acqua Chiara Pizzeria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/acqua_chiara_pizzeria_ristorante_41.4812_13.8713.json,custom
41.453890,13.902012,ov_marepanino___panini_di_pesce_by_naturalm_41.4539_13.9020,Marepanino - Panini di pesce by naturalmenteNacci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/marepanino_-_panini_di_pesce_by_naturalm_41.4539_13.9020.json,custom
41.453958,13.901870,ov_naturalmente_nacci___ristorante_di_pesce_41.4540_13.9019,Naturalmente Nacci - Ristorante Di Pesce Cassino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/naturalmente_nacci_-_ristorante_di_pesce_41.4540_13.9019.json,custom
41.449000,13.880712,ov_agriturismo_arangino_41.4490_13.8807,Agriturismo Arangino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/agriturismo_arangino_41.4490_13.8807.json,custom
41.456251,13.881633,ov_ristorante_pizzeria_da_scutumella_41.4563_13.8816,Ristorante Pizzeria da Scutumella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/ristorante_pizzeria_da_scutumella_41.4563_13.8816.json,custom
41.460853,13.887691,ov_ristorante_pizzeria_braceria_medaglia_d__41.4609_13.8877,Ristorante Pizzeria Braceria Medaglia d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/ristorante_pizzeria_braceria_medaglia_do_41.4609_13.8877.json,custom
41.467053,13.900067,ov_crete_gialle_41.4671_13.9001,Crete Gialle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/crete_gialle_41.4671_13.9001.json,custom
41.466338,13.883421,ov_ristorante_sordella_41.4663_13.8834,Ristorante Sordella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/ristorante_sordella_41.4663_13.8834.json,custom
41.466408,13.883877,ov_la_fraschetta_dar_patata_41.4664_13.8839,La Fraschetta Dar Patata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/la_fraschetta_dar_patata_41.4664_13.8839.json,custom
41.471720,13.880138,ov_pizzeria_da_gennaro_41.4717_13.8801,Pizzeria da Gennaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/pizzeria_da_gennaro_41.4717_13.8801.json,custom
41.480047,13.880900,ov_pizzeria_da_diego_41.4800_13.8809,Pizzeria da Diego,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/pizzeria_da_diego_41.4800_13.8809.json,custom
41.484895,13.898312,ov_marameo_41.4849_13.8983,Marameo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/marameo_41.4849_13.8983.json,custom
41.480544,13.904219,ov_ristorante_pizzeria_da_rosetta_41.4805_13.9042,Ristorante Pizzeria Da Rosetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/ristorante_pizzeria_da_rosetta_41.4805_13.9042.json,custom
41.479808,13.906241,ov_trattoria_la_coccola_41.4798_13.9062,Trattoria La Coccola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/cervaro/pages/trattoria_la_coccola_41.4798_13.9062.json,custom
