# lat,lng,id,name,building_type,type,url,page_type
# giardini_naxos -- restaurants
37.813623,15.261028,ov_stella_di_mare_37.8136_15.2610,Stella di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/stella_di_mare_37.8136_15.2610.json,custom
37.813607,15.259025,ov_casa_del_massaro_37.8136_15.2590,Casa del Massaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/casa_del_massaro_37.8136_15.2590.json,custom
37.813927,15.263484,ov_navi_bistrot_del_mare_37.8139_15.2635,Navi Bistrot del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/navi_bistrot_del_mare_37.8139_15.2635.json,custom
37.815905,15.264282,ov_la_spelonca_37.8159_15.2643,La Spelonca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/la_spelonca_37.8159_15.2643.json,custom
37.816041,15.265684,ov_sciara_37.8160_15.2657,Sciara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/sciara_37.8160_15.2657.json,custom
37.815618,15.263612,ov_da_margherita_37.8156_15.2636,Da Margherita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/da_margherita_37.8156_15.2636.json,custom
37.820450,15.252381,ov_l__angolo_divino_37.8205_15.2524,L' Angolo Divino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/l_angolo_divino_37.8205_15.2524.json,custom
37.820497,15.255606,ov_ristorante_al_fagiano_37.8205_15.2556,Ristorante Al Fagiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_al_fagiano_37.8205_15.2556.json,custom
37.821291,15.268131,ov_il_covo_ristorante_pizzeria_sushi__giard_37.8213_15.2681,Il Covo Ristorante Pizzeria sushi..Giardini Naxos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/il_covo_ristorante_pizzeria_sushigiardin_37.8213_15.2681.json,custom
37.821094,15.267773,ov_kal__pizza_and_lounge_bar_37.8211_15.2678,Kalò Pizza and Lounge Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/kal_pizza_and_lounge_bar_37.8211_15.2678.json,custom
37.821692,15.263612,ov_alfio_s_pizza___pasta_37.8217_15.2636,Alfio's Pizza & Pasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/alfios_pizza_pasta_37.8217_15.2636.json,custom
37.821548,15.268770,ov_creperia___cosi_duci_p__tutti_37.8215_15.2688,Creperia   Cosi Duci Pì Tutti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/creperia_cosi_duci_p_tutti_37.8215_15.2688.json,custom
37.822404,15.270090,ov_ristorante_pozzo_greco_37.8224_15.2701,Ristorante Pozzo Greco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_pozzo_greco_37.8224_15.2701.json,custom
37.823164,15.250653,ov_bacilico_pizza_hamburger_37.8232_15.2507,Bacilico Pizza Hamburger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/bacilico_pizza_hamburger_37.8232_15.2507.json,custom
37.823908,15.270636,ov_portami_via_37.8239_15.2706,Portami Via,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/portami_via_37.8239_15.2706.json,custom
37.823998,15.270015,ov_gust__food_and_drink_37.8240_15.2700,Gustá Food and Drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/gust_food_and_drink_37.8240_15.2700.json,custom
37.824560,15.274633,ov_ristorante_da_angelina_37.8246_15.2746,Ristorante da Angelina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_da_angelina_37.8246_15.2746.json,custom
37.823962,15.272520,ov_la_cambusa_37.8240_15.2725,La Cambusa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/la_cambusa_37.8240_15.2725.json,custom
37.823375,15.274982,ov_ristorante_claire_de_lune_37.8234_15.2750,Ristorante Claire De Lune,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_claire_de_lune_37.8234_15.2750.json,custom
37.822597,15.270198,ov_la_trinacria_37.8226_15.2702,La Trinacria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/la_trinacria_37.8226_15.2702.json,custom
37.822560,15.276430,ov_capo_schiso_37.8226_15.2764,Capo Schiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/capo_schiso_37.8226_15.2764.json,custom
37.822843,15.275782,ov_la_lanterna_37.8228_15.2758,La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/la_lanterna_37.8228_15.2758.json,custom
37.819896,15.257521,ov_agriturismo_marino_37.8199_15.2575,Agriturismo Marino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/agriturismo_marino_37.8199_15.2575.json,custom
37.819762,15.250450,ov_donna_micia_37.8198_15.2504,Donna Micia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/donna_micia_37.8198_15.2504.json,custom
37.819287,15.249395,ov_pastificio_u_maccarruni_37.8193_15.2494,Pastificio U Maccarruni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/pastificio_u_maccarruni_37.8193_15.2494.json,custom
37.818305,15.266447,ov_ristorante_sire_37.8183_15.2664,Ristorante Sire,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ristorante_sire_37.8183_15.2664.json,custom
37.818520,15.266500,ov_ghost_kitchen_giardini_naxos_37.8185_15.2665,Ghost Kitchen Giardini Naxos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/ghost_kitchen_giardini_naxos_37.8185_15.2665.json,custom
37.819106,15.259304,ov_pizza_store_villa_recanati_37.8191_15.2593,Pizza Store Villa Recanati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/pizza_store_villa_recanati_37.8191_15.2593.json,custom
37.818800,15.271019,ov_lido_pirata_beach_37.8188_15.2710,Lido Pirata Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/giardini_naxos/pages/lido_pirata_beach_37.8188_15.2710.json,custom
