# lat,lng,id,name,building_type,type
# Vico del Gargano -- Tutti
41.897545,15.954341,osm_da_willy_il_mago_della_paposcia_41.8975_15.9543,Da Willy Il Mago della Paposcia,ristorante,ristorante
41.851019,16.003560,osm_rifugio_sfilzi_ristorante_b_b_41.8510_16.0036,Rifugio Sfilzi Ristorante B&B,ristorante,ristorante
41.935196,15.941947,ov_ospedale_gb_grassi_ostia_41.9352_15.9419,Ospedale Gb Grassi Ostia,HOSPITAL,hospital
41.610039,15.898521,ov_lido_aurora_lato_sud_di_patrizia_salice_41.6100_15.8985,Lido Aurora lato sud di Patrizia Salice,RESTAURANT,ristorante
41.850995,16.003536,ov_rifugio_sfilzi_41.8510_16.0035,Rifugio Sfilzi,RESTAURANT,ristorante
41.936509,15.949129,ov_lido_marina_il_mago_41.9365_15.9491,Lido Marina Il Mago,RESTAURANT,ristorante
41.936329,15.947194,ov_eco_del_mare_41.9363_15.9472,Eco Del Mare,RESTAURANT,ristorante
41.935744,15.943948,ov_ristorante_havana_beach_san_menaio_garga_41.9357_15.9439,Ristorante Havana beach San menaio Gargano,RESTAURANT,ristorante
41.935893,15.944103,ov_paposciare_41.9359_15.9441,PaposciaRE,RESTAURANT,ristorante
41.897541,15.953026,ov_osteria_da_miki_il_federiciano_41.8975_15.9530,Osteria Da Miki Il Federiciano,RESTAURANT,ristorante
41.897212,15.953060,ov_paposcia_bistrot_41.8972_15.9531,Paposcia Bistrot,RESTAURANT,ristorante
41.897341,15.952726,ov_radici_41.8973_15.9527,Radici,RESTAURANT,ristorante
41.896344,15.952935,ov_l_orto_del_conte_41.8963_15.9529,L'Orto Del Conte,RESTAURANT,ristorante
41.895913,15.955336,ov_pizzeria_pane_e_pomodoro_41.8959_15.9553,Pizzeria Pane e pomodoro,RESTAURANT,ristorante
41.896074,15.954763,ov_i_duje_port_41.8961_15.9548,I Duje Port,RESTAURANT,ristorante
41.896666,15.954332,ov_u_mu_ccick_41.8967_15.9543,U Mu'ccick,RESTAURANT,ristorante
41.897873,15.957264,ov_nan__ristorante_braceria_41.8979_15.9573,Nanì Ristorante Braceria,RESTAURANT,ristorante
41.897045,15.956461,ov_punto_e_pasta_41.8970_15.9565,Punto E Pasta,RESTAURANT,ristorante
41.896544,15.956636,ov_braceria_giulio_cesare_41.8965_15.9566,Braceria Giulio Cesare,RESTAURANT,ristorante
41.892757,15.958386,ov_pizzeria_le_macine_41.8928_15.9584,Pizzeria Le Macine,RESTAURANT,ristorante
41.893167,15.961867,ov_jazz_bar_41.8932_15.9619,Jazz Bar,RESTAURANT,ristorante
41.893731,15.962029,ov_pizzeria_dinner_41.8937_15.9620,Pizzeria Dinner,RESTAURANT,ristorante
41.894208,15.962143,ov_pizzeria_la_ruota_da_luciano_41.8942_15.9621,Pizzeria La Ruota da Luciano,RESTAURANT,ristorante
41.893961,15.961780,ov_rostipizza_nu_lo_41.8940_15.9618,Rostipizza nu&lo,RESTAURANT,ristorante
41.894832,15.962045,ov_aperito_41.8948_15.9620,Aperito,RESTAURANT,ristorante
41.895468,15.960574,ov_o_murzill_sapurit_41.8955_15.9606,O Murzill Sapurit,RESTAURANT,ristorante
41.895372,15.960550,ov_lo_spizziko_41.8954_15.9605,Lo Spizziko,RESTAURANT,ristorante
41.895439,15.960462,ov_fragole_e_mirtilli_41.8954_15.9605,Fragole e Mirtilli,RESTAURANT,ristorante
41.896020,15.960187,ov_pizzeria_l_angolo_41.8960_15.9602,Pizzeria L'Angolo,RESTAURANT,ristorante
41.896140,15.960148,ov_bounty_vico_41.8961_15.9601,Bounty Vico,RESTAURANT,ristorante
41.894750,15.958760,ov_agriturismo_da_billino_41.8948_15.9588,Agriturismo da Billino,RESTAURANT,ristorante
41.894720,15.958667,ov_pizza_smile_41.8947_15.9587,Pizza Smile,RESTAURANT,ristorante
41.898714,15.962436,ov_essenza_garganica_41.8987_15.9624,Essenza Garganica,RESTAURANT,ristorante
41.899437,15.963795,ov_mas____cucina___lounge_41.8994_15.9638,Masù - Cucina & Lounge,RESTAURANT,ristorante
41.900425,15.964642,ov_bar_pizzeria_da_tony_41.9004_15.9646,Bar pizzeria da Tony,RESTAURANT,ristorante
41.901262,15.965667,ov_pizzeria_la_giara_41.9013_15.9657,Pizzeria La Giara,RESTAURANT,ristorante
41.905716,15.959690,ov_la_patana_41.9057_15.9597,La Patana,RESTAURANT,ristorante
41.914689,15.961024,ov_la_pignata_ristorante_pizzeria_41.9147_15.9610,La Pignata Ristorante Pizzeria,RESTAURANT,ristorante
41.936314,15.985097,ov_ristorante_bar_pizzeria_la_stazione_di_c_41.9363_15.9851,Ristorante bar pizzeria la stazione di calenella,RESTAURANT,ristorante
41.933862,15.984905,ov_amado_di_del_viscio_matteo_41.9339_15.9849,Amado di del Viscio Matteo,RESTAURANT,ristorante
41.935395,15.957668,ov_el_fuego_braceria_pizzeria_41.9354_15.9577,El Fuego Braceria Pizzeria,RESTAURANT,ristorante
41.935225,15.958237,ov_paposcia_re_2_0_41.9352_15.9582,Paposcia Re 2.0,RESTAURANT,ristorante
41.934980,15.953610,ov_villa_maria_restaurant_41.9350_15.9536,Villa Maria Restaurant,RESTAURANT,ristorante
41.934684,15.956443,ov_la_lampara_41.9347_15.9564,La Lampara,RESTAURANT,ristorante
41.934862,15.956467,ov_amado_41.9349_15.9565,Amado,RESTAURANT,ristorante
41.936444,15.955427,ov_panificio_delle_fave_41.9364_15.9554,Panificio Delle Fave,RESTAURANT,ristorante
41.935509,15.953676,ov_hotel_ristorante_villa_maria_41.9355_15.9537,Hotel Ristorante Villa Maria,RESTAURANT,ristorante
41.937183,15.953629,ov_moro_s_41.9372_15.9536,Moro's,RESTAURANT,ristorante
41.937057,15.952957,ov_lido_san_menaio_41.9371_15.9530,Lido San Menaio,RESTAURANT,ristorante
41.936729,15.950330,ov_2001_beach_41.9367_15.9503,2001 Beach,RESTAURANT,ristorante
41.937568,15.955780,ov_san_menaio_bar_and_fast_food_41.9376_15.9558,San Menaio Bar and Fast Food,RESTAURANT,ristorante
41.935860,15.944040,ov_fermata_bellariva_beach_bar_and_kitchen_41.9359_15.9440,Fermata Bellariva Beach Bar And Kitchen,RESTAURANT,bar_cafe
41.896840,15.953780,ov_terra__terra___bar_41.8968_15.9538,Terra  Terra - Bar,RESTAURANT,bar_cafe
41.893697,15.957948,ov_coffee_pizza_paposciart_41.8937_15.9579,Coffee Pizza PaposciART,RESTAURANT,bar_cafe
41.896530,15.960540,ov_bar_gran_caffe__london__41.8965_15.9605,Bar gran caffe' london.,RESTAURANT,bar_cafe
41.894626,15.960376,ov_miro_41.8946_15.9604,Miro,RESTAURANT,bar_cafe
41.895635,15.960432,ov_pit_41.8956_15.9604,Pit,RESTAURANT,bar_cafe
41.895818,15.960106,ov_bar_gelateria_capriccio_41.8958_15.9601,Bar Gelateria Capriccio,RESTAURANT,bar_cafe
41.895359,15.959078,ov_pizzicato_bar_pasticceria_gelateria_41.8954_15.9591,Pizzicato Bar Pasticceria Gelateria,RESTAURANT,bar_cafe
41.896933,15.957464,ov_ideal_bar_di_vico_del_gargano_41.8969_15.9575,IDEAL BAR di Vico del Gargano,RESTAURANT,bar_cafe
41.897122,15.957971,ov_blu_bar_di_marcantonio_sergio_41.8971_15.9580,Blu Bar di Marcantonio Sergio,RESTAURANT,bar_cafe
41.896446,15.959052,ov_bar_da_mimmo_41.8964_15.9591,Bar da Mimmo,RESTAURANT,bar_cafe
41.901113,15.967596,ov_la_quercia_bar_piadineria_41.9011_15.9676,La Quercia Bar Piadineria,RESTAURANT,bar_cafe
41.936180,15.953990,ov_elite_lido_del_sole_41.9362_15.9540,Elite Lido Del sole,RESTAURANT,bar_cafe
41.936626,15.949933,ov_officina_balneare_41.9366_15.9499,Officina balneare,RESTAURANT,bar_cafe
41.891446,15.962754,ov_new_free_time_41.8914_15.9628,New Free Time,GYM,palestra
41.892870,15.962510,ov_personal_trainer_center_vico_del_gargano_41.8929_15.9625,Personal trainer center Vico del Gargano,GYM,palestra
41.901120,15.965456,ov_danza_e_movimento_41.9011_15.9655,Danza e Movimento,GYM,palestra
