# lat,lng,id,name,building_type,type,url,page_type
# vico_del_gargano -- restaurants.csv
41.610039,15.898521,ov_lido_aurora_lato_sud_di_patrizia_salice_41.6100_15.8985,Lido Aurora lato sud di Patrizia Salice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/lido_aurora_lato_sud_di_patrizia_salice_41.6100_15.8985.json,custom
41.850995,16.003536,ov_rifugio_sfilzi_41.8510_16.0035,Rifugio Sfilzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/rifugio_sfilzi_41.8510_16.0035.json,custom
41.936509,15.949129,ov_lido_marina_il_mago_41.9365_15.9491,Lido Marina Il Mago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/lido_marina_il_mago_41.9365_15.9491.json,custom
41.936329,15.947194,ov_eco_del_mare_41.9363_15.9472,Eco Del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/eco_del_mare_41.9363_15.9472.json,custom
41.935744,15.943948,ov_ristorante_havana_beach_san_menaio_garga_41.9357_15.9439,Ristorante Havana beach San menaio Gargano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/ristorante_havana_beach_san_menaio_garga_41.9357_15.9439.json,custom
41.935893,15.944103,ov_paposciare_41.9359_15.9441,PaposciaRE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/paposciare_41.9359_15.9441.json,custom
41.897541,15.953026,ov_osteria_da_miki_il_federiciano_41.8975_15.9530,Osteria Da Miki Il Federiciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/osteria_da_miki_il_federiciano_41.8975_15.9530.json,custom
41.897212,15.953060,ov_paposcia_bistrot_41.8972_15.9531,Paposcia Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/paposcia_bistrot_41.8972_15.9531.json,custom
41.897341,15.952726,ov_radici_41.8973_15.9527,Radici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/radici_41.8973_15.9527.json,custom
41.896344,15.952935,ov_l_orto_del_conte_41.8963_15.9529,L'Orto Del Conte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/lorto_del_conte_41.8963_15.9529.json,custom
41.895913,15.955336,ov_pizzeria_pane_e_pomodoro_41.8959_15.9553,Pizzeria Pane e pomodoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/pizzeria_pane_e_pomodoro_41.8959_15.9553.json,custom
41.896074,15.954763,ov_i_duje_port_41.8961_15.9548,I Duje Port,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/i_duje_port_41.8961_15.9548.json,custom
41.896666,15.954332,ov_u_mu_ccick_41.8967_15.9543,U Mu'ccick,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/u_muccick_41.8967_15.9543.json,custom
41.897873,15.957264,ov_nan__ristorante_braceria_41.8979_15.9573,Nanì Ristorante Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/nan_ristorante_braceria_41.8979_15.9573.json,custom
41.897045,15.956461,ov_punto_e_pasta_41.8970_15.9565,Punto E Pasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/punto_e_pasta_41.8970_15.9565.json,custom
41.896544,15.956636,ov_braceria_giulio_cesare_41.8965_15.9566,Braceria Giulio Cesare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/braceria_giulio_cesare_41.8965_15.9566.json,custom
41.892757,15.958386,ov_pizzeria_le_macine_41.8928_15.9584,Pizzeria Le Macine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/pizzeria_le_macine_41.8928_15.9584.json,custom
41.893167,15.961867,ov_jazz_bar_41.8932_15.9619,Jazz Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/jazz_bar_41.8932_15.9619.json,custom
41.893731,15.962029,ov_pizzeria_dinner_41.8937_15.9620,Pizzeria Dinner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/pizzeria_dinner_41.8937_15.9620.json,custom
41.894208,15.962143,ov_pizzeria_la_ruota_da_luciano_41.8942_15.9621,Pizzeria La Ruota da Luciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/pizzeria_la_ruota_da_luciano_41.8942_15.9621.json,custom
41.893961,15.961780,ov_rostipizza_nu_lo_41.8940_15.9618,Rostipizza nu&lo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/rostipizza_nulo_41.8940_15.9618.json,custom
41.894832,15.962045,ov_aperito_41.8948_15.9620,Aperito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/aperito_41.8948_15.9620.json,custom
41.895468,15.960574,ov_o_murzill_sapurit_41.8955_15.9606,O Murzill Sapurit,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/o_murzill_sapurit_41.8955_15.9606.json,custom
41.895372,15.960550,ov_lo_spizziko_41.8954_15.9605,Lo Spizziko,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/lo_spizziko_41.8954_15.9605.json,custom
41.895439,15.960462,ov_fragole_e_mirtilli_41.8954_15.9605,Fragole e Mirtilli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/fragole_e_mirtilli_41.8954_15.9605.json,custom
41.896020,15.960187,ov_pizzeria_l_angolo_41.8960_15.9602,Pizzeria L'Angolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/pizzeria_langolo_41.8960_15.9602.json,custom
41.896140,15.960148,ov_bounty_vico_41.8961_15.9601,Bounty Vico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/bounty_vico_41.8961_15.9601.json,custom
41.894750,15.958760,ov_agriturismo_da_billino_41.8948_15.9588,Agriturismo da Billino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/agriturismo_da_billino_41.8948_15.9588.json,custom
41.894720,15.958667,ov_pizza_smile_41.8947_15.9587,Pizza Smile,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/pizza_smile_41.8947_15.9587.json,custom
41.898714,15.962436,ov_essenza_garganica_41.8987_15.9624,Essenza Garganica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/essenza_garganica_41.8987_15.9624.json,custom
41.899437,15.963795,ov_mas____cucina___lounge_41.8994_15.9638,Masù - Cucina & Lounge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/mas_-_cucina_lounge_41.8994_15.9638.json,custom
41.900425,15.964642,ov_bar_pizzeria_da_tony_41.9004_15.9646,Bar pizzeria da Tony,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/bar_pizzeria_da_tony_41.9004_15.9646.json,custom
41.901262,15.965667,ov_pizzeria_la_giara_41.9013_15.9657,Pizzeria La Giara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/pizzeria_la_giara_41.9013_15.9657.json,custom
41.905716,15.959690,ov_la_patana_41.9057_15.9597,La Patana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/la_patana_41.9057_15.9597.json,custom
41.914689,15.961024,ov_la_pignata_ristorante_pizzeria_41.9147_15.9610,La Pignata Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/la_pignata_ristorante_pizzeria_41.9147_15.9610.json,custom
41.936314,15.985097,ov_ristorante_bar_pizzeria_la_stazione_di_c_41.9363_15.9851,Ristorante bar pizzeria la stazione di calenella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/ristorante_bar_pizzeria_la_stazione_di_c_41.9363_15.9851.json,custom
41.933862,15.984905,ov_amado_di_del_viscio_matteo_41.9339_15.9849,Amado di del Viscio Matteo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/amado_di_del_viscio_matteo_41.9339_15.9849.json,custom
41.935395,15.957668,ov_el_fuego_braceria_pizzeria_41.9354_15.9577,El Fuego Braceria Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/el_fuego_braceria_pizzeria_41.9354_15.9577.json,custom
41.935225,15.958237,ov_paposcia_re_2_0_41.9352_15.9582,Paposcia Re 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/paposcia_re_20_41.9352_15.9582.json,custom
41.934980,15.953610,ov_villa_maria_restaurant_41.9350_15.9536,Villa Maria Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/villa_maria_restaurant_41.9350_15.9536.json,custom
41.934684,15.956443,ov_la_lampara_41.9347_15.9564,La Lampara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/la_lampara_41.9347_15.9564.json,custom
41.934862,15.956467,ov_amado_41.9349_15.9565,Amado,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/amado_41.9349_15.9565.json,custom
41.936444,15.955427,ov_panificio_delle_fave_41.9364_15.9554,Panificio Delle Fave,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/panificio_delle_fave_41.9364_15.9554.json,custom
41.935509,15.953676,ov_hotel_ristorante_villa_maria_41.9355_15.9537,Hotel Ristorante Villa Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/hotel_ristorante_villa_maria_41.9355_15.9537.json,custom
41.937183,15.953629,ov_moro_s_41.9372_15.9536,Moro's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/moros_41.9372_15.9536.json,custom
41.937057,15.952957,ov_lido_san_menaio_41.9371_15.9530,Lido San Menaio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/lido_san_menaio_41.9371_15.9530.json,custom
41.936729,15.950330,ov_2001_beach_41.9367_15.9503,2001 Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/2001_beach_41.9367_15.9503.json,custom
41.937568,15.955780,ov_san_menaio_bar_and_fast_food_41.9376_15.9558,San Menaio Bar and Fast Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/san_menaio_bar_and_fast_food_41.9376_15.9558.json,custom
41.897545,15.954341,osm_da_willy_il_mago_della_paposcia_41.8975_15.9543,Da Willy Il Mago della Paposcia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/da_willy_il_mago_della_paposcia_41.8975_15.9543.json,custom
41.851019,16.003560,osm_rifugio_sfilzi_ristorante_b_b_41.8510_16.0036,Rifugio Sfilzi Ristorante B&B,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/vico_del_gargano/pages/rifugio_sfilzi_ristorante_bb_41.8510_16.0036.json,custom
