# lat,lng,id,name,building_type,type,url,page_type
# spinea -- bars_cafes
45.478750,12.154130,ov_bar_la_lanterna_45.4787_12.1541,Bar La Lanterna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/bar_la_lanterna_45.4787_12.1541.json,custom
45.478218,12.152138,ov_bar_tabacchi_valeria_45.4782_12.1521,Bar Tabacchi Valeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/bar_tabacchi_valeria_45.4782_12.1521.json,custom
45.476730,12.161640,ov_gold_n_baklava_45.4767_12.1616,Goldın baklava,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/goldn_baklava_45.4767_12.1616.json,custom
45.476720,12.160920,ov_da_macy_45.4767_12.1609,DA MACY,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/da_macy_45.4767_12.1609.json,custom
45.481929,12.142606,ov_creapancaff__45.4819_12.1426,Creapancaffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/creapancaff_45.4819_12.1426.json,custom
45.487936,12.177354,ov_gambrinus_pub_45.4879_12.1774,Gambrinus Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/gambrinus_pub_45.4879_12.1774.json,custom
45.487720,12.169111,ov_bar_dante_di_yang_jian_45.4877_12.1691,Bar Dante Di Yang Jian,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/bar_dante_di_yang_jian_45.4877_12.1691.json,custom
45.489583,12.169171,ov_different_caffe_45.4896_12.1692,Different Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/different_caffe_45.4896_12.1692.json,custom
45.489645,12.169327,ov_bar_ai_giadri_45.4896_12.1693,Bar Ai Giadri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/bar_ai_giadri_45.4896_12.1693.json,custom
45.489856,12.170240,ov_free_time_45.4899_12.1702,free Time,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/free_time_45.4899_12.1702.json,custom
45.489971,12.171626,ov_bar_al_cavalcavia_45.4900_12.1716,Bar Al Cavalcavia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/bar_al_cavalcavia_45.4900_12.1716.json,custom
45.492223,12.169302,ov_bar_naturale_45.4922_12.1693,Bar Naturale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/bar_naturale_45.4922_12.1693.json,custom
45.494330,12.146239,ov_orange_bar_45.4943_12.1462,Orange Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/orange_bar_45.4943_12.1462.json,custom
45.491469,12.155690,ov_iris_bar_45.4915_12.1557,Iris bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/iris_bar_45.4915_12.1557.json,custom
45.492175,12.163445,ov_l_infinito_45.4922_12.1634,L'Infinito,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/linfinito_45.4922_12.1634.json,custom
45.491546,12.165135,ov_la_corte_45.4915_12.1651,La Corte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/la_corte_45.4915_12.1651.json,custom
45.491275,12.166740,ov_enoteca_la_vigna_45.4913_12.1667,Enoteca La Vigna,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/enoteca_la_vigna_45.4913_12.1667.json,custom
45.490676,12.167839,ov_antico_caffe__marconi_45.4907_12.1678,Antico Caffe' Marconi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/antico_caffe_marconi_45.4907_12.1678.json,custom
45.490932,12.165382,ov_la_triestina_caffetteria_45.4909_12.1654,La Triestina Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/la_triestina_caffetteria_45.4909_12.1654.json,custom
45.490836,12.165765,ov_semaforo_rosso_45.4908_12.1658,Semaforo Rosso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/semaforo_rosso_45.4908_12.1658.json,custom
45.491132,12.165407,ov_cafe_coton_45.4911_12.1654,Cafe Coton,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/cafe_coton_45.4911_12.1654.json,custom
45.490433,12.165779,ov_capitolo_uno_45.4904_12.1658,Capitolo uno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/capitolo_uno_45.4904_12.1658.json,custom
45.490538,12.165815,ov_cocktail_bar_la_barchessa_spinea_45.4905_12.1658,Cocktail Bar La Barchessa Spinea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/cocktail_bar_la_barchessa_spinea_45.4905_12.1658.json,custom
45.488229,12.151844,ov_re_burlone_45.4882_12.1518,Re Burlone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/re_burlone_45.4882_12.1518.json,custom
45.488782,12.152274,ov_al_volto_45.4888_12.1523,Al Volto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/al_volto_45.4888_12.1523.json,custom
45.490556,12.152895,ov_flowers_45.4906_12.1529,Flowers,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/flowers_45.4906_12.1529.json,custom
45.490860,12.152761,ov_villaggio_dei_fiori_spinea_45.4909_12.1528,Villaggio Dei Fiori Spinea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/villaggio_dei_fiori_spinea_45.4909_12.1528.json,custom
45.495895,12.152624,ov_bar_sport_spinea_45.4959_12.1526,Bar sport spinea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/bar_sport_spinea_45.4959_12.1526.json,custom
45.495780,12.157435,ov_italiana_caff__45.4958_12.1574,Italiana caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/italiana_caff_45.4958_12.1574.json,custom
45.491385,12.153159,osm_pasticceria_ceccato_45.4914_12.1532,Pasticceria Ceccato,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/pasticceria_ceccato_45.4914_12.1532.json,custom
45.490895,12.168149,osm_meladai_45.4909_12.1681,MELADAI,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/meladai_45.4909_12.1681.json,custom
45.491220,12.168323,osm_baccaro_al_pozzo_45.4912_12.1683,Baccaro Al Pozzo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/baccaro_al_pozzo_45.4912_12.1683.json,custom
45.491189,12.165412,osm_k_placca_45.4912_12.1654,K-Placca,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/k-placca_45.4912_12.1654.json,custom
45.490952,12.165310,osm_la_triestina_45.4910_12.1653,La triestina,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/la_triestina_45.4910_12.1653.json,custom
45.492078,12.162864,osm_bar_eden_45.4921_12.1629,Bar Eden,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/bar_eden_45.4921_12.1629.json,custom
45.476189,12.159922,osm_bar_red_2_1_45.4762_12.1599,Bar Red 2.1,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/spinea/pages/bar_red_21_45.4762_12.1599.json,custom
