# lat,lng,id,name,building_type,type,url,page_type
# Casalecchio di Reno -- Tutti
44.466285,11.269073,ov_poliambulatorio_centro_di_terapia_san_bi_44.4663_11.2691,Poliambulatorio Centro di Terapia San Biagio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/poliambulatorio_centro_di_terapia_san_bi_44.4663_11.2691.json,custom
44.475783,11.274183,ov_casa_della_salute_44.4758_11.2742,Casa della Salute,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/casa_della_salute_44.4758_11.2742.json,custom
44.487400,11.290070,ov_studio_corpo_psyche_44.4874_11.2901,Studio Corpo&Psyche,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/studio_corpopsyche_44.4874_11.2901.json,custom
44.459743,11.273940,ov_ausl_bo_sud___distretto_di_casalecchio_44.4597_11.2739,Ausl Bo Sud - Distretto di Casalecchio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/ausl_bo_sud_-_distretto_di_casalecchio_44.4597_11.2739.json,custom
44.486060,11.358865,ov_ospedale_santa_orsola_44.4861_11.3589,Ospedale Santa Orsola,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/ospedale_santa_orsola_44.4861_11.3589.json,custom
44.000000,11.000000,ov_pizzeria_la_dolce_vita___la_pizza_legger_44.0000_11.0000,Pizzeria La Dolce Vita – La Pizza Leggera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/pizzeria_la_dolce_vita_la_pizza_leggera_44.0000_11.0000.json,custom
44.487991,11.247816,ov_don_peppe_pizza_e_cucina_44.4880_11.2478,Don Peppe Pizza e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/don_peppe_pizza_e_cucina_44.4880_11.2478.json,custom
44.488122,11.248275,ov_dispensa_emilia_44.4881_11.2483,Dispensa Emilia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/dispensa_emilia_44.4881_11.2483.json,custom
44.488549,11.248221,ov_puro_gusto_44.4885_11.2482,Puro gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/puro_gusto_44.4885_11.2482.json,custom
44.488963,11.248456,ov_fattoria_toccaferro___shopville_gran_ren_44.4890_11.2485,Fattoria Toccaferro | Shopville Gran Reno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/fattoria_toccaferro_shopville_gran_reno_44.4890_11.2485.json,custom
44.489390,11.248855,ov_rom_antica_casalecchio_44.4894_11.2489,Rom'antica Casalecchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/romantica_casalecchio_44.4894_11.2489.json,custom
44.489390,11.248855,ov_signorvino_casalecchio_di_reno_44.4894_11.2489,Signorvino Casalecchio Di Reno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/signorvino_casalecchio_di_reno_44.4894_11.2489.json,custom
44.489130,11.249555,ov_kfc_44.4891_11.2496,KFC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/kfc_44.4891_11.2496.json,custom
44.488352,11.249036,ov_bun_burgers___gran_reno_44.4884_11.2490,Bun Burgers - Gran Reno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/bun_burgers_-_gran_reno_44.4884_11.2490.json,custom
44.488331,11.249021,ov_vecchia_malga_44.4883_11.2490,Vecchia Malga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/vecchia_malga_44.4883_11.2490.json,custom
44.488257,11.249010,ov_poke_house___gran_reno_44.4883_11.2490,Poke House - Gran Reno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/poke_house_-_gran_reno_44.4883_11.2490.json,custom
44.487112,11.246715,ov_billy_tacos_44.4871_11.2467,Billy Tacos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/billy_tacos_44.4871_11.2467.json,custom
44.487182,11.246277,ov_calavera_restaurant_44.4872_11.2463,Calavera Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/calavera_restaurant_44.4872_11.2463.json,custom
44.487211,11.245853,ov_roadhouse_restaurant_44.4872_11.2459,Roadhouse Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/roadhouse_restaurant_44.4872_11.2459.json,custom
44.487217,11.245658,ov_mcdonald_s_44.4872_11.2457,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/mcdonalds_44.4872_11.2457.json,custom
44.486490,11.252742,ov_fradiavolo_44.4865_11.2527,Fradiavolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/fradiavolo_44.4865_11.2527.json,custom
44.492185,11.255594,ov_trattoria_da_mery_44.4922_11.2556,Trattoria da Mery,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/casalecchio_di_reno/pages/trattoria_da_mery_44.4922_11.2556.json,custom
