# lat,lng,id,name,building_type,type,url,page_type
# maida -- restaurants.csv
38.875121,16.335889,ov_agriturismo_costantino_38.8751_16.3359,Agriturismo Costantino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/agriturismo_costantino_38.8751_16.3359.json,custom
38.898260,16.345750,ov_l_wengrube_due_mari_38.8983_16.3457,Löwengrube Due Mari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/lwengrube_due_mari_38.8983_16.3457.json,custom
38.901693,16.349725,ov_old_wild_west_38.9017_16.3497,Old Wild West,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/old_wild_west_38.9017_16.3497.json,custom
38.899741,16.347966,ov_kfc_38.8997_16.3480,KFC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/kfc_38.8997_16.3480.json,custom
38.898968,16.350257,ov_la_piadineria_38.8990_16.3503,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/la_piadineria_38.8990_16.3503.json,custom
38.900018,16.349982,ov_imperivm_38.9000_16.3500,Imperivm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/imperivm_38.9000_16.3500.json,custom
38.899807,16.350512,ov_mcdonald_s_38.8998_16.3505,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/mcdonalds_38.8998_16.3505.json,custom
38.899605,16.350368,ov_la_taverna_del_gusto_38.8996_16.3504,La Taverna del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/la_taverna_del_gusto_38.8996_16.3504.json,custom
38.899128,16.350649,ov_rusticherie_mediterranee_38.8991_16.3506,Rusticherie Mediterranee,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/rusticherie_mediterranee_38.8991_16.3506.json,custom
38.899844,16.350555,ov_sushi_daily_due_mari_38.8998_16.3506,Sushi Daily Due Mari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/sushi_daily_due_mari_38.8998_16.3506.json,custom
38.899940,16.350715,ov_sushilove_lamezia_terme_38.8999_16.3507,SushiLove Lamezia Terme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/sushilove_lamezia_terme_38.8999_16.3507.json,custom
38.899930,16.351065,ov_fratelli_la_bufala_38.8999_16.3511,Fratelli La Bufala,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/fratelli_la_bufala_38.8999_16.3511.json,custom
38.887618,16.389165,ov_agriturismo_a_jinostrara_38.8876_16.3892,Agriturismo A Jinostrara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/agriturismo_a_jinostrara_38.8876_16.3892.json,custom
38.863148,16.359790,ov_garden_chicken_38.8631_16.3598,Garden Chicken,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/garden_chicken_38.8631_16.3598.json,custom
38.858823,16.363067,ov_trattoria_da_graziella_38.8588_16.3631,Trattoria da Graziella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/trattoria_da_graziella_38.8588_16.3631.json,custom
38.858663,16.364926,ov_pollo_allo_spiedo_38.8587_16.3649,Pollo allo Spiedo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/pollo_allo_spiedo_38.8587_16.3649.json,custom
38.858848,16.364539,ov_sosta_e_gusta_38.8588_16.3645,Sosta e Gusta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/sosta_e_gusta_38.8588_16.3645.json,custom
38.859074,16.363917,ov_bar_ristorante_il_casello_38.8591_16.3639,Bar Ristorante IL Casello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/bar_ristorante_il_casello_38.8591_16.3639.json,custom
38.859433,16.364061,ov_antico_mulino_38.8594_16.3641,Antico Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/antico_mulino_38.8594_16.3641.json,custom
38.859991,16.368865,ov_pizzeria_ristorante_al_vecchio_convento_38.8600_16.3689,Pizzeria Ristorante Al Vecchio Convento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/pizzeria_ristorante_al_vecchio_convento_38.8600_16.3689.json,custom
38.875978,16.478367,ov_la_palma_38.8760_16.4784,La Palma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/maida/pages/la_palma_38.8760_16.4784.json,custom
