# lat,lng,id,name,building_type,type,url,page_type
# celano -- restaurants
42.046289,13.543636,ov_paloma_restaurant_42.0463_13.5436,Paloma Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/paloma_restaurant_42.0463_13.5436.json,custom
42.057456,13.559454,ov_ristorante_da_rita_42.0575_13.5595,Ristorante Da Rita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/ristorante_da_rita_42.0575_13.5595.json,custom
42.058655,13.544194,ov_fabbrica_dei_sapori_42.0587_13.5442,Fabbrica Dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/fabbrica_dei_sapori_42.0587_13.5442.json,custom
42.063902,13.537990,ov_la_rosa_dei_venti_42.0639_13.5380,La Rosa dei Venti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/la_rosa_dei_venti_42.0639_13.5380.json,custom
42.086500,13.522950,ov_consorzio_di_tutela_igp_patata_del_fucin_42.0865_13.5229,Consorzio Di Tutela Igp Patata Del Fucino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/consorzio_di_tutela_igp_patata_del_fucin_42.0865_13.5229.json,custom
42.090597,13.535922,ov_birr_i_pizz_42.0906_13.5359,Birr i Pizz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/birr_i_pizz_42.0906_13.5359.json,custom
42.087693,13.536571,ov_da_lisetta_risto_pizza_bar_42.0877_13.5366,Da Lisetta Risto Pizza Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/da_lisetta_risto_pizza_bar_42.0877_13.5366.json,custom
42.087211,13.533019,ov_la_regina_del_gluten_free_42.0872_13.5330,La Regina del Gluten Free,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/la_regina_del_gluten_free_42.0872_13.5330.json,custom
42.085798,13.535534,ov_bisteccheria_da_marco_e_francesca_42.0858_13.5355,Bisteccheria da Marco e Francesca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/bisteccheria_da_marco_e_francesca_42.0858_13.5355.json,custom
42.079272,13.549963,ov_le_mirage_42.0793_13.5500,Le Mirage,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/le_mirage_42.0793_13.5500.json,custom
42.076380,13.550010,ov_sapori_in_corso_42.0764_13.5500,Sapori in Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/sapori_in_corso_42.0764_13.5500.json,custom
42.075790,13.549890,ov_ristorante_le_foci_di_aielli_celano_42.0758_13.5499,Ristorante Le Foci di Aielli-Celano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/ristorante_le_foci_di_aielli-celano_42.0758_13.5499.json,custom
42.082822,13.549307,ov_il_locale_67_42.0828_13.5493,Il Locale 67,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/celano/pages/il_locale_67_42.0828_13.5493.json,custom
