# lat,lng,id,name,building_type,type,url,page_type
# apricena -- restaurants.csv
41.780119,15.385126,ov_area_di_sosta_s_trifone_41.7801_15.3851,Area Di Sosta S.trifone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/area_di_sosta_strifone_41.7801_15.3851.json,custom
41.793640,15.496910,ov_ristopizza_da_enzo_41.7936_15.4969,Ristopizza Da Enzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/ristopizza_da_enzo_41.7936_15.4969.json,custom
41.761641,15.503895,ov_agriturismo_posta_monaca_41.7616_15.5039,Agriturismo Posta Monaca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/agriturismo_posta_monaca_41.7616_15.5039.json,custom
41.783969,15.450008,ov_oltrepizza_by_rocco_41.7840_15.4500,Oltrepizza by Rocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/oltrepizza_by_rocco_41.7840_15.4500.json,custom
41.783018,15.448677,ov_la_biga_41.7830_15.4487,La Biga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/la_biga_41.7830_15.4487.json,custom
41.783390,15.446429,ov_il_picasso_della_carne___ristorante___br_41.7834_15.4464,Il Picasso della Carne - Ristorante & Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/il_picasso_della_carne_-_ristorante_brac_41.7834_15.4464.json,custom
41.782684,15.447092,ov_agriturismo_posta_monaca_41.7827_15.4471,Agriturismo Posta Monaca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/agriturismo_posta_monaca_41.7827_15.4471.json,custom
41.782628,15.446933,ov_doppio_0_41.7826_15.4469,Doppio 0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/doppio_0_41.7826_15.4469.json,custom
41.781725,15.445522,ov_miro_passione_pizza_41.7817_15.4455,MiRo Passione Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/miro_passione_pizza_41.7817_15.4455.json,custom
41.782324,15.445039,ov_pasta_maestra_41.7823_15.4450,Pasta Maestra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/apricena/pages/pasta_maestra_41.7823_15.4450.json,custom
