# lat,lng,id,name,building_type,type,url,page_type
# caluso -- restaurants
45.309222,7.896312,ov_maxi_ristorante_mago_45.3092_7.8963,Maxi Ristorante Mago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/maxi_ristorante_mago_45.3092_7.8963.json,custom
45.307714,7.889578,ov_piazza_c_ubertini_45.3077_7.8896,Piazza C.Ubertini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/piazza_cubertini_45.3077_7.8896.json,custom
45.307730,7.889378,ov_simeone_bistro_45.3077_7.8894,Simeone Bistro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/simeone_bistro_45.3077_7.8894.json,custom
45.308360,7.888100,ov_sibilla_cucina___lounge_45.3084_7.8881,Sibilla Cucina & Lounge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/sibilla_cucina_lounge_45.3084_7.8881.json,custom
45.304699,7.889032,ov_ristorante_pizzeria_calu_45.3047_7.8890,Ristorante Pizzeria Calu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/ristorante_pizzeria_calu_45.3047_7.8890.json,custom
45.304531,7.891607,ov_storia_45.3045_7.8916,Storia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/storia_45.3045_7.8916.json,custom
45.305635,7.890143,ov_pizzeria_che_pizza_45.3056_7.8901,Pizzeria Che Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/pizzeria_che_pizza_45.3056_7.8901.json,custom
45.305512,7.892843,ov_trattoria_rampin_45.3055_7.8928,Trattoria Rampin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/trattoria_rampin_45.3055_7.8928.json,custom
45.305612,7.889183,ov_ristorante_pizzeria_il_grillo_45.3056_7.8892,Ristorante Pizzeria Il Grillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/ristorante_pizzeria_il_grillo_45.3056_7.8892.json,custom
45.303882,7.884279,ov_pizzeria_la_monella_3_45.3039_7.8843,Pizzeria la monella 3,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/pizzeria_la_monella_3_45.3039_7.8843.json,custom
45.303312,7.889813,ov_ristorante_gardenia_45.3033_7.8898,Ristorante Gardenia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/ristorante_gardenia_45.3033_7.8898.json,custom
45.302388,7.889721,ov_pizzeria_egitto_45.3024_7.8897,Pizzeria Egitto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/pizzeria_egitto_45.3024_7.8897.json,custom
45.280964,7.875692,ov_trattoria_casa_ubertini_45.2810_7.8757,Trattoria Casa Ubertini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/trattoria_casa_ubertini_45.2810_7.8757.json,custom
45.266436,7.877924,ov_la_locanda_del_giorgione_45.2664_7.8779,La Locanda Del Giorgione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/la_locanda_del_giorgione_45.2664_7.8779.json,custom
45.305579,7.890489,osm____che_pizza___45.3056_7.8905,...che Pizza!!,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/che_pizza_45.3056_7.8905.json,custom
