# lat,lng,id,name,building_type,type,url,page_type
# caluso -- bars_cafes.csv
45.307980,7.891517,ov_enoteca_regionale_dei_vini_della_provinc_45.3080_7.8915,Enoteca Regionale Dei Vini Della Provincia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/enoteca_regionale_dei_vini_della_provinc_45.3080_7.8915.json,custom
45.308050,7.887420,ov_ilgymmycaf___45.3081_7.8874,IlgymmyCafè_,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/ilgymmycaf_45.3081_7.8874.json,custom
45.308183,7.889526,ov_jemmo_45.3082_7.8895,Jemmo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/jemmo_45.3082_7.8895.json,custom
45.307950,7.874040,ov_bar_il_sorriso_eni_caluso_45.3079_7.8740,Bar Il Sorriso Eni Caluso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/bar_il_sorriso_eni_caluso_45.3079_7.8740.json,custom
45.305791,7.889173,ov_caffe_umberto_45.3058_7.8892,Caffe Umberto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/caffe_umberto_45.3058_7.8892.json,custom
45.303015,7.885837,ov_bartinetti_45.3030_7.8858,Bartinetti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/bartinetti_45.3030_7.8858.json,custom
45.299794,7.890244,ov_bar_le_cafe_45.2998_7.8902,Bar Le Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/bar_le_cafe_45.2998_7.8902.json,custom
45.300863,7.889863,ov_enoteca_caluso_45.3009_7.8899,Enoteca Caluso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/enoteca_caluso_45.3009_7.8899.json,custom
45.301529,7.889460,ov_caffe_torino_45.3015_7.8895,Caffe Torino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/caffe_torino_45.3015_7.8895.json,custom
45.282900,7.892500,ov_caffe_d_are__di_quagliano_manuela_45.2829_7.8925,Caffe d'Are' di Quagliano Manuela,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/caffe_dare_di_quagliano_manuela_45.2829_7.8925.json,custom
45.266483,7.882303,ov_vallo_di_caluso_45.2665_7.8823,Vallo Di Caluso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/vallo_di_caluso_45.2665_7.8823.json,custom
45.306101,7.879380,osm_caffe__antico_piemonte_45.3061_7.8794,Caffe' Antico Piemonte,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/caluso/pages/caffe_antico_piemonte_45.3061_7.8794.json,custom
