# lat,lng,id,name,building_type,type,url,page_type
# statte -- restaurants.csv
40.565369,17.202244,ov_peperoncino_rosso_trattoria_40.5654_17.2022,Peperoncino rosso trattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/statte/pages/peperoncino_rosso_trattoria_40.5654_17.2022.json,custom
40.568350,17.202560,ov_sanbasil_pizzeria_40.5684_17.2026,SanBasil pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/statte/pages/sanbasil_pizzeria_40.5684_17.2026.json,custom
40.579470,17.215630,ov_villa_five_senses_homerestaurant_40.5795_17.2156,Villa Five Senses HomeRestaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/statte/pages/villa_five_senses_homerestaurant_40.5795_17.2156.json,custom
40.567044,17.205685,ov_alla_villa_da_bombo_40.5670_17.2057,Alla Villa da Bombo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/statte/pages/alla_villa_da_bombo_40.5670_17.2057.json,custom
40.565925,17.209994,ov_sapori_di_casa_40.5659_17.2100,Sapori di casa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/statte/pages/sapori_di_casa_40.5659_17.2100.json,custom
40.567680,17.212620,ov_peterpan_40.5677_17.2126,Peterpan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/statte/pages/peterpan_40.5677_17.2126.json,custom
40.564369,17.207097,ov_l_imperiale_40.5644_17.2071,L'Imperiale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/statte/pages/limperiale_40.5644_17.2071.json,custom
40.562651,17.205024,ov_take_away_40.5627_17.2050,Take Away,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/statte/pages/take_away_40.5627_17.2050.json,custom
40.563331,17.210790,ov_pizzeria_black___white_40.5633_17.2108,Pizzeria Black & White,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/statte/pages/pizzeria_black_white_40.5633_17.2108.json,custom
40.561146,17.208531,ov_na_nuvola_40.5611_17.2085,Na Nuvola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/statte/pages/na_nuvola_40.5611_17.2085.json,custom
40.553385,17.209077,ov_statte_provincia_di_taranto_40.5534_17.2091,Statte Provincia Di Taranto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/statte/pages/statte_provincia_di_taranto_40.5534_17.2091.json,custom
