# lat,lng,id,name,building_type,type,url,page_type
# santa_croce_sullarno -- restaurants.csv
43.704099,10.766130,ov_ci_fa_conca_pizzeria_43.7041_10.7661,Ci fa Conca Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/ci_fa_conca_pizzeria_43.7041_10.7661.json,custom
43.705392,10.770893,ov_santa_cruz_risto_bar_e_cucina_43.7054_10.7709,Santa Cruz Risto Bar e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/santa_cruz_risto_bar_e_cucina_43.7054_10.7709.json,custom
43.708380,10.767690,ov_pizzanto_food_e_pizza_43.7084_10.7677,PizzAnto Food e Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/pizzanto_food_e_pizza_43.7084_10.7677.json,custom
43.708202,10.778673,ov_shop_d_u_g_i_43.7082_10.7787,Shop Dầu Gội,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/shop_du_gi_43.7082_10.7787.json,custom
43.706640,10.784337,ov_nice_43.7066_10.7843,Nice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/nice_43.7066_10.7843.json,custom
43.752244,10.700952,ov_ristorante_fanellino_43.7522_10.7010,Ristorante Fanellino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/ristorante_fanellino_43.7522_10.7010.json,custom
43.751506,10.706596,ov_ristorante_a_buzzo_pieno_43.7515_10.7066,Ristorante A Buzzo Pieno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/ristorante_a_buzzo_pieno_43.7515_10.7066.json,custom
43.753111,10.701613,ov_pizza_piu_43.7531_10.7016,Pizza Piu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/pizza_piu_43.7531_10.7016.json,custom
43.735872,10.758123,ov_cerri_s_bar_pizzeria_43.7359_10.7581,Cerri'S Bar Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/cerris_bar_pizzeria_43.7359_10.7581.json,custom
43.727009,10.766387,ov_trattoria_bei_43.7270_10.7664,Trattoria Bei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/trattoria_bei_43.7270_10.7664.json,custom
43.720408,10.773989,ov_il_ritrovo_43.7204_10.7740,Il Ritrovo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/il_ritrovo_43.7204_10.7740.json,custom
43.711937,10.776988,ov_alex_pizza_43.7119_10.7770,Alex Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/alex_pizza_43.7119_10.7770.json,custom
43.710213,10.780308,ov_osteria_cece_43.7102_10.7803,Osteria Cece,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/osteria_cece_43.7102_10.7803.json,custom
43.709958,10.779427,ov_coriandoli_la_bottega_43.7100_10.7794,Coriandoli la bottega,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/coriandoli_la_bottega_43.7100_10.7794.json,custom
43.710173,10.782201,ov_il_laboratorio_degli_impasti_43.7102_10.7822,Il Laboratorio degli impasti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/il_laboratorio_degli_impasti_43.7102_10.7822.json,custom
43.710126,10.784921,ov_partenope___anema_e_pizza_43.7101_10.7849,PARTENOPE - Anema e pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/partenope_-_anema_e_pizza_43.7101_10.7849.json,custom
43.709989,10.785294,ov_la_vecchia_fornace_43.7100_10.7853,La Vecchia Fornace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/la_vecchia_fornace_43.7100_10.7853.json,custom
43.710663,10.783845,ov_alinorm_43.7107_10.7838,Alinorm,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/alinorm_43.7107_10.7838.json,custom
43.711279,10.783308,ov_pizzeria_caffe_del_corso_43.7113_10.7833,Pizzeria Caffe Del Corso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/santa_croce_sullarno/pages/pizzeria_caffe_del_corso_43.7113_10.7833.json,custom
