# lat,lng,id,name,building_type,type,url,page_type
# francavilla_al_mare -- restaurants.csv
42.442597,14.256781,ov_lido_nautilus_ristorante_42.4426_14.2568,Lido Nautilus Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/lido_nautilus_ristorante_42.4426_14.2568.json,custom
42.442350,14.256040,ov_ristorante_sotto_costa_42.4423_14.2560,Ristorante Sotto Costa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/ristorante_sotto_costa_42.4423_14.2560.json,custom
42.443776,14.254772,ov_baia_delle_sirene_42.4438_14.2548,Baia Delle Sirene,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/baia_delle_sirene_42.4438_14.2548.json,custom
42.444094,14.254334,ov_ristorante_stabilimento_balneare_albatro_42.4441_14.2543,Ristorante Stabilimento Balneare Albatros,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/ristorante_stabilimento_balneare_albatro_42.4441_14.2543.json,custom
42.444446,14.253055,ov_ristorante_pizzeria_florio_42.4444_14.2531,Ristorante Pizzeria Florio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/ristorante_pizzeria_florio_42.4444_14.2531.json,custom
42.444142,14.253460,ov_speedy_food_42.4441_14.2535,Speedy Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/speedy_food_42.4441_14.2535.json,custom
42.441001,14.252387,ov_matteo___daniela_quelli_del_pesce_fritto_42.4410_14.2524,Matteo & Daniela Quelli del Pesce Fritto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/matteo_daniela_quelli_del_pesce_fritto_42.4410_14.2524.json,custom
42.442092,14.256186,ov_trattoria_la_villetta_42.4421_14.2562,Trattoria La Villetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/trattoria_la_villetta_42.4421_14.2562.json,custom
42.439939,14.260746,ov_lido_siesta_beachresort_42.4399_14.2607,Lido Siesta BeachResort,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/lido_siesta_beachresort_42.4399_14.2607.json,custom
42.439564,14.260012,ov_ristorante_il_gambero_rosso_42.4396_14.2600,Ristorante Il Gambero Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/ristorante_il_gambero_rosso_42.4396_14.2600.json,custom
42.434245,14.267064,ov_mama_sushi_francavilla_42.4342_14.2671,Mama Sushi Francavilla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/mama_sushi_francavilla_42.4342_14.2671.json,custom
42.434057,14.267172,ov_pescheria_asterope_42.4341_14.2672,Pescheria Asterope,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/pescheria_asterope_42.4341_14.2672.json,custom
42.433690,14.269158,ov_casa_tua_42.4337_14.2692,Casa Tua,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/casa_tua_42.4337_14.2692.json,custom
42.433938,14.267304,ov_il_pizzicotto_42.4339_14.2673,Il Pizzicotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/il_pizzicotto_42.4339_14.2673.json,custom
42.433925,14.266932,ov_la_presentosa_42.4339_14.2669,la presentosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/la_presentosa_42.4339_14.2669.json,custom
42.434341,14.266316,ov_hamburger_in_42.4343_14.2663,Hamburger In,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/hamburger_in_42.4343_14.2663.json,custom
42.434744,14.265446,ov_barone_rosso_42.4347_14.2654,Barone Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/barone_rosso_42.4347_14.2654.json,custom
42.435390,14.266440,ov_ristorante_pizzeria_il_ghiottone_42.4354_14.2664,Ristorante Pizzeria Il Ghiottone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/ristorante_pizzeria_il_ghiottone_42.4354_14.2664.json,custom
42.434881,14.267168,ov_pizza___pasta_42.4349_14.2672,Pizza & Pasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/pizza_pasta_42.4349_14.2672.json,custom
42.435144,14.268188,ov_bayahibe_cucina_di_mare_42.4351_14.2682,Bayahibe Cucina di Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/bayahibe_cucina_di_mare_42.4351_14.2682.json,custom
42.435705,14.265766,ov_il_marchese_del_grillo_42.4357_14.2658,Il Marchese Del Grillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/il_marchese_del_grillo_42.4357_14.2658.json,custom
42.436245,14.264867,ov_poke_fusion_42.4362_14.2649,Poke Fusion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/poke_fusion_42.4362_14.2649.json,custom
42.438966,14.260802,ov_il_ghiottone_42.4390_14.2608,Il Ghiottone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/francavilla_al_mare/pages/il_ghiottone_42.4390_14.2608.json,custom
