# lat,lng,id,name,building_type,type,url,page_type
# monreale -- restaurants.csv
37.949871,13.090908,ov_krysos_pizzeria_ristorante_37.9499_13.0909,Krysos Pizzeria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/monreale/pages/krysos_pizzeria_ristorante_37.9499_13.0909.json,custom
37.916831,13.380203,ov_il_rifugio_bushpub_37.9168_13.3802,Il Rifugio BushPub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/monreale/pages/il_rifugio_bushpub_37.9168_13.3802.json,custom
37.862115,13.239384,ov_tenute_pollara_37.8621_13.2394,Tenute Pollara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/monreale/pages/tenute_pollara_37.8621_13.2394.json,custom
37.862040,13.231103,ov_principe_di_corleone_37.8620_13.2311,Principe di Corleone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/monreale/pages/principe_di_corleone_37.8620_13.2311.json,custom
37.883910,13.376200,ov_panificio_campanella___piazza_37.8839_13.3762,Panificio Campanella - Piazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/monreale/pages/panificio_campanella_-_piazza_37.8839_13.3762.json,custom
37.898751,13.154233,ov_masseria_pernice_37.8988_13.1542,Masseria Pernice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/monreale/pages/masseria_pernice_37.8988_13.1542.json,custom
38.078779,13.285873,ov_fritti_sfizi_38.0788_13.2859,Fritti&Sfizi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/monreale/pages/frittisfizi_38.0788_13.2859.json,custom
38.079856,13.282610,ov_ristorante_san_martino_38.0799_13.2826,Ristorante San Martino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/monreale/pages/ristorante_san_martino_38.0799_13.2826.json,custom
38.080043,13.286862,ov_benny_pizza_38.0800_13.2869,Benny Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/monreale/pages/benny_pizza_38.0800_13.2869.json,custom
38.080279,13.291319,ov_il_giardino_degli_aranci_38.0803_13.2913,Il Giardino Degli Aranci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/monreale/pages/il_giardino_degli_aranci_38.0803_13.2913.json,custom
38.079869,13.288734,ov_le_bonta_di_peppe_38.0799_13.2887,Le Bonta Di Peppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/monreale/pages/le_bonta_di_peppe_38.0799_13.2887.json,custom
