# lat,lng,id,name,building_type,type,url,page_type
# selvazzano_dentro -- restaurants.csv
45.387223,11.763357,ov_ristorante_la_montecchia_45.3872_11.7634,Ristorante La Montecchia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/ristorante_la_montecchia_45.3872_11.7634.json,custom
45.380848,11.764164,ov_alajmo_spa_45.3808_11.7642,Alajmo SPA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/alajmo_spa_45.3808_11.7642.json,custom
45.380848,11.764164,ov_la_montecchia_green_45.3808_11.7642,La Montecchia Green,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/la_montecchia_green_45.3808_11.7642.json,custom
45.384809,11.783714,ov_osteria_del_picchio_45.3848_11.7837,Osteria Del Picchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/osteria_del_picchio_45.3848_11.7837.json,custom
45.387259,11.792794,ov_pizzeria_dove_come_quando_45.3873_11.7928,Pizzeria Dove Come Quando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/pizzeria_dove_come_quando_45.3873_11.7928.json,custom
45.386640,11.790020,ov_big_bite_45.3866_11.7900,Big Bite,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/big_bite_45.3866_11.7900.json,custom
45.386570,11.790000,ov_allo_sbarco_dei_pirati_by_mecaylon_45.3866_11.7900,Allo Sbarco Dei Pirati by Mecaylon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/allo_sbarco_dei_pirati_by_mecaylon_45.3866_11.7900.json,custom
45.385913,11.797944,ov_gastronomia_i_vecchi_sapori_45.3859_11.7979,Gastronomia I Vecchi Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/gastronomia_i_vecchi_sapori_45.3859_11.7979.json,custom
45.385237,11.797467,ov_olsi_pizza_e_cucina_45.3852_11.7975,Olsi Pizza e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/olsi_pizza_e_cucina_45.3852_11.7975.json,custom
45.389722,11.804775,ov_antiche_cantine_zaccaria_45.3897_11.8048,Antiche Cantine Zaccaria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/antiche_cantine_zaccaria_45.3897_11.8048.json,custom
45.386814,11.803828,ov_sushi_fu_45.3868_11.8038,Sushi Fu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/sushi_fu_45.3868_11.8038.json,custom
45.386892,11.803865,ov_tommy_il_cantiere_della_pizza_45.3869_11.8039,Tommy il cantiere della pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/tommy_il_cantiere_della_pizza_45.3869_11.8039.json,custom
45.423243,11.782204,ov_ristorante_la_bulesca_45.4232_11.7822,Ristorante la Bulesca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/ristorante_la_bulesca_45.4232_11.7822.json,custom
45.414426,11.812962,ov_birreria_franziskaner_45.4144_11.8130,Birreria Franziskaner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/selvazzano_dentro/pages/birreria_franziskaner_45.4144_11.8130.json,custom
