# lat,lng,id,name,building_type,type
# Monopoli -- Tutti
40.871069,17.330989,osm_ospedale_del_sud_est_barese_di_monopoli__40.8711_17.3310,Ospedale del Sud-Est Barese di Monopoli-Fasano,hospital,hospital
40.952717,17.304411,osm_osteria_perricci_40.9527_17.3044,Osteria Perricci,ristorante,ristorante
40.940584,17.315493,osm_ristorante_ricevimenti_copacabana_40.9406_17.3155,Ristorante ricevimenti Copacabana,ristorante,ristorante
40.944246,17.306056,osm_delizie_di_sicilia___pizzeria_40.9442_17.3061,Delizie di sicilia - Pizzeria,ristorante,ristorante
40.953118,17.302775,osm_trattoria_pierino_l_inglese_40.9531_17.3028,Trattoria Pierino l'inglese,ristorante,ristorante
40.882903,17.336595,osm_panificio_l_assunta_40.8829_17.3366,Panificio L'Assunta,ristorante,ristorante
40.953627,17.305162,osm_the_king_40.9536_17.3052,The King,ristorante,ristorante
40.952714,17.302253,osm_pugliami_40.9527_17.3023,Pugliami,ristorante,ristorante
40.953678,17.296005,osm_focacciamo_40.9537_17.2960,Focacciamo,ristorante,ristorante
40.952640,17.303116,osm_pinsotti_pinsa___bacaro_40.9526_17.3031,PINSOTTI pinsa & bacaro,ristorante,ristorante
40.953953,17.302906,osm_la_locanda_sul_porto_40.9540_17.3029,La Locanda sul Porto,ristorante,ristorante
40.958294,17.293271,osm_pane_e_fantasie_40.9583_17.2933,Pane e Fantasie,ristorante,ristorante
40.957372,17.294909,osm_garage27_40.9574_17.2949,Garage27,ristorante,ristorante
40.957597,17.294719,osm_pollidea_40.9576_17.2947,Pollidea,ristorante,ristorante
40.948307,17.306600,osm_lido_bianco_40.9483_17.3066,Lido Bianco,ristorante,ristorante
40.866439,17.277253,osm_masseria_gelso_antico_40.8664_17.2773,Masseria Gelso Antico,ristorante,ristorante
40.950866,17.305292,osm_a_sentimento_40.9509_17.3053,A Sentimento,ristorante,ristorante
40.930448,17.189057,osm_sala_ricevimenti_mizar_blu_40.9304_17.1891,Sala Ricevimenti Mizar Blu,ristorante,ristorante
40.945723,17.267896,osm_agriturismo_tenuta_chianchizza_40.9457_17.2679,Agriturismo Tenuta Chianchizza,ristorante,ristorante
40.958276,17.282116,osm_mcdonald_s_40.9583_17.2821,McDonald's,ristorante,ristorante
40.880880,17.261680,ov_rssa_opera_di_zazzera_caterina_40.8809_17.2617,Rssa Opera di Zazzera Caterina,HOSPITAL,hospital
