# lat,lng,id,name,building_type,type,url,page_type
# adro -- restaurants.csv
45.611877,9.985946,ov_locanda_la_torre_45.6119_9.9859,Locanda La Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/locanda_la_torre_45.6119_9.9859.json,custom
45.609269,10.001155,ov_bruno_s_restaurant___mexi_steak_house____45.6093_10.0012,Bruno'S Restaurant - Mexi Steak House & Music,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/brunos_restaurant_-_mexi_steak_house_mus_45.6093_10.0012.json,custom
45.609283,10.000343,ov_agriturismo_bertola_45.6093_10.0003,Agriturismo Bertola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/agriturismo_bertola_45.6093_10.0003.json,custom
45.609080,10.001033,ov_al_lago_45.6091_10.0010,Al Lago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/al_lago_45.6091_10.0010.json,custom
45.609233,10.001208,ov_eleven_11_45.6092_10.0012,Eleven 11,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/eleven_11_45.6092_10.0012.json,custom
45.608453,10.001211,ov_dispensa_franciacorta_45.6085_10.0012,Dispensa Franciacorta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/dispensa_franciacorta_45.6085_10.0012.json,custom
45.626198,9.948846,ov_azienda_agricola__colletto__di_volpi_gio_45.6262_9.9488,Azienda agricola “Colletto” di Volpi Giorgio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/azienda_agricola_colletto_di_volpi_giorg_45.6262_9.9488.json,custom
45.623057,9.952013,ov_panificio_corsini_45.6231_9.9520,Panificio Corsini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/panificio_corsini_45.6231_9.9520.json,custom
45.622547,9.957806,ov_pizzeria_piccadilly_45.6225_9.9578,Pizzeria Piccadilly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/pizzeria_piccadilly_45.6225_9.9578.json,custom
45.618657,9.978741,ov_ristorante_pizzeria_madonna_della_neve_45.6187_9.9787,Ristorante Pizzeria Madonna Della Neve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/ristorante_pizzeria_madonna_della_neve_45.6187_9.9787.json,custom
45.619650,9.966899,ov_fior_di_pizza_45.6196_9.9669,Fior di Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/fior_di_pizza_45.6196_9.9669.json,custom
45.620846,9.963776,ov_pizzeria_le_piramidi_45.6208_9.9638,Pizzeria le piramidi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/pizzeria_le_piramidi_45.6208_9.9638.json,custom
45.622147,9.962643,ov_pizzeria_las_vegas_45.6221_9.9626,Pizzeria Las Vegas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/pizzeria_las_vegas_45.6221_9.9626.json,custom
45.608466,10.001256,osm_dispensa_pani_e_vini_franciacorta_45.6085_10.0013,Dispensa Pani e Vini Franciacorta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/adro/pages/dispensa_pani_e_vini_franciacorta_45.6085_10.0013.json,custom
