# lat,lng,id,name,building_type,type,url,page_type
# morcone -- bars_cafes
41.338055,14.666555,ov_red_moon_41.3381_14.6666,Red moon,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/red_moon_41.3381_14.6666.json,custom
41.339980,14.666240,ov_bar_ponte_stretto_41.3400_14.6662,Bar Ponte Stretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/bar_ponte_stretto_41.3400_14.6662.json,custom
41.340632,14.665335,ov_riohana_cocktail_house_41.3406_14.6653,Riohana Cocktail House,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/riohana_cocktail_house_41.3406_14.6653.json,custom
41.340774,14.665627,ov_arochiosco_41.3408_14.6656,Arochiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/arochiosco_41.3408_14.6656.json,custom
41.340710,14.663665,ov_bar_storico_41.3407_14.6637,Bar Storico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/bar_storico_41.3407_14.6637.json,custom
41.342046,14.662102,ov_ristorante_biancamela_chef_annamaria_mas_41.3420_14.6621,Ristorante Biancamela Chef Annamaria Mastrantuono,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/ristorante_biancamela_chef_annamaria_mas_41.3420_14.6621.json,custom
41.342360,14.664470,ov_zeoli_caff__41.3424_14.6645,Zeoli caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/zeoli_caff_41.3424_14.6645.json,custom
41.342446,14.676289,ov_bar_r_storo_il_norcino_incas_caff__41.3424_14.6763,Bar Rístoro Il Norcino Incas Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/bar_rstoro_il_norcino_incas_caff_41.3424_14.6763.json,custom
41.342200,14.676561,ov_rondnoir_cafe_41.3422_14.6766,Rondnoir Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/rondnoir_cafe_41.3422_14.6766.json,custom
41.343499,14.663152,ov_bar_la_dolce_vita_41.3435_14.6632,Bar La dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/bar_la_dolce_vita_41.3435_14.6632.json,custom
41.343341,14.663261,ov_bar_express_food_41.3433_14.6633,Bar Express Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/bar_express_food_41.3433_14.6633.json,custom
41.362840,14.683180,ov_bar_amore_salvatore_41.3628_14.6832,Bar Amore Salvatore,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/bar_amore_salvatore_41.3628_14.6832.json,custom
41.347374,14.722614,ov_bar_coste_41.3474_14.7226,Bar Coste,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/bar_coste_41.3474_14.7226.json,custom
41.370368,14.687332,osm_bar_canepinese_41.3704_14.6873,Bar Canepinese,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/bar_canepinese_41.3704_14.6873.json,custom
41.341804,14.665032,osm_miravalle_41.3418_14.6650,Miravalle,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/morcone/pages/miravalle_41.3418_14.6650.json,custom
