# lat,lng,id,name,building_type,type,url,page_type
# tremestieri_etneo -- restaurants
37.587915,15.066991,ov_ivy_pizza_37.5879_15.0670,Ivy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/ivy_pizza_37.5879_15.0670.json,custom
37.586886,15.066944,ov_la_piazzetta_37.5869_15.0669,La Piazzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/la_piazzetta_37.5869_15.0669.json,custom
37.585950,15.068795,ov_pizzeria_le_vigne_37.5859_15.0688,Pizzeria LE VIGNE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/pizzeria_le_vigne_37.5859_15.0688.json,custom
37.580205,15.071008,ov_idda_37.5802_15.0710,Idda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/idda_37.5802_15.0710.json,custom
37.577303,15.072039,ov_sapori_di_grano_37.5773_15.0720,Sapori di Grano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/sapori_di_grano_37.5773_15.0720.json,custom
37.576823,15.064083,ov_panineria_big_burger_da_marco_37.5768_15.0641,Panineria Big Burger da Marco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/panineria_big_burger_da_marco_37.5768_15.0641.json,custom
37.576745,15.073218,ov_cortile_siciliano_37.5767_15.0732,Cortile Siciliano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/cortile_siciliano_37.5767_15.0732.json,custom
37.575992,15.072933,ov_maori_restaurant___sushi_and_more_37.5760_15.0729,Maori Restaurant - Sushi and more,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/maori_restaurant_-_sushi_and_more_37.5760_15.0729.json,custom
37.576034,15.073002,ov_pimento_37.5760_15.0730,Pimento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/pimento_37.5760_15.0730.json,custom
37.576259,15.073118,ov_di_pizza_in_pizza_37.5763_15.0731,Di pizza in pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/di_pizza_in_pizza_37.5763_15.0731.json,custom
37.575361,15.073797,ov_l_oste_di_tremestieri_37.5754_15.0738,L'Oste di Tremestieri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/loste_di_tremestieri_37.5754_15.0738.json,custom
37.574322,15.073981,ov_pizzeria_a_cuttigghiara_37.5743_15.0740,Pizzeria A Cuttigghiara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/pizzeria_a_cuttigghiara_37.5743_15.0740.json,custom
37.574435,15.073902,ov_la_perla_del_mare_37.5744_15.0739,La Perla del Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/tremestieri_etneo/pages/la_perla_del_mare_37.5744_15.0739.json,custom
