# lat,lng,id,name,building_type,type,url,page_type
# santantimo -- restaurants
40.928155,14.223609,ov_i_sapori_di_napoli_40.9282_14.2236,I sapori di Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santantimo/pages/i_sapori_di_napoli_40.9282_14.2236.json,custom
40.928546,14.225583,ov_pizzeria_i_tre_santi_40.9285_14.2256,Pizzeria I Tre Santi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santantimo/pages/pizzeria_i_tre_santi_40.9285_14.2256.json,custom
40.929392,14.228226,ov_pizzeria_divina_40.9294_14.2282,Pizzeria Divina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santantimo/pages/pizzeria_divina_40.9294_14.2282.json,custom
40.929415,14.227587,ov_maybe_interior_cafe_40.9294_14.2276,Maybe Interior Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santantimo/pages/maybe_interior_cafe_40.9294_14.2276.json,custom
40.930670,14.231486,ov_dna_40.9307_14.2315,Dna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santantimo/pages/dna_40.9307_14.2315.json,custom
40.930908,14.232726,ov_love_food_40.9309_14.2327,Love Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santantimo/pages/love_food_40.9309_14.2327.json,custom
40.931531,14.234139,ov_notting_hill_di_a__cotugno_40.9315_14.2341,Notting Hill Di A. Cotugno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santantimo/pages/notting_hill_di_a_cotugno_40.9315_14.2341.json,custom
40.929257,14.225481,ov_street_potato___centro_commerciale_il_mo_40.9293_14.2255,Street Potato - centro commerciale Il Molino Sant'Antimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santantimo/pages/street_potato_-_centro_commerciale_il_mo_40.9293_14.2255.json,custom
40.933967,14.222649,ov_kfc_40.9340_14.2226,KFC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santantimo/pages/kfc_40.9340_14.2226.json,custom
40.934614,14.235015,ov_grande_puffo_40.9346_14.2350,Grande Puffo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santantimo/pages/grande_puffo_40.9346_14.2350.json,custom
40.933362,14.234752,ov_la_casa_del_pollo_40.9334_14.2348,La casa del pollo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/santantimo/pages/la_casa_del_pollo_40.9334_14.2348.json,custom
