# lat,lng,id,name,building_type,type,url,page_type
# brisighella -- restaurants
44.161380,11.698960,ov_corte_dei_mori_44.1614_11.6990,Corte Dei Mori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/corte_dei_mori_44.1614_11.6990.json,custom
44.116283,11.671833,ov_trattoria_giacomela_44.1163_11.6718,Trattoria Giacomela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/trattoria_giacomela_44.1163_11.6718.json,custom
44.170705,11.690304,ov_trattoria_sant_eufemia_44.1707_11.6903,Trattoria Sant'Eufemia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/trattoria_santeufemia_44.1707_11.6903.json,custom
44.185335,11.687454,ov_circolo_del_noce_44.1853_11.6875,Circolo del noce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/circolo_del_noce_44.1853_11.6875.json,custom
44.209420,11.700800,ov_matilde_del_monticino_street_food_44.2094_11.7008,Matilde del Monticino street food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/matilde_del_monticino_street_food_44.2094_11.7008.json,custom
44.227140,11.694200,ov_l_infinito_ristorante_a_brisighella_44.2271_11.6942,L’Infinito ristorante a Brisighella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/linfinito_ristorante_a_brisighella_44.2271_11.6942.json,custom
44.265524,11.749201,ov_la_villa_matta_44.2655_11.7492,La Villa Matta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/la_villa_matta_44.2655_11.7492.json,custom
44.268348,11.751984,ov_agriturismo_rio_manzolo_44.2683_11.7520,Agriturismo Rio Manzolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/agriturismo_rio_manzolo_44.2683_11.7520.json,custom
44.250357,11.810312,ov_lievito_faenza_44.2504_11.8103,Lievito Faenza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/lievito_faenza_44.2504_11.8103.json,custom
44.254780,11.797082,ov_agriturismo_terra_dei_calanchi_44.2548_11.7971,Agriturismo Terra Dei Calanchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/agriturismo_terra_dei_calanchi_44.2548_11.7971.json,custom
44.254587,11.796667,ov_agriturismo_oasi_brisighella_44.2546_11.7967,Agriturismo Oasi Brisighella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/agriturismo_oasi_brisighella_44.2546_11.7967.json,custom
44.226903,11.858222,ov_pizzeria_il_tartufo_44.2269_11.8582,Pizzeria Il Tartufo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/pizzeria_il_tartufo_44.2269_11.8582.json,custom
44.212204,11.819211,ov_agriturismo_casamerlo_44.2122_11.8192,Agriturismo Casamerlo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/agriturismo_casamerlo_44.2122_11.8192.json,custom
44.239132,11.824323,ov_azienda_agrituristica_la_quercia_44.2391_11.8243,Azienda Agrituristica La Quercia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/azienda_agrituristica_la_quercia_44.2391_11.8243.json,custom
44.242822,11.811314,ov_contea_di_val_d_amone_44.2428_11.8113,Contea Di Val D'Amone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/contea_di_val_damone_44.2428_11.8113.json,custom
44.223917,11.772574,ov_l_infinito_44.2239_11.7726,L'infinito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/linfinito_44.2239_11.7726.json,custom
44.227518,11.752465,ov_ristorante_e_manicomi_da_mario_44.2275_11.7525,Ristorante e manicomi da Mario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/ristorante_e_manicomi_da_mario_44.2275_11.7525.json,custom
44.204580,11.733389,ov_antica_trattoria_cheterena_44.2046_11.7334,Antica Trattoria Cheterena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/antica_trattoria_cheterena_44.2046_11.7334.json,custom
44.208152,11.746769,ov_osteria_del_sale_44.2082_11.7468,Osteria del Sale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/osteria_del_sale_44.2082_11.7468.json,custom
44.222204,11.771403,ov_trattoria_la_casetta_44.2222_11.7714,Trattoria la Casetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/trattoria_la_casetta_44.2222_11.7714.json,custom
44.223370,11.771849,ov_framboise_44.2234_11.7718,Framboise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/framboise_44.2234_11.7718.json,custom
44.223776,11.771982,ov_il_gatto_e_la_volpe_44.2238_11.7720,Il Gatto e la Volpe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/il_gatto_e_la_volpe_44.2238_11.7720.json,custom
44.223857,11.772353,ov_la_lanterna_44.2239_11.7724,La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/la_lanterna_44.2239_11.7724.json,custom
44.223784,11.772519,ov_caff__della_loggia_44.2238_11.7725,Caffè della Loggia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/caff_della_loggia_44.2238_11.7725.json,custom
44.223629,11.772459,ov_cantina_del_bonsignore_44.2236_11.7725,Cantina del Bonsignore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/cantina_del_bonsignore_44.2236_11.7725.json,custom
44.223732,11.772927,ov_cucina_vietnamita_44.2237_11.7729,Cucina vietnamita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/brisighella/pages/cucina_vietnamita_44.2237_11.7729.json,custom
