# lat,lng,id,name,building_type,type,url,page_type
# Sant'Antioco -- Tutti
39.008126,8.386162,ov_mario_e_pinella_39.0081_8.3862,Mario e Pinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/mario_e_pinella_39.0081_8.3862.json,custom
39.009734,8.385478,ov_a_la_playa_39.0097_8.3855,A La Playa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/a_la_playa_39.0097_8.3855.json,custom
39.012963,8.431407,ov_sa_ruscitta_39.0130_8.4314,Sa Ruscitta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/sa_ruscitta_39.0130_8.4314.json,custom
39.001573,8.447055,ov_giardini_mediterranei_39.0016_8.4471,Giardini Mediterranei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/giardini_mediterranei_39.0016_8.4471.json,custom
38.998379,8.447780,ov_su_stentu_38.9984_8.4478,Su Stentu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/su_stentu_38.9984_8.4478.json,custom
39.058388,8.463901,ov_friggitoria_paninoteca_il_gambero_pazzo_39.0584_8.4639,Friggitoria Paninoteca Il Gambero Pazzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/friggitoria_paninoteca_il_gambero_pazzo_39.0584_8.4639.json,custom
39.059272,8.462616,ov_ristorante_del_passeggero_39.0593_8.4626,Ristorante Del Passeggero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/ristorante_del_passeggero_39.0593_8.4626.json,custom
39.058762,8.460077,ov_pizzeria_ristorante_dolly_39.0588_8.4601,Pizzeria Ristorante Dolly,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/pizzeria_ristorante_dolly_39.0588_8.4601.json,custom
39.066755,8.454953,ov_ristorante_pizzeria_biancaneve_39.0668_8.4550,Ristorante Pizzeria Biancaneve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/ristorante_pizzeria_biancaneve_39.0668_8.4550.json,custom
39.067351,8.454919,ov_max_pizzeria_39.0674_8.4549,Max pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/max_pizzeria_39.0674_8.4549.json,custom
39.067564,8.454875,ov_rino_tuttopizze_39.0676_8.4549,Rino Tuttopizze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/rino_tuttopizze_39.0676_8.4549.json,custom
39.069884,8.450809,ov_tavernetta_ipogeo_39.0699_8.4508,Tavernetta Ipogeo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/tavernetta_ipogeo_39.0699_8.4508.json,custom
39.069094,8.454308,ov_kebab_aroma_and_spices_39.0691_8.4543,Kebab Aroma and Spices,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/kebab_aroma_and_spices_39.0691_8.4543.json,custom
39.069161,8.454329,ov_la_regina_della_pasta_39.0692_8.4543,La Regina della Pasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/la_regina_della_pasta_39.0692_8.4543.json,custom
39.069980,8.451752,ov_magazzino_dello_spirito_39.0700_8.4518,Magazzino dello Spirito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/magazzino_dello_spirito_39.0700_8.4518.json,custom
39.071977,8.452558,ov_ristorante_zefiro_39.0720_8.4526,Ristorante Zefiro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/ristorante_zefiro_39.0720_8.4526.json,custom
39.071883,8.446136,ov_le_rocce_antiche_hotel_39.0719_8.4461,Le Rocce Antiche Hotel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/le_rocce_antiche_hotel_39.0719_8.4461.json,custom
39.068175,8.458336,ov_gastronomia_simeli_rosticceria_39.0682_8.4583,Gastronomia Simeli Rosticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/gastronomia_simeli_rosticceria_39.0682_8.4583.json,custom
39.067864,8.458041,ov_stema_beef_restaurant_39.0679_8.4580,Stema Beef Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/stema_beef_restaurant_39.0679_8.4580.json,custom
39.068094,8.458206,ov_s_antioco_ristorante_il_moro_39.0681_8.4582,S'antioco Ristorante Il Moro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/santantioco/pages/santioco_ristorante_il_moro_39.0681_8.4582.json,custom
