# lat,lng,id,name,building_type,type,url,page_type
# st_moritz -- restaurants.csv
46.489477,9.807944,ov_el_paradiso_46.4895_9.8079,El Paradiso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/el_paradiso_46.4895_9.8079.json,custom
46.499914,9.846441,ov_restaurant_lobby_und_sonnenterasse___hot_46.4999_9.8464,Restaurant Lobby und Sonnenterasse - Hotel Carlton,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/restaurant_lobby_und_sonnenterasse_-_hot_46.4999_9.8464.json,custom
46.499928,9.846711,ov_sun_terrace_46.4999_9.8467,Sun Terrace,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/sun_terrace_46.4999_9.8467.json,custom
46.498672,9.845919,ov_restaurant_st_vetta_46.4987_9.8459,Restaurant Stüvetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/restaurant_stvetta_46.4987_9.8459.json,custom
46.498765,9.841671,ov_the_pizzeria_46.4988_9.8417,The Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/the_pizzeria_46.4988_9.8417.json,custom
46.498870,9.841527,ov_amaru_46.4989_9.8415,Amaru,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/amaru_46.4989_9.8415.json,custom
46.499216,9.841783,ov_le_grand_restaurant_46.4992_9.8418,Le Grand Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/le_grand_restaurant_46.4992_9.8418.json,custom
46.499072,9.841407,ov_sunny_bar___restaurant_nito_46.4991_9.8414,Sunny Bar / Restaurant Nito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/sunny_bar_restaurant_nito_46.4991_9.8414.json,custom
46.482137,9.833764,ov_restaurant_enoteca_46.4821_9.8338,Restaurant Enoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/restaurant_enoteca_46.4821_9.8338.json,custom
46.482180,9.833708,ov_les_saisons_46.4822_9.8337,Les Saisons,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/les_saisons_46.4822_9.8337.json,custom
46.482855,9.833147,ov_ristorante_da_adriano_46.4829_9.8331,Ristorante Da Adriano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/ristorante_da_adriano_46.4829_9.8331.json,custom
46.482855,9.833147,ov_c__d_oro_restaurant_46.4829_9.8331,Cà d’Oro Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/c_doro_restaurant_46.4829_9.8331.json,custom
46.487299,9.817306,ov_chasellas_46.4873_9.8173,Chasellas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/chasellas_46.4873_9.8173.json,custom
46.499853,9.841901,osm_pizzeria_diamond_46.4999_9.8419,Pizzeria Diamond,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/pizzeria_diamond_46.4999_9.8419.json,custom
46.488879,9.835163,osm_banfi_s_bar_46.4889_9.8352,Banfi's Bar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/banfis_bar_46.4889_9.8352.json,custom
46.497917,9.849198,osm_engiadina_46.4979_9.8492,Engiadina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/engiadina_46.4979_9.8492.json,custom
46.489311,9.834799,osm_hotel_restaurant_veltlinerkeller_46.4893_9.8348,Hotel Restaurant Veltlinerkeller,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/hotel_restaurant_veltlinerkeller_46.4893_9.8348.json,custom
46.486314,9.836713,osm_roberto_46.4863_9.8367,Roberto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/roberto_46.4863_9.8367.json,custom
46.499025,9.841486,osm_the_k_restaurant_46.4990_9.8415,The K Restaurant,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/st_moritz/pages/the_k_restaurant_46.4990_9.8415.json,custom
